rank	score	disease_name	disease_identifier
1	0.010251139290630817	OMIM:618430	OMIM:618430
2	0.010815213434398174	ORPHA:371364	ORPHA:371364
3	0.011242769658565521	OMIM:617804	OMIM:617804
4	0.011273279786109924	OMIM:616801	OMIM:616801
5	0.01128364447504282	ORPHA:364028	ORPHA:364028
6	0.01130673848092556	OMIM:614756	OMIM:614756
7	0.011792950332164764	ORPHA:444002	ORPHA:444002
8	0.011831941083073616	OMIM:314580	OMIM:314580
9	0.011953489854931831	ORPHA:238750	ORPHA:238750
10	0.012086021713912487	ORPHA:481152	ORPHA:481152
11	0.012094623409211636	OMIM:617330	OMIM:617330
12	0.012171954847872257	OMIM:617773	OMIM:617773
13	0.012198159471154213	OMIM:617865	OMIM:617865
14	0.012390476651489735	OMIM:616977	OMIM:616977
15	0.012419754639267921	OMIM:617796	OMIM:617796
16	0.012457389384508133	ORPHA:480907	ORPHA:480907
17	0.012488121166825294	ORPHA:352490	ORPHA:352490
18	0.012570568360388279	OMIM:300966	OMIM:300966
19	0.01268740650266409	OMIM:300534	OMIM:300534
20	0.012729201465845108	ORPHA:562528	ORPHA:562528
21	0.01286887563765049	ORPHA:370079	ORPHA:370079
22	0.012930916622281075	OMIM:619950	OMIM:619950
23	0.01298044715076685	OMIM:300260	OMIM:300260
24	0.01313441526144743	OMIM:619320	OMIM:619320
25	0.013137714006006718	ORPHA:251383	ORPHA:251383
26	0.013184883631765842	OMIM:620330	OMIM:620330
27	0.01318537350744009	OMIM:301041	OMIM:301041
28	0.013208246789872646	OMIM:618106	OMIM:618106
29	0.013215086422860622	OMIM:619717	OMIM:619717
30	0.013234596699476242	OMIM:618076	OMIM:618076
31	0.013237282633781433	OMIM:615485	OMIM:615485
32	0.01325062196701765	OMIM:619680	OMIM:619680
33	0.013258305378258228	OMIM:615032	OMIM:615032
34	0.013271878473460674	OMIM:619005	OMIM:619005
35	0.013279207982122898	OMIM:301032	OMIM:301032
36	0.013284713961184025	ORPHA:1675	ORPHA:1675
37	0.013351881876587868	ORPHA:369891	ORPHA:369891
38	0.013368676416575909	OMIM:616579	OMIM:616579
39	0.013369491323828697	OMIM:616078	OMIM:616078
40	0.01345348171889782	OMIM:616354	OMIM:616354
41	0.013554052449762821	ORPHA:506358	ORPHA:506358
42	0.013562931679189205	ORPHA:352577	ORPHA:352577
43	0.013605806976556778	OMIM:300986	OMIM:300986
44	0.013611789792776108	ORPHA:404448	ORPHA:404448
45	0.013627317734062672	OMIM:613454	OMIM:613454
46	0.013647215440869331	OMIM:620001	OMIM:620001
47	0.01367009337991476	OMIM:606232	OMIM:606232
48	0.013684366829693317	OMIM:618443	OMIM:618443
49	0.01374248880892992	OMIM:619435	OMIM:619435
50	0.013788177631795406	ORPHA:3306	ORPHA:3306
51	0.013788457959890366	ORPHA:314647	ORPHA:314647
52	0.013792493380606174	OMIM:300749	OMIM:300749
53	0.013797092251479626	ORPHA:280763	ORPHA:280763
54	0.01379775907844305	OMIM:620224	OMIM:620224
55	0.013834001496434212	OMIM:616364	OMIM:616364
56	0.013854574412107468	ORPHA:2896	ORPHA:2896
57	0.013879582285881042	OMIM:619556	OMIM:619556
58	0.013884807005524635	ORPHA:369950	ORPHA:369950
59	0.013895632699131966	OMIM:614961	OMIM:614961
