rank	score	disease_name	disease_identifier
1	0.05179639160633087	OMIM:618912	OMIM:618912
2	0.052466634660959244	ORPHA:99953	ORPHA:99953
3	0.052793487906455994	OMIM:608323	OMIM:608323
4	0.05586680397391319	OMIM:607706	OMIM:607706
5	0.05586845055222511	ORPHA:99948	ORPHA:99948
6	0.057350534945726395	ORPHA:101097	ORPHA:101097
7	0.05836712568998337	OMIM:162400	OMIM:162400
8	0.058615222573280334	ORPHA:2932	ORPHA:2932
9	0.05939503386616707	ORPHA:206594	ORPHA:206594
10	0.060272201895713806	ORPHA:352675	ORPHA:352675
11	0.06051073595881462	OMIM:601098	OMIM:601098
12	0.061175636947155	OMIM:610100	OMIM:610100
13	0.061452072113752365	ORPHA:99944	ORPHA:99944
14	0.061823971569538116	ORPHA:101081	ORPHA:101081
15	0.062189556658267975	ORPHA:435387	ORPHA:435387
16	0.06348467618227005	ORPHA:90103	ORPHA:90103
17	0.0636296197772026	DECIPHER:29	DECIPHER:29
18	0.06370145827531815	OMIM:605285	OMIM:605285
19	0.0654788538813591	ORPHA:98856	ORPHA:98856
20	0.06566033512353897	ORPHA:99950	ORPHA:99950
21	0.06573987752199173	ORPHA:488333	ORPHA:488333
22	0.06575120985507965	ORPHA:101085	ORPHA:101085
23	0.06604551523923874	OMIM:162500	OMIM:162500
24	0.06641409546136856	OMIM:611228	OMIM:611228
25	0.06675209105014801	OMIM:302801	OMIM:302801
26	0.06688553839921951	OMIM:605589	OMIM:605589
27	0.06689184904098511	OMIM:601455	OMIM:601455
28	0.06719748675823212	OMIM:616688	OMIM:616688
29	0.06733009219169617	OMIM:609311	OMIM:609311
30	0.06783226132392883	ORPHA:99939	ORPHA:99939
31	0.06806757301092148	OMIM:613640	OMIM:613640
32	0.06875425577163696	OMIM:270685	OMIM:270685
33	0.06888608634471893	OMIM:616687	OMIM:616687
34	0.0689467117190361	OMIM:607684	OMIM:607684
35	0.06964565068483353	ORPHA:320365	ORPHA:320365
36	0.06980845332145691	ORPHA:466768	ORPHA:466768
37	0.06988967210054398	OMIM:145900	OMIM:145900
38	0.0700574740767479	OMIM:605588	OMIM:605588
39	0.0702843889594078	OMIM:601382	OMIM:601382
40	0.07069984078407288	ORPHA:36386	ORPHA:36386
41	0.07101456820964813	OMIM:609260	OMIM:609260
42	0.07109551876783371	ORPHA:90658	ORPHA:90658
43	0.07191184163093567	ORPHA:98765	ORPHA:98765
44	0.07207287847995758	OMIM:214400	OMIM:214400
45	0.07219716161489487	OMIM:302800	OMIM:302800
46	0.07277325540781021	OMIM:614895	OMIM:614895
47	0.07296422123908997	OMIM:164400	OMIM:164400
48	0.07340964674949646	OMIM:620068	OMIM:620068
49	0.07370149344205856	OMIM:607250	OMIM:607250
50	0.07370228320360184	ORPHA:101076	ORPHA:101076
51	0.07379874587059021	ORPHA:639	ORPHA:639
52	0.07419254630804062	OMIM:118210	OMIM:118210
53	0.0743749812245369	OMIM:618279	OMIM:618279
54	0.07439377903938293	ORPHA:399081	ORPHA:399081
55	0.07500283420085907	OMIM:600882	OMIM:600882
56	0.07506898045539856	ORPHA:101077	ORPHA:101077
57	0.07509937882423401	OMIM:615376	OMIM:615376
58	0.07514099776744843	ORPHA:99947	ORPHA:99947
59	0.07514877617359161	OMIM:302802	OMIM:302802
60	0.07521267980337143	OMIM:607677	OMIM:607677
61	0.07543658465147018	ORPHA:101078	ORPHA:101078
62	0.07553182542324066	OMIM:118220	OMIM:118220
63	0.07561692595481873	OMIM:619519	OMIM:619519
64	0.0756395161151886	OMIM:615575	OMIM:615575
65	0.07579943537712097	ORPHA:94124	ORPHA:94124
66	0.0758141577243805	OMIM:607831	OMIM:607831
67	0.07584808766841888	OMIM:608673	OMIM:608673
68	0.07603958994150162	OMIM:256840	OMIM:256840
69	0.076164111495018	OMIM:310490	OMIM:310490
70	0.07623754441738129	ORPHA:99940	ORPHA:99940
71	0.07633550465106964	OMIM:500013	OMIM:500013
72	0.07641031593084335	OMIM:613376	OMIM:613376
73	0.07644008845090866	OMIM:600361	OMIM:600361
74	0.07656489312648773	OMIM:118200	OMIM:118200
75	0.07663047313690186	OMIM:614436	OMIM:614436
76	0.0772751197218895	OMIM:601596	OMIM:601596
77	0.07739716023206711	ORPHA:497764	ORPHA:497764
78	0.07754965871572495	OMIM:601152	OMIM:601152
