rank	score	disease_name	disease_identifier
1	0.019085677340626717	ORPHA:100984	ORPHA:100984
2	0.019711559638381004	OMIM:607565	OMIM:607565
3	0.021190138533711433	OMIM:615681	OMIM:615681
4	0.0214387197047472	ORPHA:100985	ORPHA:100985
5	0.0217011496424675	ORPHA:444099	ORPHA:444099
6	0.02171509526669979	OMIM:604187	OMIM:604187
7	0.022604404017329216	OMIM:604805	OMIM:604805
8	0.022888073697686195	OMIM:616907	OMIM:616907
9	0.02299223281443119	ORPHA:100988	ORPHA:100988
10	0.023171955719590187	ORPHA:401785	ORPHA:401785
11	0.023226860910654068	ORPHA:100994	ORPHA:100994
12	0.02406969666481018	OMIM:600363	OMIM:600363
13	0.024181857705116272	OMIM:607152	OMIM:607152
14	0.024246830493211746	ORPHA:488594	ORPHA:488594
15	0.024390896782279015	OMIM:615625	OMIM:615625
16	0.024674274027347565	OMIM:605280	OMIM:605280
17	0.02481260895729065	ORPHA:101011	ORPHA:101011
18	0.025173282250761986	OMIM:609195	OMIM:609195
19	0.02547614276409149	OMIM:615043	OMIM:615043
20	0.02549232356250286	OMIM:607259	OMIM:607259
21	0.025684630498290062	ORPHA:99015	ORPHA:99015
22	0.026055846363306046	OMIM:618418	OMIM:618418
23	0.026081090793013573	ORPHA:100989	ORPHA:100989
24	0.02643427811563015	OMIM:609041	OMIM:609041
25	0.026446174830198288	OMIM:611945	OMIM:611945
26	0.02657489851117134	ORPHA:251282	ORPHA:251282
27	0.02673696167767048	OMIM:603563	OMIM:603563
28	0.0270579531788826	OMIM:613096	OMIM:613096
29	0.02707335352897644	ORPHA:171612	ORPHA:171612
30	0.027191102504730225	OMIM:611252	OMIM:611252
31	0.027205485850572586	ORPHA:320370	ORPHA:320370
32	0.027346372604370117	OMIM:610357	OMIM:610357
33	0.027468977496027946	OMIM:619621	OMIM:619621
34	0.027477631345391273	OMIM:601162	OMIM:601162
35	0.02774697355926037	ORPHA:100993	ORPHA:100993
36	0.027849622070789337	OMIM:205100	OMIM:205100
37	0.028263142332434654	ORPHA:100995	ORPHA:100995
38	0.028288407251238823	ORPHA:447757	ORPHA:447757
39	0.028313683345913887	ORPHA:101008	ORPHA:101008
40	0.028361689299345016	OMIM:275900	OMIM:275900
41	0.028597954660654068	OMIM:613206	OMIM:613206
42	0.028651604428887367	OMIM:619686	OMIM:619686
43	0.028717869892716408	ORPHA:320365	ORPHA:320365
44	0.02877553552389145	ORPHA:352641	ORPHA:352641
45	0.028853679075837135	OMIM:300750	OMIM:300750
