rank	score	disease_name	disease_identifier
1	0.16163361072540283	ORPHA:401800	ORPHA:401800
2	0.16448593139648438	OMIM:159580	OMIM:159580
3	0.17013275623321533	OMIM:613364	OMIM:613364
4	0.17082315683364868	ORPHA:401780	ORPHA:401780
5	0.17336612939834595	ORPHA:101011	ORPHA:101011
6	0.17493730783462524	OMIM:182800	OMIM:182800
7	0.17503660917282104	ORPHA:101010	ORPHA:101010
8	0.17580604553222656	ORPHA:139480	ORPHA:139480
9	0.1761360764503479	ORPHA:101004	ORPHA:101004
10	0.17727160453796387	ORPHA:1429	ORPHA:1429
