rank	score	disease_name	disease_identifier
1	0.013346785679459572	OMIM:208530	OMIM:208530
2	0.01666400022804737	OMIM:306955	OMIM:306955
3	0.01707432232797146	OMIM:270100	OMIM:270100
4	0.01889953948557377	OMIM:619702	OMIM:619702
5	0.01893937960267067	OMIM:613751	OMIM:613751
6	0.019953085109591484	OMIM:616749	OMIM:616749
7	0.020055295899510384	OMIM:608978	OMIM:608978
8	0.020448872819542885	OMIM:617205	OMIM:617205
9	0.021216096356511116	ORPHA:3097	ORPHA:3097
10	0.021645529195666313	OMIM:600001	OMIM:600001
11	0.02179703302681446	ORPHA:210122	ORPHA:210122
12	0.023508934304118156	OMIM:265380	OMIM:265380
13	0.024075355380773544	ORPHA:1209	ORPHA:1209
14	0.024102939292788506	ORPHA:185	ORPHA:185
15	0.025530556216835976	OMIM:613854	OMIM:613854
16	0.028373433277010918	ORPHA:3384	ORPHA:3384
17	0.028464751318097115	ORPHA:99050	ORPHA:99050
18	0.028603624552488327	OMIM:605376	OMIM:605376
19	0.028688373044133186	ORPHA:3427	ORPHA:3427
20	0.02883407473564148	OMIM:614779	OMIM:614779
21	0.02915978617966175	OMIM:620294	OMIM:620294
22	0.02935200184583664	OMIM:601186	OMIM:601186
23	0.029848458245396614	OMIM:618280	OMIM:618280
24	0.030493667349219322	ORPHA:2255	ORPHA:2255
25	0.030579769983887672	OMIM:618845	OMIM:618845
26	0.031924184411764145	OMIM:313850	OMIM:313850
27	0.03218085691332817	OMIM:619657	OMIM:619657
28	0.03243589401245117	OMIM:212093	OMIM:212093
29	0.032448671758174896	ORPHA:2847	ORPHA:2847
30	0.03255511820316315	ORPHA:1686	ORPHA:1686
31	0.03378845378756523	OMIM:617478	OMIM:617478
32	0.03393479436635971	OMIM:314390	OMIM:314390
33	0.033982355147600174	OMIM:115470	OMIM:115470
34	0.03428144007921219	ORPHA:99125	ORPHA:99125
35	0.034515101462602615	ORPHA:1335	ORPHA:1335
36	0.034591175615787506	OMIM:607941	OMIM:607941
37	0.03470848128199577	ORPHA:1457	ORPHA:1457
38	0.03525172173976898	OMIM:231060	OMIM:231060
39	0.03573431447148323	ORPHA:2248	ORPHA:2248
40	0.03674483299255371	OMIM:610338	OMIM:610338
41	0.03700629994273186	ORPHA:3426	ORPHA:3426
42	0.03713804855942726	ORPHA:1120	ORPHA:1120
43	0.037939589470624924	ORPHA:2306	ORPHA:2306
44	0.03797361999750137	ORPHA:860	ORPHA:860
45	0.03858056664466858	ORPHA:1455	ORPHA:1455
46	0.03913062810897827	OMIM:264480	OMIM:264480
47	0.03949300944805145	OMIM:217095	OMIM:217095
48	0.03982814401388168	OMIM:615779	OMIM:615779
49	0.04067985713481903	OMIM:618300	OMIM:618300
50	0.040953367948532104	ORPHA:3405	ORPHA:3405
51	0.041192878037691116	OMIM:192350	OMIM:192350
52	0.041261106729507446	OMIM:614432	OMIM:614432
53	0.041589099913835526	OMIM:618901	OMIM:618901
54	0.041790518909692764	ORPHA:2476	ORPHA:2476
55	0.04179268330335617	OMIM:309801	OMIM:309801
56	0.041794806718826294	OMIM:108800	OMIM:108800
57	0.041880857199430466	OMIM:273395	OMIM:273395
58	0.041956186294555664	OMIM:190685	OMIM:190685
59	0.041999176144599915	OMIM:601322	OMIM:601322
60	0.04208976402878761	ORPHA:2184	ORPHA:2184
61	0.04214244708418846	OMIM:301043	OMIM:301043
62	0.04216732457280159	OMIM:220210	OMIM:220210
63	0.042598821222782135	OMIM:601612	OMIM:601612
64	0.042803723365068436	OMIM:108900	OMIM:108900
65	0.04282279312610626	OMIM:249670	OMIM:249670
66	0.043011464178562164	ORPHA:216694	ORPHA:216694
67	0.04303284361958504	ORPHA:139466	ORPHA:139466
68	0.043046824634075165	ORPHA:1926	ORPHA:1926
69	0.043299634009599686	OMIM:611812	OMIM:611812
70	0.04332393407821655	OMIM:612561	OMIM:612561
71	0.043346330523490906	OMIM:100300	OMIM:100300
72	0.04344818368554115	ORPHA:1923	ORPHA:1923
73	0.043494440615177155	OMIM:606217	OMIM:606217
74	0.043890733271837234	OMIM:214800	OMIM:214800
75	0.04391137510538101	ORPHA:1330	ORPHA:1330
76	0.044042374938726425	OMIM:618780	OMIM:618780
77	0.0440872497856617	OMIM:601355	OMIM:601355
78	0.04416001960635185	OMIM:620025	OMIM:620025
79	0.04426192119717598	ORPHA:392	ORPHA:392
80	0.04443081468343735	ORPHA:2299	ORPHA:2299
81	0.0444326214492321	ORPHA:77298	ORPHA:77298
82	0.04452280327677727	ORPHA:141127	ORPHA:141127
83	0.044749632477760315	OMIM:614435	OMIM:614435
84	0.04521223157644272	ORPHA:2473	ORPHA:2473
85	0.045313917100429535	OMIM:300514	OMIM:300514
86	0.04549822583794594	ORPHA:991	ORPHA:991
87	0.045508407056331635	ORPHA:99094	ORPHA:99094
88	0.04563426971435547	ORPHA:7	ORPHA:7
89	0.04570182040333748	OMIM:620244	OMIM:620244
90	0.045837078243494034	OMIM:619343	OMIM:619343
91	0.04595993459224701	OMIM:609192	OMIM:609192
92	0.046422939747571945	ORPHA:2970	ORPHA:2970
93	0.046479493379592896	OMIM:236680	OMIM:236680
94	0.04655824601650238	OMIM:614429	OMIM:614429
95	0.04671036824584007	OMIM:100100	OMIM:100100
96	0.04684394225478172	ORPHA:1666	ORPHA:1666
97	0.04685341566801071	OMIM:600460	OMIM:600460
98	0.04715770110487938	OMIM:616589	OMIM:616589
99	0.04720550402998924	OMIM:617912	OMIM:617912
100	0.04720960557460785	ORPHA:980	ORPHA:980
101	0.0472218282520771	OMIM:619608	OMIM:619608
102	0.04790990427136421	ORPHA:3412	ORPHA:3412
103	0.04793097451329231	OMIM:164210	OMIM:164210
104	0.048012685030698776	ORPHA:887	ORPHA:887
105	0.04806862398982048	ORPHA:2369	ORPHA:2369
106	0.048121076077222824	ORPHA:2538	ORPHA:2538
107	0.048193324357271194	OMIM:610168	OMIM:610168
108	0.04824017733335495	OMIM:125520	OMIM:125520
109	0.048539262264966965	ORPHA:2166	ORPHA:2166
110	0.048639826476573944	OMIM:618164	OMIM:618164
111	0.04866981878876686	ORPHA:49	ORPHA:49
112	0.04869141802191734	ORPHA:1708	ORPHA:1708
113	0.04877312481403351	OMIM:613686	OMIM:613686
114	0.04878268763422966	OMIM:267010	OMIM:267010
115	0.04880765452980995	ORPHA:2745	ORPHA:2745
116	0.04882362112402916	ORPHA:1166	ORPHA:1166
117	0.04896187409758568	OMIM:616028	OMIM:616028
118	0.049483466893434525	OMIM:611134	OMIM:611134
119	0.049819573760032654	ORPHA:1461	ORPHA:1461
120	0.04982950910925865	ORPHA:63259	ORPHA:63259
121	0.04983168840408325	OMIM:614474	OMIM:614474
122	0.04983426630496979	ORPHA:2326	ORPHA:2326
123	0.04983703792095184	DECIPHER:39	DECIPHER:39
124	0.049871575087308884	OMIM:617661	OMIM:617661
125	0.04995737224817276	OMIM:615524	OMIM:615524
126	0.0499776154756546	ORPHA:2059	ORPHA:2059
127	0.05012819170951843	OMIM:615415	OMIM:615415
128	0.05017179623246193	ORPHA:391641	ORPHA:391641
129	0.05025283992290497	ORPHA:2328	ORPHA:2328
130	0.05032002553343773	OMIM:619534	OMIM:619534
131	0.05032866820693016	ORPHA:555877	ORPHA:555877
132	0.050364695489406586	OMIM:241310	OMIM:241310
133	0.05040181800723076	OMIM:617063	OMIM:617063
134	0.05052296072244644	OMIM:618652	OMIM:618652
135	0.050581011921167374	OMIM:609942	OMIM:609942
136	0.05060310289263725	OMIM:229850	OMIM:229850
137	0.05065879598259926	OMIM:613426	OMIM:613426
138	0.05077173188328743	ORPHA:2209	ORPHA:2209
139	0.05077454447746277	OMIM:276950	OMIM:276950
140	0.05105867236852646	ORPHA:2519	ORPHA:2519
141	0.051206495612859726	OMIM:617992	OMIM:617992
142	0.05132067948579788	OMIM:164280	OMIM:164280
143	0.05147216469049454	ORPHA:268249	ORPHA:268249
144	0.051510103046894073	OMIM:618719	OMIM:618719
145	0.05154787003993988	ORPHA:1780	ORPHA:1780
146	0.051653262227773666	OMIM:613834	OMIM:613834
147	0.0516960471868515	OMIM:192430	OMIM:192430
148	0.051724012941122055	OMIM:606519	OMIM:606519
149	0.0517243891954422	OMIM:608149	OMIM:608149
150	0.05178728699684143	OMIM:178370	OMIM:178370
151	0.0518169179558754	OMIM:613309	OMIM:613309
152	0.05184352770447731	OMIM:612562	OMIM:612562
153	0.05186682194471359	OMIM:249000	OMIM:249000
154	0.05206825852190252	OMIM:620305	OMIM:620305
