rank	score	disease_name	disease_identifier
1	0.015061323530972004	OMIM:601098	OMIM:601098
2	0.016312504187226295	ORPHA:101081	ORPHA:101081
3	0.01833714172244072	ORPHA:2932	ORPHA:2932
4	0.019129112362861633	ORPHA:206594	ORPHA:206594
5	0.01932487264275551	ORPHA:94124	ORPHA:94124
6	0.02040764130651951	ORPHA:3115	ORPHA:3115
7	0.021311655640602112	OMIM:270550	OMIM:270550
8	0.02164349891245365	ORPHA:101085	ORPHA:101085
9	0.021685373038053513	OMIM:302800	OMIM:302800
10	0.021708516404032707	OMIM:601455	OMIM:601455
11	0.021800095215439796	ORPHA:99949	ORPHA:99949
12	0.021901000291109085	ORPHA:497764	ORPHA:497764
13	0.022571923211216927	ORPHA:90658	ORPHA:90658
14	0.022618578746914864	ORPHA:352675	ORPHA:352675
15	0.02264707162976265	ORPHA:101078	ORPHA:101078
16	0.022770412266254425	ORPHA:98771	ORPHA:98771
17	0.023119492456316948	ORPHA:101097	ORPHA:101097
18	0.023405717685818672	ORPHA:98	ORPHA:98
19	0.02367750182747841	OMIM:164400	OMIM:164400
20	0.023750321939587593	ORPHA:99939	ORPHA:99939
21	0.023791125044226646	ORPHA:99953	ORPHA:99953
22	0.023829616606235504	ORPHA:99947	ORPHA:99947
23	0.024031396955251694	ORPHA:101111	ORPHA:101111
24	0.024214638397097588	OMIM:229300	OMIM:229300
25	0.024247286841273308	OMIM:145900	OMIM:145900
26	0.024286316707730293	ORPHA:99014	ORPHA:99014
27	0.02436683513224125	ORPHA:435387	ORPHA:435387
28	0.02452925406396389	OMIM:616688	OMIM:616688
29	0.024808742105960846	OMIM:609260	OMIM:609260
30	0.02481633797287941	ORPHA:352641	ORPHA:352641
31	0.02485627867281437	OMIM:162400	OMIM:162400
32	0.025169771164655685	ORPHA:320365	ORPHA:320365
33	0.02517605759203434	ORPHA:90103	ORPHA:90103
34	0.025483684614300728	ORPHA:101076	ORPHA:101076
35	0.025650573894381523	ORPHA:488333	ORPHA:488333
36	0.025770027190446854	OMIM:607250	OMIM:607250
37	0.02591898664832115	ORPHA:99948	ORPHA:99948
38	0.025920968502759933	ORPHA:206448	ORPHA:206448
39	0.02598327398300171	OMIM:601152	OMIM:601152
40	0.0261527206748724	OMIM:616907	OMIM:616907
41	0.026398062705993652	OMIM:600882	OMIM:600882
42	0.02651369944214821	ORPHA:137898	ORPHA:137898
43	0.026631038635969162	ORPHA:99950	ORPHA:99950
44	0.02664715051651001	ORPHA:320406	ORPHA:320406
45	0.02669794112443924	ORPHA:1175	ORPHA:1175
46	0.026862939819693565	ORPHA:95	ORPHA:95
47	0.026965104043483734	ORPHA:468661	ORPHA:468661
48	0.027048924937844276	ORPHA:100991	ORPHA:100991
49	0.027065904811024666	ORPHA:101075	ORPHA:101075
50	0.027200963348150253	OMIM:615491	OMIM:615491
51	0.02765745297074318	ORPHA:139578	ORPHA:139578
52	0.02769322693347931	ORPHA:36386	ORPHA:36386
53	0.02773262746632099	OMIM:618279	OMIM:618279
54	0.02777811326086521	OMIM:606002	OMIM:606002
55	0.027816079556941986	OMIM:256840	OMIM:256840
56	0.02782260812819004	OMIM:256850	OMIM:256850
57	0.027873534709215164	OMIM:617882	OMIM:617882
58	0.027992412447929382	OMIM:610100	OMIM:610100
59	0.02800149843096733	ORPHA:101077	ORPHA:101077
60	0.0280257947742939	OMIM:614895	OMIM:614895
61	0.02822919934988022	OMIM:619686	OMIM:619686
62	0.028303492814302444	ORPHA:431329	ORPHA:431329
63	0.028411665931344032	OMIM:600223	OMIM:600223
64	0.028626510873436928	OMIM:607736	OMIM:607736
65	0.028741447255015373	OMIM:615035	OMIM:615035
66	0.028799310326576233	OMIM:180800	OMIM:180800
67	0.028834450989961624	ORPHA:466794	ORPHA:466794
68	0.028841810300946236	OMIM:609311	OMIM:609311
69	0.02884680964052677	OMIM:615376	OMIM:615376
70	0.02891816385090351	OMIM:614436	OMIM:614436
71	0.028935948386788368	ORPHA:504476	ORPHA:504476
72	0.028987981379032135	OMIM:608984	OMIM:608984
73	0.029046451672911644	OMIM:607706	OMIM:607706
74	0.02915905974805355	OMIM:607459	OMIM:607459
75	0.02944364957511425	ORPHA:95433	ORPHA:95433
76	0.029476307332515717	OMIM:118220	OMIM:118220
77	0.029505038633942604	ORPHA:88644	ORPHA:88644
78	0.0295211561024189	ORPHA:101010	ORPHA:101010
79	0.029557017609477043	ORPHA:320375	ORPHA:320375
80	0.029599342495203018	ORPHA:206443	ORPHA:206443
81	0.029618751257658005	OMIM:618912	OMIM:618912
82	0.029707279056310654	ORPHA:88628	ORPHA:88628
83	0.029726095497608185	OMIM:600361	OMIM:600361
84	0.029797757044434547	OMIM:500013	OMIM:500013
85	0.029918719083070755	OMIM:614871	OMIM:614871
86	0.029921310022473335	ORPHA:309256	ORPHA:309256
87	0.030063284561038017	ORPHA:99956	ORPHA:99956
88	0.030097438022494316	OMIM:604360	OMIM:604360
89	0.03014574944972992	OMIM:607684	OMIM:607684
90	0.03021438792347908	ORPHA:466768	ORPHA:466768
91	0.03024657629430294	OMIM:617225	OMIM:617225
92	0.03036266192793846	ORPHA:1177	ORPHA:1177
93	0.030385330319404602	OMIM:605285	OMIM:605285
94	0.030565040186047554	OMIM:118200	OMIM:118200
95	0.03057125210762024	ORPHA:320360	ORPHA:320360
96	0.03063678741455078	OMIM:118210	OMIM:118210
97	0.030670078471302986	DECIPHER:29	DECIPHER:29
98	0.030728232115507126	OMIM:615490	OMIM:615490
99	0.03080158866941929	OMIM:615043	OMIM:615043
100	0.03083302453160286	ORPHA:98765	ORPHA:98765
101	0.03086177259683609	ORPHA:99857	ORPHA:99857
102	0.030949894338846207	OMIM:601596	OMIM:601596
103	0.03101019188761711	ORPHA:94125	ORPHA:94125
104	0.031138446182012558	ORPHA:139396	ORPHA:139396
105	0.031196240335702896	OMIM:270685	OMIM:270685
106	0.03131461143493652	ORPHA:356	ORPHA:356
107	0.03142378106713295	ORPHA:309263	ORPHA:309263
108	0.03144429624080658	OMIM:616479	OMIM:616479
109	0.031563106924295425	ORPHA:100984	ORPHA:100984
110	0.03157809004187584	ORPHA:101006	ORPHA:101006
111	0.031625885516405106	ORPHA:643	ORPHA:643
112	0.031627412885427475	OMIM:610245	OMIM:610245
113	0.03176949545741081	ORPHA:70595	ORPHA:70595
114	0.0317813865840435	ORPHA:513436	ORPHA:513436
115	0.03180726245045662	OMIM:611228	OMIM:611228
116	0.03182195872068405	ORPHA:521411	ORPHA:521411
117	0.03182321786880493	ORPHA:1215	ORPHA:1215
118	0.03186347708106041	OMIM:616924	OMIM:616924
119	0.0318676196038723	OMIM:618387	OMIM:618387
120	0.03187382593750954	ORPHA:100996	ORPHA:100996
121	0.03191914036870003	OMIM:617633	OMIM:617633
122	0.03208610415458679	OMIM:613641	OMIM:613641
123	0.032100193202495575	OMIM:618400	OMIM:618400
124	0.03225012496113777	ORPHA:445062	ORPHA:445062
125	0.03227061778306961	OMIM:258450	OMIM:258450
126	0.03229294344782829	ORPHA:95434	ORPHA:95434
127	0.0323135182261467	OMIM:612674	OMIM:612674
128	0.032345134764909744	OMIM:118300	OMIM:118300
129	0.032428719103336334	ORPHA:447753	ORPHA:447753
130	0.03265666216611862	OMIM:617087	OMIM:617087
131	0.03268364071846008	OMIM:618438	OMIM:618438
132	0.032705921679735184	ORPHA:447757	ORPHA:447757
133	0.032718125730752945	OMIM:609033	OMIM:609033
134	0.03275773674249649	OMIM:604563	OMIM:604563
135	0.03280766308307648	OMIM:208920	OMIM:208920
136	0.0328221321105957	ORPHA:99013	ORPHA:99013
137	0.03285355493426323	OMIM:605588	OMIM:605588
138	0.032880380749702454	OMIM:608703	OMIM:608703
139	0.03294375538825989	OMIM:616680	OMIM:616680
140	0.03298935294151306	OMIM:210000	OMIM:210000
141	0.033028483390808105	ORPHA:99027	ORPHA:99027
142	0.03312074393033981	OMIM:607731	OMIM:607731
143	0.03313927352428436	OMIM:159550	OMIM:159550
144	0.03328965604305267	OMIM:607458	OMIM:607458
145	0.03330713137984276	OMIM:300489	OMIM:300489
146	0.03331555798649788	ORPHA:171622	ORPHA:171622
147	0.03337377682328224	ORPHA:101011	ORPHA:101011
148	0.033427998423576355	OMIM:615185	OMIM:615185
149	0.033447012305259705	OMIM:616684	OMIM:616684
150	0.0334508940577507	OMIM:302801	OMIM:302801
151	0.03348869830369949	OMIM:614877	OMIM:614877
152	0.03362463787198067	ORPHA:98916	ORPHA:98916
153	0.03366556018590927	ORPHA:98755	ORPHA:98755
154	0.03374207392334938	ORPHA:280234	ORPHA:280234
155	0.03375507518649101	OMIM:601338	OMIM:601338
156	0.03375880792737007	ORPHA:251282	ORPHA:251282
157	0.03379114344716072	OMIM:118420	OMIM:118420
158	0.033810392022132874	OMIM:608673	OMIM:608673
159	0.03384069353342056	OMIM:620106	OMIM:620106
160	0.033847808837890625	ORPHA:254930	ORPHA:254930
161	0.03390162065625191	ORPHA:96	ORPHA:96
162	0.03390590846538544	OMIM:158580	OMIM:158580
163	0.033922404050827026	OMIM:619574	OMIM:619574
164	0.033952195197343826	OMIM:617018	OMIM:617018
165	0.033962611109018326	OMIM:618184	OMIM:618184
166	0.03397730737924576	ORPHA:399081	ORPHA:399081
167	0.033980581909418106	OMIM:614575	OMIM:614575
168	0.03398064896464348	OMIM:615284	OMIM:615284
169	0.03399655222892761	ORPHA:2596	ORPHA:2596
170	0.034012265503406525	ORPHA:171617	ORPHA:171617
171	0.034035537391901016	OMIM:201300	OMIM:201300
172	0.03406580910086632	OMIM:613287	OMIM:613287
173	0.034089017659425735	ORPHA:2822	ORPHA:2822
174	0.034104008227586746	ORPHA:488594	ORPHA:488594
175	0.03411731496453285	OMIM:607259	OMIM:607259
176	0.034204766154289246	OMIM:614153	OMIM:614153
177	0.03423909842967987	OMIM:615658	OMIM:615658
178	0.03426423668861389	ORPHA:309271	ORPHA:309271
179	0.03430115431547165	ORPHA:444099	ORPHA:444099
180	0.03431842103600502	ORPHA:247245	ORPHA:247245
181	0.034331876784563065	ORPHA:324442	ORPHA:324442
182	0.03434935584664345	OMIM:311070	OMIM:311070
183	0.03438059613108635	OMIM:609195	OMIM:609195
184	0.034426357597112656	OMIM:616505	OMIM:616505
185	0.03451677784323692	ORPHA:101008	ORPHA:101008
186	0.03458395227789879	OMIM:186700	OMIM:186700
187	0.03460434079170227	ORPHA:254886	ORPHA:254886
188	0.03462332859635353	OMIM:250100	OMIM:250100
189	0.034670326858758926	OMIM:616719	OMIM:616719
190	0.03470994532108307	OMIM:614409	OMIM:614409
191	0.03471966087818146	OMIM:214400	OMIM:214400
192	0.03473757579922676	OMIM:609136	OMIM:609136
193	0.03480399772524834	ORPHA:459033	ORPHA:459033
194	0.034843120723962784	OMIM:614369	OMIM:614369
195	0.03484412282705307	OMIM:302802	OMIM:302802
196	0.03484512120485306	ORPHA:640	ORPHA:640
197	0.03490470349788666	OMIM:249900	OMIM:249900
198	0.034961432218551636	OMIM:618036	OMIM:618036
199	0.03499682620167732	OMIM:616491	OMIM:616491
200	0.035064347088336945	OMIM:300905	OMIM:300905
201	0.03506509214639664	ORPHA:101007	ORPHA:101007
