rank	score	disease_name	disease_identifier
1	0.018268859013915062	ORPHA:447896	ORPHA:447896
2	0.01859712228178978	ORPHA:94147	ORPHA:94147
3	0.019481901079416275	OMIM:617710	OMIM:617710
4	0.019521448761224747	ORPHA:98673	ORPHA:98673
5	0.01971558667719364	ORPHA:157850	ORPHA:157850
6	0.01984509639441967	ORPHA:289494	ORPHA:289494
7	0.020044337958097458	ORPHA:527497	ORPHA:527497
8	0.02046807110309601	OMIM:616505	OMIM:616505
9	0.020468516275286674	OMIM:618060	OMIM:618060
10	0.02050163410604	OMIM:614381	OMIM:614381
11	0.02051258087158203	ORPHA:96	ORPHA:96
12	0.020577609539031982	OMIM:612319	OMIM:612319
13	0.020644422620534897	ORPHA:529665	ORPHA:529665
14	0.020836062729358673	OMIM:617225	OMIM:617225
15	0.02089064195752144	ORPHA:48431	ORPHA:48431
16	0.020962446928024292	OMIM:614831	OMIM:614831
17	0.021058157086372375	ORPHA:464282	ORPHA:464282
18	0.02111039310693741	OMIM:619576	OMIM:619576
19	0.02129788137972355	ORPHA:79244	ORPHA:79244
20	0.0213023591786623	OMIM:618527	OMIM:618527
21	0.0213432889431715	OMIM:619422	OMIM:619422
22	0.021364811807870865	OMIM:606854	OMIM:606854
23	0.02137451432645321	OMIM:109150	OMIM:109150
24	0.02139771170914173	ORPHA:254913	ORPHA:254913
25	0.02145264856517315	OMIM:617008	OMIM:617008
26	0.02148621901869774	OMIM:618170	OMIM:618170
27	0.02153598889708519	OMIM:617183	OMIM:617183
28	0.021554915234446526	ORPHA:86309	ORPHA:86309
29	0.021620819345116615	ORPHA:88644	ORPHA:88644
30	0.021645372733473778	ORPHA:459033	ORPHA:459033
31	0.021738464012742043	OMIM:616680	OMIM:616680
32	0.021754855290055275	OMIM:617302	OMIM:617302
33	0.021852999925613403	OMIM:618087	OMIM:618087
34	0.02185814455151558	ORPHA:3137	ORPHA:3137
35	0.02187071554362774	OMIM:620089	OMIM:620089
36	0.022029438987374306	OMIM:278800	OMIM:278800
37	0.02203470841050148	OMIM:607694	OMIM:607694
38	0.022111309692263603	OMIM:252650	OMIM:252650
39	0.022161031141877174	ORPHA:412057	ORPHA:412057
40	0.02219953015446663	OMIM:614877	OMIM:614877
41	0.022201668471097946	ORPHA:79279	ORPHA:79279
42	0.022269660606980324	ORPHA:496790	ORPHA:496790
43	0.022317122668027878	ORPHA:88628	ORPHA:88628
44	0.02237391099333763	OMIM:616875	OMIM:616875
45	0.02240612916648388	OMIM:618088	OMIM:618088
46	0.022417228668928146	ORPHA:588	ORPHA:588
47	0.022551706060767174	OMIM:610743	OMIM:610743
48	0.022622425109148026	OMIM:609033	OMIM:609033
49	0.02264505624771118	ORPHA:276238	ORPHA:276238
49	0.02264505624771118	ORPHA:276241	ORPHA:276241
51	0.022645406424999237	OMIM:614688	OMIM:614688
52	0.022671278566122055	OMIM:236792	OMIM:236792
53	0.022676590830087662	OMIM:210000	OMIM:210000
54	0.02268688753247261	ORPHA:909	ORPHA:909
55	0.022740213200449944	OMIM:614255	OMIM:614255
56	0.02278306521475315	OMIM:312080	OMIM:312080
57	0.022783463820815086	OMIM:616204	OMIM:616204
58	0.022837430238723755	OMIM:617810	OMIM:617810
59	0.022838912904262543	ORPHA:35069	ORPHA:35069
60	0.022909438237547874	OMIM:105210	OMIM:105210
61	0.022994155064225197	ORPHA:33445	ORPHA:33445
62	0.02302849292755127	OMIM:601338	OMIM:601338
63	0.02304130420088768	OMIM:175780	OMIM:175780
64	0.023150313645601273	ORPHA:70595	ORPHA:70595
65	0.02322903834283352	OMIM:614961	OMIM:614961
66	0.023235797882080078	ORPHA:2318	ORPHA:2318
67	0.023239977657794952	OMIM:256600	OMIM:256600
68	0.023260582238435745	OMIM:617807	OMIM:617807
69	0.023270245641469955	OMIM:619260	OMIM:619260
70	0.02327786013484001	ORPHA:272	ORPHA:272
71	0.023311836645007133	ORPHA:191	ORPHA:191
72	0.023320533335208893	OMIM:615356	OMIM:615356
73	0.023382587358355522	ORPHA:100996	ORPHA:100996
74	0.02341139130294323	OMIM:304700	OMIM:304700
75	0.023425785824656487	OMIM:616756	OMIM:616756
76	0.023463841527700424	ORPHA:1766	ORPHA:1766
77	0.023491213098168373	ORPHA:572798	ORPHA:572798
78	0.023509038612246513	ORPHA:578	ORPHA:578
79	0.02351713925600052	OMIM:617951	OMIM:617951
80	0.023543911054730415	ORPHA:644	ORPHA:644
81	0.023615265265107155	OMIM:500001	OMIM:500001
82	0.023668477311730385	ORPHA:3151	ORPHA:3151
83	0.023693179711699486	OMIM:271245	OMIM:271245
84	0.02373250015079975	OMIM:615809	OMIM:615809
85	0.023759489879012108	ORPHA:2254	ORPHA:2254
86	0.02379915490746498	OMIM:619389	OMIM:619389
87	0.02384490892291069	ORPHA:52368	ORPHA:52368
88	0.02386915124952793	ORPHA:370022	ORPHA:370022
89	0.023882174864411354	OMIM:617695	OMIM:617695
90	0.023930026218295097	OMIM:616859	OMIM:616859
91	0.02395426668226719	ORPHA:284289	ORPHA:284289
92	0.02398044243454933	OMIM:618317	OMIM:618317
93	0.024006981402635574	OMIM:213700	OMIM:213700
94	0.024012917652726173	OMIM:614863	OMIM:614863
95	0.024020178243517876	OMIM:617121	OMIM:617121
96	0.02402314729988575	ORPHA:90324	ORPHA:90324
97	0.024025944992899895	OMIM:608703	OMIM:608703
98	0.024026252329349518	ORPHA:702	ORPHA:702
99	0.024027472361922264	ORPHA:772	ORPHA:772
100	0.024038147181272507	ORPHA:2822	ORPHA:2822
101	0.02404129132628441	OMIM:614298	OMIM:614298
102	0.02405489794909954	ORPHA:228346	ORPHA:228346
103	0.024076370522379875	OMIM:618800	OMIM:618800
104	0.0241090040653944	OMIM:617193	OMIM:617193
105	0.02411324717104435	OMIM:619092	OMIM:619092
106	0.024179736152291298	OMIM:619806	OMIM:619806
107	0.024201247841119766	OMIM:618688	OMIM:618688
108	0.024218780919909477	ORPHA:98757	ORPHA:98757
109	0.024233227595686913	OMIM:617282	OMIM:617282
110	0.024257758632302284	OMIM:616586	OMIM:616586
111	0.02426680363714695	OMIM:619708	OMIM:619708
112	0.024267738685011864	ORPHA:216866	ORPHA:216866
113	0.02429548278450966	ORPHA:220493	ORPHA:220493
114	0.024326933547854424	OMIM:300523	OMIM:300523
115	0.024375202134251595	OMIM:222300	OMIM:222300
116	0.024416550993919373	ORPHA:276244	ORPHA:276244
117	0.024422883987426758	OMIM:617854	OMIM:617854
118	0.02446223981678486	ORPHA:220497	ORPHA:220497
