rank	score	disease_name	disease_identifier
1	0.030832117423415184	ORPHA:178400	ORPHA:178400
2	0.032062847167253494	ORPHA:488650	ORPHA:488650
3	0.0324571430683136	OMIM:600794	OMIM:600794
4	0.032901033759117126	ORPHA:603	ORPHA:603
5	0.03405224531888962	ORPHA:399086	ORPHA:399086
6	0.035534024238586426	OMIM:601472	OMIM:601472
7	0.036992497742176056	ORPHA:324442	ORPHA:324442
8	0.03847936913371086	ORPHA:98912	ORPHA:98912
9	0.03881717100739479	ORPHA:399103	ORPHA:399103
10	0.03899533301591873	OMIM:612335	OMIM:612335
11	0.03982064500451088	ORPHA:609	ORPHA:609
12	0.03982473537325859	OMIM:270685	OMIM:270685
13	0.040240317583084106	ORPHA:206549	ORPHA:206549
14	0.04064154252409935	OMIM:601954	OMIM:601954
15	0.04074087738990784	ORPHA:100998	ORPHA:100998
16	0.04120432212948799	OMIM:613376	OMIM:613376
17	0.0412147156894207	OMIM:619216	OMIM:619216
18	0.04125456511974335	OMIM:160500	OMIM:160500
19	0.04181677848100662	OMIM:614321	OMIM:614321
20	0.042187124490737915	OMIM:619519	OMIM:619519
21	0.04249293729662895	ORPHA:139536	ORPHA:139536
22	0.042763903737068176	ORPHA:610	ORPHA:610
23	0.04285850375890732	ORPHA:602	ORPHA:602
24	0.04352590814232826	OMIM:182960	OMIM:182960
25	0.04398603364825249	OMIM:607684	OMIM:607684
26	0.044188760221004486	OMIM:616687	OMIM:616687
27	0.04419391229748726	ORPHA:178145	ORPHA:178145
28	0.04421301186084747	ORPHA:399096	ORPHA:399096
29	0.044225215911865234	OMIM:606595	OMIM:606595
30	0.04465150460600853	ORPHA:45448	ORPHA:45448
31	0.04467325657606125	ORPHA:98856	ORPHA:98856
32	0.04476986080408096	OMIM:254110	OMIM:254110
33	0.045193787664175034	OMIM:605726	OMIM:605726
34	0.045447446405887604	OMIM:608810	OMIM:608810
35	0.045531775802373886	OMIM:611588	OMIM:611588
36	0.04558747261762619	OMIM:300695	OMIM:300695
37	0.04559965431690216	OMIM:118300	OMIM:118300
38	0.0456894151866436	ORPHA:59135	ORPHA:59135
39	0.04574735835194588	OMIM:616924	OMIM:616924
40	0.04596741124987602	ORPHA:466768	ORPHA:466768
41	0.04609612375497818	OMIM:610099	OMIM:610099
42	0.0465126559138298	ORPHA:267	ORPHA:267
43	0.046824824064970016	ORPHA:178464	ORPHA:178464
44	0.04683733358979225	ORPHA:276435	ORPHA:276435
45	0.04685790091753006	ORPHA:171617	ORPHA:171617
46	0.04694565013051033	ORPHA:206546	ORPHA:206546
47	0.046961840242147446	ORPHA:101076	ORPHA:101076
48	0.047039493918418884	OMIM:160300	OMIM:160300
49	0.047089140862226486	ORPHA:63273	ORPHA:63273
50	0.04717368260025978	OMIM:607641	OMIM:607641
51	0.047570765018463135	OMIM:271150	OMIM:271150
52	0.04775145277380943	OMIM:603689	OMIM:603689
53	0.0478370264172554	OMIM:615575	OMIM:615575
54	0.04814857244491577	OMIM:617030	OMIM:617030
55	0.04823090508580208	OMIM:618811	OMIM:618811
56	0.04877064377069473	OMIM:619574	OMIM:619574
57	0.04881097748875618	OMIM:608340	OMIM:608340
58	0.048906512558460236	ORPHA:101085	ORPHA:101085
59	0.04896510764956474	OMIM:616040	OMIM:616040
60	0.049011800438165665	OMIM:160150	OMIM:160150
61	0.049029476940631866	OMIM:616852	OMIM:616852
62	0.049079205840826035	OMIM:256030	OMIM:256030
63	0.049144063144922256	OMIM:253400	OMIM:253400
64	0.04915200173854828	OMIM:616668	OMIM:616668
