rank	score	disease_name	disease_identifier
1	0.02376914955675602	OMIM:616171	OMIM:616171
2	0.023852724581956863	OMIM:253280	OMIM:253280
3	0.02451043762266636	ORPHA:370959	ORPHA:370959
4	0.025014065206050873	OMIM:236670	OMIM:236670
5	0.025729181244969368	ORPHA:899	ORPHA:899
6	0.026129666715860367	OMIM:608091	OMIM:608091
7	0.02667972631752491	OMIM:614643	OMIM:614643
8	0.02702278085052967	OMIM:615219	OMIM:615219
9	0.027535971254110336	OMIM:613153	OMIM:613153
10	0.027643902227282524	OMIM:616538	OMIM:616538
11	0.02766500972211361	OMIM:267750	OMIM:267750
12	0.027905086055397987	OMIM:619260	OMIM:619260
13	0.028028840199112892	OMIM:251270	OMIM:251270
14	0.028040464967489243	OMIM:614219	OMIM:614219
15	0.02845318242907524	OMIM:615095	OMIM:615095
16	0.028472185134887695	ORPHA:163937	ORPHA:163937
17	0.028502363711595535	OMIM:614424	OMIM:614424
18	0.02856789529323578	OMIM:615191	OMIM:615191
19	0.02871437929570675	OMIM:304100	OMIM:304100
20	0.02877824939787388	OMIM:613150	OMIM:613150
21	0.028807898983359337	OMIM:600118	OMIM:600118
22	0.02909308299422264	ORPHA:2714	ORPHA:2714
23	0.02920401282608509	ORPHA:543470	ORPHA:543470
24	0.02921062335371971	OMIM:614222	OMIM:614222
25	0.0292618777602911	ORPHA:370997	ORPHA:370997
26	0.029280049726366997	ORPHA:467166	ORPHA:467166
27	0.029343217611312866	OMIM:608027	OMIM:608027
28	0.029370136559009552	ORPHA:370022	ORPHA:370022
29	0.029635000973939896	OMIM:213300	OMIM:213300
30	0.029699811711907387	ORPHA:2510	ORPHA:2510
31	0.029941532760858536	OMIM:616212	OMIM:616212
32	0.03002236597239971	OMIM:617757	OMIM:617757
33	0.03003855049610138	OMIM:615181	OMIM:615181
34	0.030148375779390335	OMIM:617622	OMIM:617622
35	0.03017410822212696	ORPHA:79326	ORPHA:79326
36	0.030344070866703987	OMIM:619603	OMIM:619603
37	0.030349185690283775	ORPHA:1496	ORPHA:1496
38	0.030473755672574043	OMIM:251300	OMIM:251300
39	0.030672524124383926	OMIM:615760	OMIM:615760
40	0.03072834014892578	OMIM:617255	OMIM:617255
41	0.030816493555903435	OMIM:613155	OMIM:613155
42	0.03086990863084793	ORPHA:300573	ORPHA:300573
43	0.030963031575083733	OMIM:300749	OMIM:300749
44	0.030968958511948586	ORPHA:1528	ORPHA:1528
45	0.03101174160838127	OMIM:616211	OMIM:616211
46	0.031023535877466202	ORPHA:2185	ORPHA:2185
47	0.03118492290377617	OMIM:615803	OMIM:615803
48	0.03126457706093788	OMIM:618437	OMIM:618437
49	0.03132389858365059	OMIM:619512	OMIM:619512
50	0.03145308792591095	ORPHA:139471	ORPHA:139471
51	0.03147415444254875	OMIM:617729	OMIM:617729
52	0.0314820222556591	OMIM:615287	OMIM:615287
53	0.031495679169893265	ORPHA:357058	ORPHA:357058
54	0.03160262107849121	OMIM:614039	OMIM:614039
55	0.031703609973192215	OMIM:617090	OMIM:617090
56	0.03174140676856041	OMIM:616900	OMIM:616900
57	0.03174607828259468	OMIM:616875	OMIM:616875
58	0.03187848627567291	ORPHA:171680	ORPHA:171680
59	0.03189787268638611	ORPHA:3207	ORPHA:3207
60	0.03189920634031296	OMIM:615249	OMIM:615249
61	0.03196319565176964	ORPHA:29	ORPHA:29
62	0.03201534226536751	OMIM:603387	OMIM:603387
63	0.03205912932753563	OMIM:616154	OMIM:616154
64	0.03207806125283241	OMIM:608716	OMIM:608716
65	0.03219910338521004	OMIM:619690	OMIM:619690
66	0.03226914629340172	OMIM:261515	OMIM:261515
67	0.03237319737672806	OMIM:618590	OMIM:618590
68	0.03237677738070488	ORPHA:1538	ORPHA:1538
69	0.032416682690382004	ORPHA:468631	ORPHA:468631
70	0.03242233768105507	ORPHA:447788	ORPHA:447788
71	0.032568152993917465	OMIM:617121	OMIM:617121
72	0.03257645294070244	OMIM:617507	OMIM:617507
73	0.03261654078960419	ORPHA:75857	ORPHA:75857
74	0.03265184909105301	OMIM:614225	OMIM:614225
75	0.03265503793954849	OMIM:618672	OMIM:618672
