rank	score	disease_name	disease_identifier
1	0.018982913345098495	OMIM:190350	OMIM:190350
2	0.0196246225386858	OMIM:190351	OMIM:190351
3	0.020936880260705948	OMIM:612463	OMIM:612463
4	0.022651351988315582	ORPHA:2636	ORPHA:2636
5	0.022781211882829666	OMIM:600002	OMIM:600002
6	0.02306508645415306	OMIM:601812	OMIM:601812
7	0.0231365617364645	OMIM:224300	OMIM:224300
8	0.02322699874639511	OMIM:614856	OMIM:614856
9	0.02343882992863655	ORPHA:1452	ORPHA:1452
10	0.02345774695277214	ORPHA:2463	ORPHA:2463
11	0.02355879172682762	OMIM:614813	OMIM:614813
12	0.02376605197787285	OMIM:170390	OMIM:170390
13	0.02432248555123806	ORPHA:808	ORPHA:808
14	0.024548880755901337	ORPHA:93357	ORPHA:93357
15	0.024611396715044975	OMIM:139210	OMIM:139210
16	0.02469843253493309	ORPHA:950	ORPHA:950
17	0.024729207158088684	ORPHA:192	ORPHA:192
18	0.024820351973176003	ORPHA:2323	ORPHA:2323
19	0.024844100698828697	ORPHA:77258	ORPHA:77258
20	0.02485745958983898	OMIM:616229	OMIM:616229
21	0.024976082146167755	OMIM:101800	OMIM:101800
22	0.02506091073155403	ORPHA:439822	ORPHA:439822
23	0.025105683133006096	OMIM:611717	OMIM:611717
24	0.025110235437750816	ORPHA:2370	ORPHA:2370
25	0.025163695216178894	ORPHA:488434	ORPHA:488434
26	0.025272388011217117	ORPHA:175	ORPHA:175
27	0.02532133087515831	OMIM:608154	OMIM:608154
28	0.025329669937491417	OMIM:102500	OMIM:102500
29	0.025358347222208977	OMIM:300232	OMIM:300232
30	0.025387931615114212	OMIM:103580	OMIM:103580
31	0.025514135137200356	ORPHA:391408	ORPHA:391408
32	0.025688624009490013	OMIM:613848	OMIM:613848
33	0.025725657120347023	ORPHA:3079	ORPHA:3079
34	0.025733821094036102	OMIM:619489	OMIM:619489
35	0.025740275159478188	ORPHA:955	ORPHA:955
36	0.02575494535267353	ORPHA:502	ORPHA:502
37	0.025857046246528625	OMIM:182250	OMIM:182250
38	0.025912102311849594	OMIM:614008	OMIM:614008
39	0.02604569122195244	ORPHA:2108	ORPHA:2108
40	0.02605312317609787	ORPHA:90154	ORPHA:90154
41	0.026149705052375793	OMIM:612731	OMIM:612731
42	0.026179129257798195	OMIM:231070	OMIM:231070
43	0.026181111112236977	OMIM:616723	OMIM:616723
44	0.026244111359119415	ORPHA:2980	ORPHA:2980
45	0.026260027661919594	OMIM:259600	OMIM:259600
46	0.026302829384803772	ORPHA:763	ORPHA:763
47	0.026306714862585068	OMIM:616200	OMIM:616200
48	0.026391297578811646	OMIM:244460	OMIM:244460
49	0.026425033807754517	OMIM:309583	OMIM:309583
50	0.02653205394744873	ORPHA:1005	ORPHA:1005
51	0.02653227001428604	ORPHA:457395	ORPHA:457395
52	0.0265918280929327	OMIM:166250	OMIM:166250
53	0.02659768983721733	OMIM:218330	OMIM:218330
54	0.02660243585705757	ORPHA:193	ORPHA:193
55	0.026653161272406578	ORPHA:633	ORPHA:633
56	0.02668812870979309	ORPHA:281	ORPHA:281
57	0.02673027105629444	OMIM:210720	OMIM:210720
58	0.02674652636051178	ORPHA:969	ORPHA:969
59	0.026801608502864838	OMIM:613849	OMIM:613849
60	0.026809286326169968	OMIM:212066	OMIM:212066
61	0.026850460097193718	OMIM:266920	OMIM:266920
62	0.026862893253564835	OMIM:226980	OMIM:226980
63	0.026902904734015465	OMIM:619127	OMIM:619127
64	0.026912588626146317	OMIM:619322	OMIM:619322
65	0.027011733502149582	OMIM:259050	OMIM:259050
66	0.027046026661992073	OMIM:251450	OMIM:251450
67	0.027067402377724648	OMIM:616507	OMIM:616507
68	0.027108250185847282	OMIM:112240	OMIM:112240
69	0.02713279239833355	OMIM:184260	OMIM:184260
70	0.027224719524383545	ORPHA:73230	ORPHA:73230
71	0.027230048552155495	ORPHA:3459	ORPHA:3459
72	0.027231188490986824	ORPHA:163966	ORPHA:163966
73	0.02724074013531208	ORPHA:3068	ORPHA:3068
74	0.027254348620772362	OMIM:601559	OMIM:601559
75	0.02729102410376072	ORPHA:3472	ORPHA:3472
76	0.02729824371635914	ORPHA:870	ORPHA:870
77	0.027313867583870888	ORPHA:370930	ORPHA:370930
78	0.027414720505475998	ORPHA:251028	ORPHA:251028
79	0.02742154896259308	ORPHA:3063	ORPHA:3063
80	0.027427835389971733	OMIM:611209	OMIM:611209
81	0.027453234419226646	OMIM:216550	OMIM:216550
82	0.02751276083290577	ORPHA:217346	ORPHA:217346
83	0.027575606480240822	ORPHA:1514	ORPHA:1514
84	0.027578696608543396	OMIM:268400	OMIM:268400
85	0.027616005390882492	ORPHA:235	ORPHA:235
86	0.02763267233967781	OMIM:264090	OMIM:264090
87	0.027665188536047935	OMIM:610442	OMIM:610442
88	0.027676554396748543	ORPHA:1782	ORPHA:1782
89	0.02770247869193554	OMIM:615777	OMIM:615777
90	0.027716729789972305	ORPHA:353298	ORPHA:353298
91	0.027731124311685562	OMIM:612350	OMIM:612350
92	0.027749905362725258	OMIM:301900	OMIM:301900
93	0.027795616537332535	OMIM:601358	OMIM:601358
94	0.027823662385344505	OMIM:611174	OMIM:611174
95	0.02787894196808338	OMIM:271510	OMIM:271510
96	0.027891656383872032	OMIM:270450	OMIM:270450
97	0.027900945395231247	ORPHA:2078	ORPHA:2078
98	0.027901511639356613	ORPHA:319195	ORPHA:319195
99	0.027926165610551834	ORPHA:90650	ORPHA:90650
100	0.027943085879087448	ORPHA:3242	ORPHA:3242
101	0.027982056140899658	OMIM:619636	OMIM:619636
102	0.027983879670500755	OMIM:616651	OMIM:616651
103	0.027997268363833427	OMIM:273750	OMIM:273750
104	0.028022175654768944	ORPHA:2637	ORPHA:2637
105	0.028033986687660217	ORPHA:1133	ORPHA:1133
106	0.028069796040654182	ORPHA:2107	ORPHA:2107
107	0.02808346226811409	ORPHA:2067	ORPHA:2067
108	0.028086114674806595	ORPHA:94068	ORPHA:94068
109	0.028103921562433243	OMIM:231050	OMIM:231050
110	0.028104254975914955	OMIM:234100	OMIM:234100
111	0.02812003530561924	ORPHA:2658	ORPHA:2658
112	0.028145063668489456	OMIM:615789	OMIM:615789
113	0.028149306774139404	OMIM:615222	OMIM:615222
114	0.028207404538989067	ORPHA:2976	ORPHA:2976
115	0.028218533843755722	ORPHA:3121	ORPHA:3121
116	0.028281226754188538	OMIM:212720	OMIM:212720
117	0.028315450996160507	OMIM:618724	OMIM:618724
118	0.028345227241516113	OMIM:114290	OMIM:114290
119	0.028355933725833893	OMIM:241410	OMIM:241410
120	0.028405172750353813	OMIM:305400	OMIM:305400
121	0.028413735330104828	ORPHA:96061	ORPHA:96061
122	0.028420766815543175	ORPHA:85293	ORPHA:85293
123	0.028452130034565926	ORPHA:2511	ORPHA:2511
124	0.028465058654546738	ORPHA:2785	ORPHA:2785
125	0.028474358841776848	OMIM:608328	OMIM:608328
126	0.028480498120188713	OMIM:250410	OMIM:250410
127	0.028512492775917053	ORPHA:480880	ORPHA:480880
128	0.02854064479470253	OMIM:303600	OMIM:303600
129	0.028550317510962486	OMIM:300590	OMIM:300590
130	0.028576698154211044	ORPHA:96201	ORPHA:96201
131	0.0285783838480711	ORPHA:93315	ORPHA:93315
132	0.028621526435017586	ORPHA:628	ORPHA:628
133	0.028621602803468704	ORPHA:1001	ORPHA:1001
134	0.0286350529640913	ORPHA:2746	ORPHA:2746
135	0.02864370308816433	ORPHA:666	ORPHA:666
136	0.02864736132323742	ORPHA:127	ORPHA:127
137	0.028661208227276802	OMIM:180870	OMIM:180870
138	0.02873440831899643	ORPHA:93296	ORPHA:93296
139	0.028736179694533348	ORPHA:3447	ORPHA:3447
140	0.0287527646869421	OMIM:620072	OMIM:620072
141	0.028778495267033577	ORPHA:3474	ORPHA:3474
142	0.028798874467611313	OMIM:130070	OMIM:130070
143	0.02882208861410618	OMIM:605130	OMIM:605130
144	0.028823325410485268	OMIM:618363	OMIM:618363
145	0.028888728469610214	ORPHA:1787	ORPHA:1787
146	0.028900442644953728	OMIM:617952	OMIM:617952
147	0.028927642852067947	OMIM:617561	OMIM:617561
148	0.028936488553881645	OMIM:169400	OMIM:169400
149	0.02897469885647297	ORPHA:1738	ORPHA:1738
150	0.02898135781288147	ORPHA:3409	ORPHA:3409
151	0.028982533141970634	OMIM:618853	OMIM:618853
152	0.02898925542831421	OMIM:266280	OMIM:266280
153	0.028990784659981728	ORPHA:293967	ORPHA:293967
154	0.02901911549270153	ORPHA:557003	ORPHA:557003
155	0.029020749032497406	ORPHA:3051	ORPHA:3051
156	0.029027743265032768	ORPHA:71267	ORPHA:71267
157	0.029043972492218018	OMIM:210730	OMIM:210730
158	0.029057664796710014	ORPHA:503	ORPHA:503
159	0.029077647253870964	ORPHA:3219	ORPHA:3219
160	0.02907789684832096	OMIM:252500	OMIM:252500
161	0.02908255159854889	OMIM:614205	OMIM:614205
162	0.02908746898174286	ORPHA:2788	ORPHA:2788
163	0.02913503348827362	ORPHA:2801	ORPHA:2801
164	0.02913801185786724	OMIM:224690	OMIM:224690
165	0.0291775893419981	OMIM:610954	OMIM:610954
166	0.029240023344755173	ORPHA:582	ORPHA:582
167	0.02924705669283867	OMIM:258480	OMIM:258480
168	0.02927805669605732	OMIM:156400	OMIM:156400
169	0.029287228360772133	OMIM:619795	OMIM:619795
170	0.029290106147527695	ORPHA:420794	ORPHA:420794
171	0.02929193526506424	ORPHA:90153	ORPHA:90153
172	0.029298732057213783	OMIM:608612	OMIM:608612
173	0.02930060774087906	ORPHA:1387	ORPHA:1387
174	0.02932402305305004	ORPHA:1517	ORPHA:1517
175	0.02933795005083084	OMIM:300990	OMIM:300990
176	0.029340265318751335	ORPHA:61	ORPHA:61
177	0.02934587188065052	ORPHA:93324	ORPHA:93324
178	0.029349246993660927	ORPHA:1307	ORPHA:1307
179	0.029364077374339104	ORPHA:221016	ORPHA:221016
180	0.029366208240389824	OMIM:613320	OMIM:613320
181	0.029390398412942886	OMIM:151050	OMIM:151050
182	0.029390843585133553	OMIM:224400	OMIM:224400
183	0.029412921518087387	OMIM:614613	OMIM:614613
184	0.029418855905532837	ORPHA:94065	ORPHA:94065
185	0.029424602165818214	OMIM:216340	OMIM:216340
186	0.02945944108068943	ORPHA:1422	ORPHA:1422
187	0.02948150970041752	OMIM:268310	OMIM:268310
188	0.029503291472792625	OMIM:119600	OMIM:119600
189	0.02951418049633503	OMIM:259775	OMIM:259775
190	0.029516320675611496	OMIM:616007	OMIM:616007
