rank	score	disease_name	disease_identifier
1	0.13814079761505127	ORPHA:231393	ORPHA:231393
2	0.14119362831115723	OMIM:615193	OMIM:615193
3	0.15078610181808472	OMIM:619271	OMIM:619271
4	0.1539320945739746	OMIM:187800	OMIM:187800
5	0.15813612937927246	OMIM:619130	OMIM:619130
6	0.16168010234832764	ORPHA:231242	ORPHA:231242
7	0.16218692064285278	OMIM:187950	OMIM:187950
8	0.16245460510253906	ORPHA:231237	ORPHA:231237
9	0.16256946325302124	OMIM:604498	OMIM:604498
10	0.16450202465057373	ORPHA:318	ORPHA:318
