rank	score	disease_name	disease_identifier
1	0.014284524135291576	OMIM:619777	OMIM:619777
2	0.01436725165694952	OMIM:615398	OMIM:615398
3	0.01536321360617876	OMIM:618076	OMIM:618076
4	0.01561008021235466	OMIM:620029	OMIM:620029
5	0.01575900986790657	OMIM:618792	OMIM:618792
6	0.016119852662086487	ORPHA:1934	ORPHA:1934
7	0.016155963763594627	ORPHA:352490	ORPHA:352490
8	0.016263296827673912	OMIM:617527	OMIM:617527
9	0.016270877793431282	ORPHA:522077	ORPHA:522077
10	0.01641354151070118	OMIM:617201	OMIM:617201
11	0.0164170041680336	OMIM:300672	OMIM:300672
12	0.01647273637354374	ORPHA:544503	ORPHA:544503
13	0.016551801934838295	OMIM:612949	OMIM:612949
14	0.016593443229794502	OMIM:618143	OMIM:618143
15	0.01664435863494873	OMIM:617773	OMIM:617773
16	0.01666858047246933	ORPHA:488632	ORPHA:488632
17	0.016831472516059875	OMIM:619124	OMIM:619124
18	0.016963288187980652	OMIM:617798	OMIM:617798
19	0.016991974785923958	ORPHA:371364	ORPHA:371364
20	0.016997303813695908	OMIM:619092	OMIM:619092
21	0.01704077608883381	OMIM:301044	OMIM:301044
22	0.017051201313734055	ORPHA:1675	ORPHA:1675
23	0.017084134742617607	ORPHA:86309	ORPHA:86309
24	0.017095498740673065	OMIM:616973	OMIM:616973
25	0.01717456616461277	OMIM:620224	OMIM:620224
26	0.017181172966957092	OMIM:300884	OMIM:300884
27	0.017344987019896507	OMIM:619475	OMIM:619475
28	0.01736791431903839	OMIM:618067	OMIM:618067
29	0.01739588938653469	ORPHA:364028	ORPHA:364028
30	0.01741400733590126	ORPHA:369837	ORPHA:369837
31	0.017456667497754097	OMIM:617804	OMIM:617804
32	0.01748753897845745	OMIM:617807	OMIM:617807
33	0.017544930800795555	OMIM:619229	OMIM:619229
34	0.017571469768881798	ORPHA:475	ORPHA:475
35	0.01758480630815029	OMIM:619428	OMIM:619428
36	0.017585916444659233	OMIM:617193	OMIM:617193
37	0.017596276476979256	OMIM:608093	OMIM:608093
38	0.01769927330315113	ORPHA:404448	ORPHA:404448
39	0.01770295761525631	OMIM:617268	OMIM:617268
40	0.017722979187965393	ORPHA:466943	ORPHA:466943
41	0.017757700756192207	OMIM:300912	OMIM:300912
42	0.017779765650629997	OMIM:614231	OMIM:614231
43	0.017851456999778748	OMIM:620070	OMIM:620070
44	0.017877943813800812	OMIM:214150	OMIM:214150
45	0.01790938526391983	OMIM:615851	OMIM:615851
46	0.017957231029868126	OMIM:619680	OMIM:619680
47	0.017998484894633293	OMIM:619877	OMIM:619877
48	0.018063092604279518	OMIM:618493	OMIM:618493
49	0.018066467717289925	OMIM:620330	OMIM:620330
50	0.018089741468429565	OMIM:301066	OMIM:301066
51	0.018123812973499298	ORPHA:481152	ORPHA:481152
52	0.018128259107470512	OMIM:617507	OMIM:617507
53	0.018129348754882812	ORPHA:3306	ORPHA:3306
54	0.018140189349651337	OMIM:614961	OMIM:614961
55	0.0181419737637043	ORPHA:513456	ORPHA:513456
56	0.01816018484532833	ORPHA:314655	ORPHA:314655
57	0.018183045089244843	OMIM:314580	OMIM:314580
58	0.018211422488093376	OMIM:617976	OMIM:617976
59	0.018218964338302612	OMIM:300966	OMIM:300966
60	0.018243612721562386	ORPHA:268261	ORPHA:268261
61	0.018255092203617096	ORPHA:79322	ORPHA:79322
62	0.018299324437975883	OMIM:619076	OMIM:619076
63	0.01839412935078144	ORPHA:502434	ORPHA:502434
64	0.018432224169373512	ORPHA:2216	ORPHA:2216
65	0.018469952046871185	OMIM:607906	OMIM:607906
66	0.01847074367105961	OMIM:277590	OMIM:277590
67	0.01847723498940468	OMIM:617802	OMIM:617802
