rank	score	disease_name	disease_identifier
1	0.02568894624710083	OMIM:616739	OMIM:616739
2	0.027589108794927597	DECIPHER:92	DECIPHER:92
3	0.029893510043621063	ORPHA:226	ORPHA:226
4	0.034629788249731064	OMIM:614347	OMIM:614347
5	0.035044360905885696	OMIM:611093	OMIM:611093
6	0.03583727777004242	OMIM:614345	OMIM:614345
7	0.03945237770676613	OMIM:620038	OMIM:620038
8	0.04326827824115753	OMIM:607417	OMIM:607417
9	0.04370759427547455	OMIM:608443	OMIM:608443
10	0.0456964373588562	OMIM:618687	OMIM:618687
11	0.04623160511255264	OMIM:617432	OMIM:617432
12	0.04625353217124939	OMIM:620027	OMIM:620027
13	0.046382445842027664	OMIM:618351	OMIM:618351
14	0.04701397940516472	OMIM:614340	OMIM:614340
15	0.04856357350945473	ORPHA:436151	ORPHA:436151
16	0.048597466200590134	OMIM:617983	OMIM:617983
17	0.04925261810421944	OMIM:612703	OMIM:612703
18	0.05019618198275566	OMIM:616402	OMIM:616402
19	0.05109570547938347	OMIM:618103	OMIM:618103
20	0.05119302496314049	OMIM:615817	OMIM:615817
21	0.05180959776043892	OMIM:611107	OMIM:611107
22	0.05212980508804321	ORPHA:2798	ORPHA:2798
23	0.05216512829065323	OMIM:616763	OMIM:616763
24	0.05251479148864746	OMIM:608393	OMIM:608393
25	0.052659835666418076	OMIM:616418	OMIM:616418
26	0.05270574614405632	OMIM:618482	OMIM:618482
27	0.05287104845046997	OMIM:300705	OMIM:300705
28	0.05297981575131416	OMIM:204750	OMIM:204750
29	0.05312348157167435	OMIM:619033	OMIM:619033
30	0.053322359919548035	OMIM:617863	OMIM:617863
31	0.05503338202834129	OMIM:619453	OMIM:619453
32	0.055079810321331024	OMIM:606053	OMIM:606053
33	0.05518000200390816	OMIM:611913	OMIM:611913
34	0.05525266379117966	OMIM:614728	OMIM:614728
35	0.05585526302456856	OMIM:620243	OMIM:620243
36	0.05602136254310608	OMIM:618402	OMIM:618402
37	0.056150004267692566	OMIM:614342	OMIM:614342
38	0.05649125948548317	OMIM:614023	OMIM:614023
39	0.05651495233178139	OMIM:300982	OMIM:300982
40	0.056563325226306915	OMIM:300848	OMIM:300848
41	0.056571148335933685	OMIM:618492	OMIM:618492
42	0.05661232769489288	ORPHA:3448	ORPHA:3448
43	0.056782446801662445	OMIM:618158	OMIM:618158
44	0.057230863720178604	OMIM:619081	OMIM:619081
45	0.05744803696870804	OMIM:619243	OMIM:619243
46	0.05747435614466667	OMIM:616193	OMIM:616193
47	0.05750861391425133	OMIM:612718	OMIM:612718
48	0.057702451944351196	ORPHA:85336	ORPHA:85336
49	0.057746633887290955	OMIM:620065	OMIM:620065
50	0.05804060399532318	OMIM:619239	OMIM:619239
51	0.05819138139486313	OMIM:300387	OMIM:300387
52	0.05830474942922592	OMIM:309549	OMIM:309549
53	0.05860710144042969	OMIM:300849	OMIM:300849
54	0.05881044641137123	OMIM:617051	OMIM:617051
55	0.05886485427618027	DECIPHER:62	DECIPHER:62
56	0.05940729379653931	OMIM:300271	OMIM:300271
57	0.059413764625787735	OMIM:616917	OMIM:616917
58	0.059468258172273636	OMIM:613926	OMIM:613926
59	0.05955171585083008	OMIM:615493	OMIM:615493
60	0.05958288908004761	OMIM:608097	OMIM:608097
61	0.059706911444664	OMIM:617787	OMIM:617787
62	0.05985388904809952	OMIM:136570	OMIM:136570
63	0.06023706495761871	OMIM:604804	OMIM:604804
64	0.06037116050720215	OMIM:618741	OMIM:618741
65	0.06039593741297722	OMIM:619972	OMIM:619972
66	0.060399916023015976	OMIM:614333	OMIM:614333
67	0.06085189804434776	OMIM:620379	OMIM:620379
68	0.06088900566101074	OMIM:617182	OMIM:617182
69	0.06120865419507027	OMIM:618808	OMIM:618808
70	0.06124156340956688	OMIM:617816	OMIM:617816
71	0.06124704331159592	OMIM:619228	OMIM:619228
72	0.06129274517297745	OMIM:618383	OMIM:618383
