rank	score	disease_name	disease_identifier
1	0.1832294464111328	OMIM:300082	OMIM:300082
1	0.1832294464111328	OMIM:158280	OMIM:158280
3	0.19859594106674194	OMIM:602197	OMIM:602197
4	0.1987844705581665	OMIM:190420	OMIM:190420
5	0.19982904195785522	ORPHA:329228	ORPHA:329228
6	0.20170998573303223	OMIM:139630	OMIM:139630
7	0.20197927951812744	OMIM:127800	OMIM:127800
8	0.20251202583312988	DECIPHER:31	DECIPHER:31
9	0.20275574922561646	OMIM:269160	OMIM:269160
10	0.2032579779624939	OMIM:425500	OMIM:425500
