rank	score	disease_name	disease_identifier
1	0.020649315789341927	ORPHA:79134	ORPHA:79134
2	0.02169926092028618	OMIM:252940	OMIM:252940
3	0.021729668602347374	ORPHA:466950	ORPHA:466950
4	0.021801302209496498	ORPHA:521426	ORPHA:521426
5	0.022015953436493874	OMIM:617527	OMIM:617527
6	0.022344622761011124	OMIM:619475	OMIM:619475
7	0.022437715902924538	ORPHA:580	ORPHA:580
8	0.0225344467908144	ORPHA:488632	ORPHA:488632
9	0.02262607216835022	OMIM:620330	OMIM:620330
10	0.022661088034510612	ORPHA:314655	ORPHA:314655
11	0.022702239453792572	OMIM:300855	OMIM:300855
12	0.022903017699718475	ORPHA:37553	ORPHA:37553
13	0.022931328043341637	ORPHA:544488	ORPHA:544488
14	0.023100364953279495	OMIM:606232	OMIM:606232
15	0.0235167033970356	ORPHA:99843	ORPHA:99843
16	0.02367165870964527	OMIM:614098	OMIM:614098
17	0.023822959512472153	ORPHA:819	ORPHA:819
18	0.02399297058582306	ORPHA:411986	ORPHA:411986
19	0.024009447544813156	ORPHA:79500	ORPHA:79500
20	0.024059221148490906	OMIM:616260	OMIM:616260
21	0.024147942662239075	ORPHA:404448	ORPHA:404448
22	0.02416129596531391	ORPHA:500150	ORPHA:500150
23	0.02419518306851387	OMIM:619503	OMIM:619503
24	0.024212392047047615	ORPHA:2896	ORPHA:2896
25	0.02426259033381939	ORPHA:466943	ORPHA:466943
26	0.02433239482343197	OMIM:150230	OMIM:150230
27	0.0243771243840456	ORPHA:481152	ORPHA:481152
28	0.024426180869340897	OMIM:214100	OMIM:214100
29	0.02442806214094162	OMIM:182290	OMIM:182290
30	0.024471445009112358	ORPHA:97297	ORPHA:97297
31	0.024504709988832474	ORPHA:353277	ORPHA:353277
31	0.024504709988832474	ORPHA:353284	ORPHA:353284
33	0.024561570957303047	ORPHA:369837	ORPHA:369837
34	0.02471187524497509	OMIM:617809	OMIM:617809
35	0.0247740987688303	OMIM:610015	OMIM:610015
36	0.02484261244535446	ORPHA:1675	ORPHA:1675
37	0.024886172264814377	OMIM:608013	OMIM:608013
38	0.024983150884509087	OMIM:615873	OMIM:615873
39	0.02498767152428627	OMIM:300868	OMIM:300868
40	0.025094561278820038	ORPHA:529962	ORPHA:529962
41	0.025119652971625328	ORPHA:163956	ORPHA:163956
42	0.025191500782966614	OMIM:618143	OMIM:618143
43	0.025273924693465233	OMIM:619229	OMIM:619229
44	0.02530417963862419	OMIM:300896	OMIM:300896
45	0.02530980296432972	OMIM:300966	OMIM:300966
46	0.025316428393125534	ORPHA:2152	ORPHA:2152
47	0.02533864602446556	OMIM:615574	OMIM:615574
48	0.025378234684467316	OMIM:252160	OMIM:252160
49	0.025432894006371498	ORPHA:177907	ORPHA:177907
50	0.025437265634536743	ORPHA:1545	ORPHA:1545
51	0.0254477858543396	ORPHA:261494	ORPHA:261494
52	0.02548298053443432	OMIM:617061	OMIM:617061
53	0.025496603921055794	OMIM:619005	OMIM:619005
54	0.025534318760037422	ORPHA:457485	ORPHA:457485
55	0.02556990459561348	OMIM:617303	OMIM:617303
56	0.025586068630218506	ORPHA:391372	ORPHA:391372
57	0.025652481243014336	ORPHA:96121	ORPHA:96121
58	0.025666357949376106	ORPHA:352665	ORPHA:352665
58	0.025666357949376106	ORPHA:453504	ORPHA:453504
60	0.02572081796824932	ORPHA:79243	ORPHA:79243
61	0.025767294690012932	ORPHA:3166	ORPHA:3166
62	0.025774316862225533	OMIM:610954	OMIM:610954
63	0.025784263387322426	OMIM:602535	OMIM:602535
64	0.025857800617814064	ORPHA:457279	ORPHA:457279
65	0.025876518338918686	ORPHA:435628	ORPHA:435628
66	0.02590792067348957	OMIM:608779	OMIM:608779
67	0.025948230177164078	OMIM:117550	OMIM:117550
68	0.025966336950659752	ORPHA:268261	ORPHA:268261
69	0.026073280721902847	ORPHA:363958	ORPHA:363958
69	0.026073280721902847	ORPHA:363965	ORPHA:363965
71	0.026087600737810135	OMIM:619383	OMIM:619383
72	0.02610117569565773	ORPHA:581	ORPHA:581
73	0.026122136041522026	OMIM:169400	OMIM:169400
74	0.0261403676122427	ORPHA:1465	ORPHA:1465
75	0.026154328137636185	ORPHA:522077	ORPHA:522077
76	0.026186702772974968	ORPHA:480880	ORPHA:480880
77	0.026195237413048744	ORPHA:171929	ORPHA:171929
78	0.02622116357088089	OMIM:614947	OMIM:614947
79	0.026230471208691597	ORPHA:505248	ORPHA:505248
80	0.026232777163386345	OMIM:300260	OMIM:300260
81	0.02625836245715618	OMIM:619488	OMIM:619488
82	0.026268385350704193	OMIM:220111	OMIM:220111
83	0.026269132271409035	OMIM:618004	OMIM:618004
84	0.02629343792796135	OMIM:230000	OMIM:230000
85	0.02631210908293724	ORPHA:314647	ORPHA:314647
86	0.026320680975914	ORPHA:2135	ORPHA:2135
87	0.026322821155190468	ORPHA:79255	ORPHA:79255
88	0.02633935585618019	OMIM:619950	OMIM:619950
89	0.026347631588578224	OMIM:619297	OMIM:619297
90	0.02636256441473961	OMIM:612313	OMIM:612313
91	0.026379555463790894	OMIM:620070	OMIM:620070
92	0.026383455842733383	OMIM:616364	OMIM:616364
93	0.026415394619107246	ORPHA:444077	ORPHA:444077
94	0.026416659355163574	OMIM:619777	OMIM:619777
95	0.02647067978978157	ORPHA:534	ORPHA:534
96	0.026475675404071808	OMIM:619841	OMIM:619841
97	0.026493839919567108	ORPHA:217093	ORPHA:217093
98	0.026511279866099358	OMIM:618268	OMIM:618268
99	0.026553547009825706	ORPHA:1606	ORPHA:1606
100	0.02657053805887699	ORPHA:508533	ORPHA:508533
101	0.026643846184015274	OMIM:608836	OMIM:608836
102	0.026661116629838943	ORPHA:904	ORPHA:904
103	0.02670309692621231	OMIM:601803	OMIM:601803
104	0.026719944551587105	OMIM:218040	OMIM:218040
105	0.02677428536117077	OMIM:618076	OMIM:618076
106	0.026789087802171707	ORPHA:280633	ORPHA:280633
107	0.026810484007000923	ORPHA:354	ORPHA:354
108	0.02681664377450943	OMIM:147920	OMIM:147920
109	0.026838231831789017	ORPHA:217085	ORPHA:217085
110	0.026846691966056824	ORPHA:163961	ORPHA:163961
111	0.02684762328863144	OMIM:194050	OMIM:194050
112	0.026853011921048164	ORPHA:48652	ORPHA:48652
113	0.026864590123295784	OMIM:618606	OMIM:618606
114	0.02688128687441349	OMIM:618493	OMIM:618493
115	0.026903139427304268	ORPHA:505652	ORPHA:505652
116	0.026933440938591957	OMIM:208400	OMIM:208400
117	0.02694174088537693	OMIM:619995	OMIM:619995
118	0.02694598026573658	OMIM:615273	OMIM:615273
119	0.026953503489494324	ORPHA:221139	ORPHA:221139
120	0.02698696218430996	OMIM:612949	OMIM:612949
121	0.027000559493899345	OMIM:614756	OMIM:614756
122	0.027022499591112137	ORPHA:397709	ORPHA:397709
123	0.027029795572161674	ORPHA:93473	ORPHA:93473
124	0.027066204696893692	ORPHA:284180	ORPHA:284180
125	0.027076421305537224	ORPHA:251061	ORPHA:251061
126	0.027082497254014015	OMIM:613443	OMIM:613443
127	0.027086669579148293	OMIM:615859	OMIM:615859
128	0.027095330879092216	OMIM:618829	OMIM:618829
129	0.027130423113703728	OMIM:309900	OMIM:309900
130	0.027136173099279404	OMIM:616682	OMIM:616682
131	0.02714085951447487	OMIM:259050	OMIM:259050
132	0.027150707319378853	OMIM:614653	OMIM:614653
133	0.027170006185770035	OMIM:613406	OMIM:613406
134	0.02718283236026764	ORPHA:324410	ORPHA:324410
135	0.02718609943985939	OMIM:618494	OMIM:618494
136	0.027194883674383163	ORPHA:261537	ORPHA:261537
137	0.02719745598733425	ORPHA:513456	ORPHA:513456
138	0.027205832302570343	ORPHA:438213	ORPHA:438213
139	0.02726137451827526	ORPHA:821	ORPHA:821
140	0.027275754138827324	ORPHA:2836	ORPHA:2836
141	0.027293909341096878	OMIM:180849	OMIM:180849
142	0.027295151725411415	ORPHA:363686	ORPHA:363686
143	0.027300231158733368	ORPHA:798	ORPHA:798
144	0.027309328317642212	ORPHA:404443	ORPHA:404443
145	0.027317730709910393	ORPHA:357074	ORPHA:357074
146	0.027354970574378967	OMIM:300912	OMIM:300912
147	0.027367688715457916	OMIM:280000	OMIM:280000
148	0.027369249612092972	OMIM:619575	OMIM:619575
149	0.027370937168598175	OMIM:601559	OMIM:601559
150	0.027371006086468697	OMIM:252930	OMIM:252930
151	0.02739781327545643	OMIM:619179	OMIM:619179
152	0.02742571383714676	ORPHA:96149	ORPHA:96149
153	0.02742679789662361	OMIM:620224	OMIM:620224
154	0.027433564886450768	ORPHA:3455	ORPHA:3455
155	0.02745632454752922	ORPHA:329178	ORPHA:329178
156	0.027461914345622063	OMIM:212066	OMIM:212066
157	0.027495170012116432	OMIM:123450	OMIM:123450
158	0.02749571204185486	OMIM:619648	OMIM:619648
159	0.027539638802409172	OMIM:300749	OMIM:300749
160	0.02754862979054451	OMIM:606056	OMIM:606056
161	0.02755051478743553	OMIM:619124	OMIM:619124
162	0.027562443166971207	ORPHA:364028	ORPHA:364028
163	0.027574699372053146	ORPHA:579	ORPHA:579
164	0.027612028643488884	ORPHA:363528	ORPHA:363528
165	0.02762475609779358	OMIM:615716	OMIM:615716
166	0.027626333758234978	ORPHA:2834	ORPHA:2834
167	0.027629708871245384	ORPHA:276432	ORPHA:276432
168	0.027640772983431816	ORPHA:96148	ORPHA:96148
169	0.02768162079155445	ORPHA:309282	ORPHA:309282
170	0.027682125568389893	OMIM:619758	OMIM:619758
171	0.02768569253385067	ORPHA:79324	ORPHA:79324
172	0.027699094265699387	ORPHA:447997	ORPHA:447997
173	0.027701321989297867	ORPHA:495818	ORPHA:495818
174	0.027708621695637703	ORPHA:293939	ORPHA:293939
175	0.027708737179636955	OMIM:301066	OMIM:301066
176	0.02770889550447464	OMIM:617268	OMIM:617268
177	0.027709467336535454	ORPHA:487796	ORPHA:487796
178	0.027768034487962723	OMIM:115150	OMIM:115150
