rank	score	disease_name	disease_identifier
1	0.03878498822450638	OMIM:273900	OMIM:273900
2	0.047189123928546906	OMIM:187800	OMIM:187800
3	0.05276820436120033	OMIM:314050	OMIM:314050
4	0.058946724981069565	OMIM:153670	OMIM:153670
5	0.06087816134095192	OMIM:615193	OMIM:615193
6	0.0637182891368866	OMIM:616216	OMIM:616216
7	0.06671624630689621	ORPHA:88	ORPHA:88
8	0.06819206476211548	OMIM:187900	OMIM:187900
9	0.0697365552186966	ORPHA:238459	ORPHA:238459
10	0.07176089286804199	OMIM:313900	OMIM:313900
11	0.07214837521314621	OMIM:231200	OMIM:231200
12	0.0737091600894928	OMIM:273800	OMIM:273800
13	0.07681260257959366	ORPHA:494444	ORPHA:494444
14	0.07733601331710815	OMIM:619271	OMIM:619271
15	0.07735875248908997	ORPHA:2330	ORPHA:2330
16	0.07746320217847824	OMIM:188000	OMIM:188000
17	0.07749265432357788	OMIM:139090	OMIM:139090
18	0.0777469128370285	OMIM:608404	OMIM:608404
19	0.07875940203666687	OMIM:616176	OMIM:616176
20	0.0795733779668808	OMIM:155100	OMIM:155100
21	0.08080697059631348	OMIM:137560	OMIM:137560
22	0.08122088760137558	ORPHA:49566	ORPHA:49566
23	0.0812612771987915	OMIM:601709	OMIM:601709
24	0.08215462416410446	ORPHA:3002	ORPHA:3002
25	0.08232300728559494	OMIM:614158	OMIM:614158
26	0.08278568089008331	ORPHA:721	ORPHA:721
27	0.08281837403774261	OMIM:614201	OMIM:614201
28	0.08410175144672394	ORPHA:274	ORPHA:274
29	0.08420421928167343	OMIM:619130	OMIM:619130
30	0.08442400395870209	OMIM:604498	OMIM:604498
31	0.08458875119686127	ORPHA:824	ORPHA:824
32	0.08472814410924911	OMIM:618462	OMIM:618462
33	0.08575082570314407	ORPHA:1063	ORPHA:1063
34	0.08596997708082199	ORPHA:520	ORPHA:520
35	0.08598749339580536	OMIM:277480	OMIM:277480
36	0.08638796955347061	ORPHA:849	ORPHA:849
37	0.08715281635522842	OMIM:601399	OMIM:601399
38	0.08857491612434387	ORPHA:231393	ORPHA:231393
39	0.08878684788942337	OMIM:614009	OMIM:614009
40	0.08920249342918396	OMIM:619523	OMIM:619523
41	0.08989028632640839	OMIM:619267	OMIM:619267
42	0.09033653140068054	OMIM:173590	OMIM:173590
43	0.09039602428674698	OMIM:300367	OMIM:300367
44	0.09041408449411392	OMIM:193400	OMIM:193400
45	0.09052970260381699	ORPHA:99147	ORPHA:99147
46	0.09099596738815308	ORPHA:3203	ORPHA:3203
47	0.09102000296115875	OMIM:617443	OMIM:617443
48	0.09142240881919861	ORPHA:231401	ORPHA:231401
49	0.09153159707784653	OMIM:210250	OMIM:210250
50	0.09155753999948502	ORPHA:75564	ORPHA:75564
51	0.09286852926015854	ORPHA:529	ORPHA:529
52	0.0928918868303299	OMIM:306700	OMIM:306700
53	0.09340006858110428	OMIM:300835	OMIM:300835
54	0.09353743493556976	OMIM:619041	OMIM:619041
55	0.09441947191953659	OMIM:612690	OMIM:612690
56	0.09506968408823013	ORPHA:86839	ORPHA:86839
57	0.09511999040842056	ORPHA:182050	ORPHA:182050
58	0.09553452581167221	OMIM:301000	OMIM:301000
59	0.09559522569179535	ORPHA:517	ORPHA:517
60	0.09635195136070251	ORPHA:542643	ORPHA:542643
61	0.09635841846466064	ORPHA:521	ORPHA:521
62	0.0969747006893158	OMIM:612004	OMIM:612004
63	0.09730902314186096	ORPHA:3318	ORPHA:3318
64	0.09740589559078217	OMIM:263300	OMIM:263300
65	0.09756480157375336	OMIM:613011	OMIM:613011
66	0.09803584963083267	ORPHA:231111	ORPHA:231111
67	0.09813766181468964	ORPHA:1959	ORPHA:1959
68	0.09818284213542938	OMIM:616050	OMIM:616050
69	0.09870442748069763	ORPHA:859	ORPHA:859
70	0.09881596267223358	ORPHA:158029	ORPHA:158029
71	0.09889750927686691	OMIM:614082	OMIM:614082
72	0.09898732602596283	OMIM:617243	OMIM:617243
73	0.09912405908107758	ORPHA:98826	ORPHA:98826
74	0.09952102601528168	ORPHA:99828	ORPHA:99828
75	0.09962452948093414	ORPHA:35858	ORPHA:35858
76	0.1002100482583046	ORPHA:401945	ORPHA:401945
77	0.10021927952766418	OMIM:618963	OMIM:618963
78	0.10024473816156387	ORPHA:507	ORPHA:507
79	0.10037945210933685	ORPHA:101096	ORPHA:101096
80	0.10062135756015778	OMIM:616913	OMIM:616913
81	0.10101621598005295	OMIM:235400	OMIM:235400
82	0.10118342936038971	ORPHA:2134	ORPHA:2134
83	0.1012662798166275	OMIM:173420	OMIM:173420
84	0.1013043075799942	OMIM:188030	OMIM:188030
85	0.1014428362250328	OMIM:614514	OMIM:614514
86	0.10181443393230438	OMIM:609821	OMIM:609821
87	0.10181515663862228	ORPHA:906	ORPHA:906
88	0.10185815393924713	OMIM:616959	OMIM:616959
