rank	score	disease_name	disease_identifier
1	0.01746286451816559	ORPHA:481152	ORPHA:481152
2	0.017801662907004356	ORPHA:506358	ORPHA:506358
3	0.018553107976913452	OMIM:300966	OMIM:300966
4	0.018566476181149483	ORPHA:466943	ORPHA:466943
5	0.01863763853907585	OMIM:617988	OMIM:617988
6	0.018683550879359245	ORPHA:363528	ORPHA:363528
7	0.018735703080892563	OMIM:617804	OMIM:617804
8	0.019028440117836	OMIM:606232	OMIM:606232
9	0.019029848277568817	OMIM:259050	OMIM:259050
10	0.01912079006433487	OMIM:614961	OMIM:614961
11	0.01914043538272381	OMIM:301041	OMIM:301041
12	0.019150523468852043	OMIM:150230	OMIM:150230
13	0.019231991842389107	OMIM:616354	OMIM:616354
14	0.019252588972449303	OMIM:619503	OMIM:619503
15	0.01932297833263874	ORPHA:502434	ORPHA:502434
16	0.01933112181723118	OMIM:619950	OMIM:619950
17	0.019405178725719452	OMIM:617062	OMIM:617062
18	0.01941840909421444	ORPHA:3306	ORPHA:3306
19	0.019588179886341095	OMIM:617557	OMIM:617557
20	0.01960543543100357	OMIM:618143	OMIM:618143
21	0.019684264436364174	OMIM:617773	OMIM:617773
22	0.019735703244805336	OMIM:619648	OMIM:619648
23	0.0197538360953331	ORPHA:404448	ORPHA:404448
24	0.01976701058447361	OMIM:618076	OMIM:618076
25	0.019770309329032898	ORPHA:250989	ORPHA:250989
26	0.01977546326816082	OMIM:617201	OMIM:617201
27	0.01978783868253231	OMIM:614756	OMIM:614756
28	0.01980256289243698	ORPHA:397709	ORPHA:397709
29	0.0199112631380558	ORPHA:96264	ORPHA:96264
30	0.019931750372052193	ORPHA:261349	ORPHA:261349
31	0.019967487081885338	ORPHA:444002	ORPHA:444002
32	0.019978925585746765	OMIM:616364	OMIM:616364
33	0.019990550354123116	OMIM:300534	OMIM:300534
34	0.019998569041490555	ORPHA:819	ORPHA:819
35	0.020009737461805344	ORPHA:412069	ORPHA:412069
36	0.020033659413456917	ORPHA:3132	ORPHA:3132
37	0.02004990726709366	OMIM:618205	OMIM:618205
38	0.0200943686068058	ORPHA:371364	ORPHA:371364
39	0.020128946751356125	OMIM:213980	OMIM:213980
40	0.020168179646134377	ORPHA:480907	ORPHA:480907
41	0.02018805406987667	ORPHA:96263	ORPHA:96263
42	0.02019103430211544	ORPHA:352490	ORPHA:352490
43	0.020229896530508995	OMIM:618659	OMIM:618659
44	0.02025025710463524	OMIM:619194	OMIM:619194
45	0.020265065133571625	ORPHA:466950	ORPHA:466950
46	0.020281698554754257	ORPHA:500150	ORPHA:500150
47	0.02028236724436283	ORPHA:10	ORPHA:10
48	0.02033616229891777	OMIM:616603	OMIM:616603
49	0.020348869264125824	OMIM:301069	OMIM:301069
50	0.02035306766629219	OMIM:616809	OMIM:616809
51	0.020356379449367523	OMIM:252940	OMIM:252940
52	0.02038126438856125	ORPHA:96148	ORPHA:96148
53	0.0204340610653162	OMIM:616268	OMIM:616268
54	0.020436037331819534	OMIM:617140	OMIM:617140
55	0.020438194274902344	OMIM:618653	OMIM:618653
56	0.02047479897737503	OMIM:618829	OMIM:618829
57	0.02047586627304554	ORPHA:96121	ORPHA:96121
58	0.02048887126147747	ORPHA:309282	ORPHA:309282
59	0.02049866132438183	ORPHA:488632	ORPHA:488632
60	0.020514095202088356	ORPHA:521426	ORPHA:521426
61	0.0205171387642622	ORPHA:1001	ORPHA:1001
62	0.020538542419672012	ORPHA:505237	ORPHA:505237
63	0.020541608333587646	OMIM:620330	OMIM:620330
64	0.020554348826408386	ORPHA:2044	ORPHA:2044
65	0.020558735355734825	ORPHA:97297	ORPHA:97297
66	0.020562613382935524	OMIM:613406	OMIM:613406
67	0.02056930400431156	OMIM:602535	OMIM:602535
68	0.02059631608426571	ORPHA:459070	ORPHA:459070
69	0.020598627626895905	ORPHA:364028	ORPHA:364028
70	0.02061903476715088	OMIM:617808	OMIM:617808
71	0.020624777302145958	OMIM:277590	OMIM:277590
72	0.02062636986374855	OMIM:301032	OMIM:301032
73	0.020651809871196747	OMIM:618947	OMIM:618947
74	0.02067788690328598	ORPHA:263487	ORPHA:263487
75	0.020699908956885338	OMIM:214150	OMIM:214150
76	0.020733967423439026	ORPHA:544488	ORPHA:544488
77	0.020798925310373306	OMIM:619475	OMIM:619475
78	0.02079978585243225	ORPHA:3455	ORPHA:3455
79	0.02080010622739792	ORPHA:96092	ORPHA:96092
80	0.020820675417780876	OMIM:301044	OMIM:301044
81	0.02082901820540428	ORPHA:562528	ORPHA:562528
82	0.020845478400588036	OMIM:214100	OMIM:214100
83	0.020869281142950058	OMIM:117550	OMIM:117550
84	0.02087235078215599	OMIM:301066	OMIM:301066
85	0.02088034152984619	OMIM:615485	OMIM:615485
86	0.020893512293696404	OMIM:614080	OMIM:614080
87	0.020919309929013252	OMIM:620029	OMIM:620029
88	0.020934289321303368	OMIM:616007	OMIM:616007
89	0.020938334986567497	OMIM:618430	OMIM:618430
90	0.020959412679076195	OMIM:619934	OMIM:619934
91	0.020987072959542274	ORPHA:363958	ORPHA:363958
91	0.020987072959542274	ORPHA:363965	ORPHA:363965
93	0.020996756851673126	OMIM:193700	OMIM:193700
94	0.02101108618080616	ORPHA:544503	ORPHA:544503
95	0.02104075811803341	ORPHA:199	ORPHA:199
96	0.02112726867198944	OMIM:619124	OMIM:619124
97	0.02113736979663372	OMIM:617403	OMIM:617403
98	0.0211374219506979	ORPHA:529962	ORPHA:529962
99	0.02115732803940773	ORPHA:254346	ORPHA:254346
100	0.021174831315875053	OMIM:180849	OMIM:180849
101	0.02120269276201725	OMIM:609757	OMIM:609757
102	0.021227756515145302	OMIM:615656	OMIM:615656
103	0.021248120814561844	OMIM:300960	OMIM:300960
104	0.021257219836115837	OMIM:607872	OMIM:607872
105	0.021286068484187126	OMIM:619383	OMIM:619383
106	0.021290091797709465	OMIM:619512	OMIM:619512
107	0.021297980099916458	OMIM:617527	OMIM:617527
108	0.021326955407857895	OMIM:619833	OMIM:619833
109	0.021336590871214867	OMIM:614066	OMIM:614066
110	0.021345991641283035	OMIM:619480	OMIM:619480
111	0.0213646050542593	OMIM:617330	OMIM:617330
112	0.021369362249970436	OMIM:609625	OMIM:609625
113	0.021374348551034927	OMIM:612513	OMIM:612513
114	0.021384332329034805	ORPHA:48652	ORPHA:48652
115	0.021391766145825386	ORPHA:464306	ORPHA:464306
116	0.021395057439804077	OMIM:618268	OMIM:618268
117	0.02141883410513401	ORPHA:457359	ORPHA:457359
118	0.021428929641842842	ORPHA:289522	ORPHA:289522
119	0.021493667736649513	OMIM:253220	OMIM:253220
120	0.021503491327166557	OMIM:212720	OMIM:212720
121	0.021504266187548637	ORPHA:96129	ORPHA:96129
122	0.02151438780128956	OMIM:617930	OMIM:617930
123	0.02152968756854534	OMIM:618891	OMIM:618891
124	0.02154642902314663	OMIM:135900	OMIM:135900
125	0.021556083112955093	ORPHA:3166	ORPHA:3166
126	0.021557234227657318	OMIM:620070	OMIM:620070
127	0.021559348329901695	ORPHA:85201	ORPHA:85201
128	0.021572425961494446	ORPHA:821	ORPHA:821
129	0.021576710045337677	OMIM:618162	OMIM:618162
