rank	score	disease_name	disease_identifier
1	0.05483361333608627	OMIM:309300	OMIM:309300
2	0.055458396673202515	ORPHA:566	ORPHA:566
3	0.0557350292801857	OMIM:602499	OMIM:602499
4	0.05625474080443382	OMIM:251750	OMIM:251750
5	0.06038156524300575	OMIM:615145	OMIM:615145
6	0.0625845268368721	OMIM:613517	OMIM:613517
7	0.06341670453548431	OMIM:221900	OMIM:221900
8	0.06416470557451248	ORPHA:98973	ORPHA:98973
9	0.06464553624391556	ORPHA:91495	ORPHA:91495
10	0.0646662637591362	ORPHA:137599	ORPHA:137599
11	0.06493513286113739	OMIM:269400	OMIM:269400
12	0.06579630821943283	ORPHA:98977	ORPHA:98977
13	0.0658101961016655	ORPHA:263479	ORPHA:263479
14	0.06761948764324188	ORPHA:627	ORPHA:627
15	0.06799392402172089	ORPHA:1473	ORPHA:1473
16	0.06904565542936325	OMIM:617272	OMIM:617272
17	0.06981931626796722	ORPHA:1377	ORPHA:1377
18	0.0698244646191597	OMIM:217300	OMIM:217300
19	0.06994686275720596	OMIM:604229	OMIM:604229
20	0.0701269879937172	OMIM:614303	OMIM:614303
21	0.07066953927278519	OMIM:604219	OMIM:604219
22	0.07068456709384918	OMIM:310600	OMIM:310600
23	0.07080351561307907	OMIM:610256	OMIM:610256
24	0.07195929437875748	ORPHA:280921	ORPHA:280921
25	0.0720365047454834	ORPHA:39044	ORPHA:39044
26	0.07212439924478531	ORPHA:209956	ORPHA:209956
27	0.07281993329524994	OMIM:612109	OMIM:612109
28	0.0733630582690239	ORPHA:209959	ORPHA:209959
29	0.07368748635053635	ORPHA:293603	ORPHA:293603
30	0.07409010827541351	ORPHA:1067	ORPHA:1067
31	0.0742577537894249	ORPHA:1661	ORPHA:1661
32	0.07469688355922699	ORPHA:1885	ORPHA:1885
33	0.07478022575378418	OMIM:615458	OMIM:615458
34	0.0747845396399498	OMIM:267760	OMIM:267760
35	0.07519203424453735	OMIM:601552	OMIM:601552
36	0.0755409449338913	OMIM:107250	OMIM:107250
37	0.07558569312095642	OMIM:152950	OMIM:152950
38	0.07578779011964798	ORPHA:2334	ORPHA:2334
39	0.07582657784223557	OMIM:193220	OMIM:193220
40	0.07600442320108414	OMIM:611040	OMIM:611040
41	0.07683819532394409	OMIM:302350	OMIM:302350
42	0.07722990959882736	OMIM:606772	OMIM:606772
43	0.07787232846021652	OMIM:614170	OMIM:614170
44	0.07793116569519043	OMIM:120200	OMIM:120200
45	0.07796883583068848	ORPHA:98964	ORPHA:98964
46	0.07836047559976578	ORPHA:284454	ORPHA:284454
47	0.07891999930143356	OMIM:267750	OMIM:267750
48	0.07906320691108704	OMIM:610202	OMIM:610202
49	0.07907586544752121	OMIM:106210	OMIM:106210
50	0.07916907221078873	OMIM:618283	OMIM:618283
51	0.07922861725091934	ORPHA:179	ORPHA:179
52	0.07929717749357224	ORPHA:250923	ORPHA:250923
53	0.07935284823179245	ORPHA:67042	ORPHA:67042
54	0.07945113629102707	OMIM:614195	OMIM:614195
55	0.07953131943941116	OMIM:122000	OMIM:122000
56	0.07966146618127823	OMIM:608470	OMIM:608470
57	0.07980527728796005	ORPHA:79098	ORPHA:79098
58	0.08004407584667206	OMIM:601499	OMIM:601499
59	0.08008044213056564	ORPHA:98974	ORPHA:98974
60	0.08015657961368561	ORPHA:71213	ORPHA:71213
61	0.08032387495040894	OMIM:180500	OMIM:180500
62	0.0804118737578392	OMIM:177650	OMIM:177650
63	0.08071596920490265	OMIM:300578	OMIM:300578
64	0.0807269737124443	OMIM:619082	OMIM:619082
65	0.08073118329048157	OMIM:615877	OMIM:615877
66	0.08078572154045105	ORPHA:293621	ORPHA:293621
67	0.08082225918769836	OMIM:258870	OMIM:258870
68	0.08085396140813828	OMIM:613195	OMIM:613195
69	0.08088026940822601	OMIM:615431	OMIM:615431
70	0.08108168095350266	ORPHA:64734	ORPHA:64734
71	0.0811101421713829	ORPHA:2921	ORPHA:2921
72	0.08111370354890823	OMIM:618880	OMIM:618880
73	0.08127189427614212	ORPHA:1490	ORPHA:1490
74	0.0813445895910263	ORPHA:139471	ORPHA:139471
75	0.08152948319911957	ORPHA:1259	ORPHA:1259
76	0.08154366910457611	OMIM:610048	OMIM:610048
77	0.08157991617918015	ORPHA:891	ORPHA:891
78	0.08160748332738876	OMIM:300476	OMIM:300476
79	0.08170361071825027	OMIM:156600	OMIM:156600
80	0.08175698667764664	OMIM:613843	OMIM:613843
81	0.08178512752056122	ORPHA:364055	ORPHA:364055
82	0.08200561255216599	ORPHA:94058	ORPHA:94058
83	0.08207538723945618	ORPHA:708	ORPHA:708
84	0.08231279999017715	OMIM:615147	OMIM:615147
85	0.08242974430322647	ORPHA:163937	ORPHA:163937
86	0.0824611634016037	ORPHA:67043	ORPHA:67043
87	0.0825696513056755	ORPHA:190	ORPHA:190
88	0.08269722014665604	OMIM:212550	OMIM:212550
89	0.08275929093360901	ORPHA:91411	ORPHA:91411
90	0.08283254504203796	ORPHA:2608	ORPHA:2608
91	0.08293570578098297	OMIM:613310	OMIM:613310
92	0.0830901488661766	OMIM:122430	OMIM:122430
93	0.08311748504638672	ORPHA:171844	ORPHA:171844
94	0.08313249051570892	OMIM:612989	OMIM:612989
95	0.08316253870725632	ORPHA:41751	ORPHA:41751
96	0.08320966362953186	OMIM:604307	OMIM:604307
97	0.08326062560081482	ORPHA:90654	ORPHA:90654
98	0.08347176015377045	ORPHA:1571	ORPHA:1571
99	0.08359003812074661	OMIM:615972	OMIM:615972
100	0.08360560983419418	OMIM:604537	OMIM:604537
101	0.0836677998304367	ORPHA:2143	ORPHA:2143
102	0.08372928202152252	OMIM:613826	OMIM:613826
103	0.08379184454679489	OMIM:613267	OMIM:613267
