rank	score	disease_name	disease_identifier
1	0.02258617989718914	OMIM:300055	OMIM:300055
2	0.02340720407664776	ORPHA:59	ORPHA:59
3	0.023560047149658203	OMIM:617146	OMIM:617146
4	0.023808864876627922	OMIM:620027	OMIM:620027
5	0.023852812126278877	OMIM:615516	OMIM:615516
6	0.02394421584904194	OMIM:619844	OMIM:619844
7	0.02394973300397396	OMIM:619328	OMIM:619328
8	0.024381281808018684	OMIM:618891	OMIM:618891
9	0.024459930136799812	OMIM:619651	OMIM:619651
10	0.02463151142001152	OMIM:617807	OMIM:617807
11	0.024634111672639847	OMIM:614066	OMIM:614066
12	0.02467428334057331	OMIM:616459	OMIM:616459
13	0.02467564307153225	OMIM:618453	OMIM:618453
14	0.024726208299398422	OMIM:616330	OMIM:616330
15	0.024891775101423264	OMIM:300352	OMIM:300352
16	0.024945620447397232	OMIM:617695	OMIM:617695
17	0.02498425543308258	OMIM:615802	OMIM:615802
18	0.025071287527680397	OMIM:617864	OMIM:617864
19	0.025096695870161057	OMIM:616116	OMIM:616116
20	0.025110580027103424	OMIM:617854	OMIM:617854
21	0.025346051901578903	OMIM:620242	OMIM:620242
22	0.02544235624372959	OMIM:301024	OMIM:301024
23	0.025489671155810356	OMIM:618124	OMIM:618124
24	0.025498520582914352	OMIM:606053	OMIM:606053
25	0.025608031079173088	ORPHA:488635	ORPHA:488635
26	0.025667117908596992	OMIM:213200	OMIM:213200
27	0.02574332430958748	OMIM:620323	OMIM:620323
28	0.025811588391661644	OMIM:618356	OMIM:618356
29	0.02603156678378582	OMIM:618056	OMIM:618056
30	0.0261982474476099	OMIM:615547	OMIM:615547
31	0.026236264035105705	ORPHA:238446	ORPHA:238446
32	0.02626589685678482	OMIM:224050	OMIM:224050
33	0.02627590484917164	OMIM:615075	OMIM:615075
34	0.026307981461286545	ORPHA:477673	ORPHA:477673
35	0.026416700333356857	OMIM:615705	OMIM:615705
36	0.026479801163077354	OMIM:617862	OMIM:617862
37	0.026518309488892555	OMIM:617915	OMIM:617915
38	0.026565611362457275	OMIM:619470	OMIM:619470
39	0.02658970281481743	OMIM:620270	OMIM:620270
40	0.026646681129932404	OMIM:620065	OMIM:620065
41	0.026815418154001236	OMIM:619092	OMIM:619092
42	0.026816783472895622	ORPHA:254531	ORPHA:254531
43	0.026857690885663033	ORPHA:93952	ORPHA:93952
44	0.02686561457812786	ORPHA:254525	ORPHA:254525
45	0.026960065588355064	OMIM:608840	OMIM:608840
46	0.02707470953464508	OMIM:619091	OMIM:619091
47	0.027096973732113838	OMIM:613454	OMIM:613454
48	0.027215125039219856	OMIM:275900	OMIM:275900
49	0.027397193014621735	OMIM:619229	OMIM:619229
50	0.027513084933161736	OMIM:615643	OMIM:615643
51	0.02751510590314865	OMIM:619580	OMIM:619580
52	0.027528543025255203	OMIM:615656	OMIM:615656
53	0.02762233465909958	OMIM:620029	OMIM:620029
54	0.02764667198061943	OMIM:300260	OMIM:300260
55	0.0276492852717638	OMIM:619239	OMIM:619239
56	0.027685856446623802	OMIM:616863	OMIM:616863
57	0.027708642184734344	OMIM:617798	OMIM:617798
58	0.02773243933916092	ORPHA:500055	ORPHA:500055
59	0.0277408417314291	OMIM:617600	OMIM:617600
60	0.02776160091161728	OMIM:618480	OMIM:618480
61	0.027779284864664078	OMIM:619854	OMIM:619854
62	0.027793871238827705	OMIM:616652	OMIM:616652
63	0.027795754373073578	ORPHA:79244	ORPHA:79244
64	0.02781970426440239	OMIM:618295	OMIM:618295
65	0.02785268798470497	ORPHA:447760	ORPHA:447760
66	0.027871523052453995	OMIM:618906	OMIM:618906
67	0.027906956151127815	OMIM:617026	OMIM:617026
68	0.027937980368733406	OMIM:619561	OMIM:619561
69	0.027943523600697517	OMIM:613670	OMIM:613670
70	0.02800961211323738	OMIM:606220	OMIM:606220
71	0.028026342391967773	OMIM:300986	OMIM:300986
72	0.0280371755361557	ORPHA:3095	ORPHA:3095
73	0.028074929490685463	OMIM:614207	OMIM:614207
74	0.028105169534683228	OMIM:610185	OMIM:610185
75	0.02811424620449543	OMIM:612015	OMIM:612015
76	0.02813880145549774	OMIM:616586	OMIM:616586
77	0.028265561908483505	OMIM:619717	OMIM:619717
78	0.0282770786434412	OMIM:103050	OMIM:103050
79	0.02830422669649124	OMIM:619224	OMIM:619224
80	0.028328241780400276	OMIM:300148	OMIM:300148
81	0.028366828337311745	ORPHA:101000	ORPHA:101000
82	0.02837662771344185	OMIM:300534	OMIM:300534
83	0.02842402458190918	OMIM:618718	OMIM:618718
84	0.02849367819726467	OMIM:614067	OMIM:614067
85	0.028513729572296143	OMIM:617013	OMIM:617013
86	0.028527354821562767	OMIM:617931	OMIM:617931
87	0.028627529740333557	OMIM:618218	OMIM:618218
88	0.02863943949341774	OMIM:618158	OMIM:618158
89	0.02865457907319069	OMIM:620393	OMIM:620393
90	0.0287362989038229	OMIM:619435	OMIM:619435
91	0.028748666867613792	OMIM:620007	OMIM:620007
92	0.028823962435126305	OMIM:309585	OMIM:309585
93	0.028840474784374237	OMIM:618198	OMIM:618198
94	0.02888977900147438	OMIM:618284	OMIM:618284
95	0.02889651618897915	OMIM:618087	OMIM:618087
96	0.028919748961925507	ORPHA:280763	ORPHA:280763
97	0.028947655111551285	OMIM:617435	OMIM:617435
98	0.02901744656264782	OMIM:620243	OMIM:620243
99	0.02903289534151554	OMIM:618221	OMIM:618221
100	0.029082097113132477	OMIM:616263	OMIM:616263
101	0.02912799082696438	OMIM:617270	OMIM:617270
102	0.029157647863030434	OMIM:619735	OMIM:619735
103	0.029159188270568848	OMIM:619025	OMIM:619025
104	0.02917661890387535	ORPHA:488642	ORPHA:488642
105	0.02920158952474594	ORPHA:464282	ORPHA:464282
106	0.02929007261991501	OMIM:619576	OMIM:619576
107	0.029294556006789207	OMIM:617903	OMIM:617903
108	0.029339870437979698	OMIM:301020	OMIM:301020
109	0.029349423944950104	OMIM:618292	OMIM:618292
110	0.029353054240345955	DECIPHER:45	DECIPHER:45
111	0.029382891952991486	OMIM:618347	OMIM:618347
112	0.029453998431563377	OMIM:617182	OMIM:617182
113	0.02953912690281868	OMIM:617799	OMIM:617799
114	0.029607556760311127	ORPHA:544254	ORPHA:544254
115	0.029616447165608406	ORPHA:442835	ORPHA:442835
