rank	score	disease_name	disease_identifier
1	0.022287918254733086	ORPHA:534	ORPHA:534
2	0.023750921711325645	ORPHA:453499	ORPHA:453499
3	0.023814957588911057	OMIM:608013	OMIM:608013
4	0.024712612852454185	ORPHA:352665	ORPHA:352665
4	0.024712612852454185	ORPHA:453504	ORPHA:453504
6	0.024755680933594704	ORPHA:96170	ORPHA:96170
7	0.02479683607816696	OMIM:222470	OMIM:222470
8	0.02495427057147026	OMIM:619418	OMIM:619418
9	0.024998290464282036	OMIM:619004	OMIM:619004
10	0.025218060240149498	ORPHA:567	ORPHA:567
11	0.02524675615131855	OMIM:194050	OMIM:194050
12	0.02531285770237446	OMIM:608779	OMIM:608779
13	0.025387132540345192	OMIM:243800	OMIM:243800
14	0.025427591055631638	ORPHA:79330	ORPHA:79330
15	0.025769252330064774	ORPHA:268261	ORPHA:268261
16	0.025770097970962524	OMIM:619488	OMIM:619488
17	0.025913050398230553	ORPHA:1199	ORPHA:1199
18	0.026001574471592903	OMIM:613658	OMIM:613658
19	0.02624989114701748	ORPHA:84064	ORPHA:84064
20	0.02625172957777977	ORPHA:912	ORPHA:912
21	0.02628004550933838	OMIM:620005	OMIM:620005
22	0.026299068704247475	ORPHA:97297	ORPHA:97297
23	0.02637283317744732	OMIM:619991	OMIM:619991
24	0.026401029899716377	ORPHA:739	ORPHA:739
25	0.026505358517169952	ORPHA:353277	ORPHA:353277
25	0.026505358517169952	ORPHA:353284	ORPHA:353284
27	0.026651693508028984	ORPHA:92050	ORPHA:92050
28	0.026697209104895592	OMIM:614886	OMIM:614886
29	0.02674933895468712	ORPHA:79324	ORPHA:79324
30	0.026888655498623848	ORPHA:220386	ORPHA:220386
30	0.026888655498623848	ORPHA:93925	ORPHA:93925
30	0.026888655498623848	ORPHA:93926	ORPHA:93926
30	0.026888655498623848	ORPHA:93924	ORPHA:93924
34	0.026893960312008858	OMIM:601803	OMIM:601803
35	0.02690214104950428	OMIM:618268	OMIM:618268
36	0.02695416659116745	ORPHA:79076	ORPHA:79076
37	0.027004998177289963	ORPHA:2162	ORPHA:2162
38	0.027051346376538277	OMIM:619503	OMIM:619503
39	0.027225496247410774	ORPHA:1606	ORPHA:1606
40	0.027286896482110023	ORPHA:83617	ORPHA:83617
41	0.02739430032670498	OMIM:608104	OMIM:608104
42	0.027419792488217354	OMIM:214100	OMIM:214100
43	0.027444547042250633	OMIM:609029	OMIM:609029
44	0.027446597814559937	ORPHA:500150	ORPHA:500150
45	0.027527213096618652	OMIM:613385	OMIM:613385
46	0.027549579739570618	OMIM:610965	OMIM:610965
47	0.027556313201785088	ORPHA:177907	ORPHA:177907
48	0.027561742812395096	OMIM:270400	OMIM:270400
49	0.02757464349269867	ORPHA:96182	ORPHA:96182
50	0.02758701518177986	ORPHA:412035	ORPHA:412035
51	0.027644149959087372	ORPHA:819	ORPHA:819
52	0.027721572667360306	ORPHA:813	ORPHA:813
53	0.027810879051685333	ORPHA:48652	ORPHA:48652
54	0.0278181042522192	OMIM:147920	OMIM:147920
55	0.02782507799565792	OMIM:300855	OMIM:300855
56	0.02785220928490162	ORPHA:904	ORPHA:904
57	0.027894536033272743	OMIM:218040	OMIM:218040
58	0.02791663631796837	OMIM:606721	OMIM:606721
59	0.027923282235860825	OMIM:241500	OMIM:241500
60	0.02798246406018734	ORPHA:79325	ORPHA:79325
61	0.02800392173230648	OMIM:620045	OMIM:620045
62	0.02804669179022312	ORPHA:398069	ORPHA:398069
63	0.028073713183403015	ORPHA:89842	ORPHA:89842
64	0.028106825426220894	ORPHA:2959	ORPHA:2959
65	0.028107311576604843	OMIM:614653	OMIM:614653
66	0.028111105784773827	ORPHA:464311	ORPHA:464311
67	0.028173942118883133	OMIM:607143	OMIM:607143
68	0.028232773765921593	OMIM:619377	OMIM:619377
69	0.02828696183860302	ORPHA:565	ORPHA:565
70	0.02831096388399601	ORPHA:404448	ORPHA:404448
71	0.02831464447081089	ORPHA:96191	ORPHA:96191
72	0.02836877480149269	OMIM:608836	OMIM:608836
73	0.028373271226882935	ORPHA:99843	ORPHA:99843
74	0.028384093195199966	ORPHA:870	ORPHA:870
75	0.028425738215446472	ORPHA:79318	ORPHA:79318
76	0.028445089235901833	OMIM:614098	OMIM:614098
77	0.028479548171162605	OMIM:618183	OMIM:618183
78	0.028480613604187965	OMIM:242900	OMIM:242900
79	0.028481237590312958	ORPHA:254519	ORPHA:254519
80	0.028518356382846832	ORPHA:286	ORPHA:286
81	0.028581224381923676	ORPHA:79328	ORPHA:79328
82	0.028599774464964867	OMIM:618494	OMIM:618494
83	0.02862837165594101	ORPHA:1052	ORPHA:1052
84	0.028628576546907425	OMIM:242840	OMIM:242840
85	0.028653902933001518	ORPHA:2896	ORPHA:2896
86	0.028668610379099846	OMIM:618454	OMIM:618454
87	0.028684156015515327	OMIM:115150	OMIM:115150
88	0.028693241998553276	OMIM:188400	OMIM:188400
89	0.028705304488539696	ORPHA:589821	ORPHA:589821
90	0.02871425822377205	ORPHA:440713	ORPHA:440713
91	0.02872060053050518	OMIM:176270	OMIM:176270
92	0.028758272528648376	ORPHA:505248	ORPHA:505248
93	0.028767051175236702	ORPHA:79329	ORPHA:79329
94	0.028822891414165497	ORPHA:576	ORPHA:576
95	0.028840525075793266	OMIM:619475	OMIM:619475
96	0.028888583183288574	ORPHA:821	ORPHA:821
97	0.02889121323823929	ORPHA:740	ORPHA:740
98	0.02889130637049675	ORPHA:221139	ORPHA:221139
99	0.0288968775421381	ORPHA:261494	ORPHA:261494
100	0.02890334278345108	ORPHA:464306	ORPHA:464306
101	0.029032200574874878	ORPHA:444077	ORPHA:444077
