rank	score	disease_name	disease_identifier
1	0.015571855939924717	ORPHA:254519	ORPHA:254519
2	0.016482872888445854	OMIM:182212	OMIM:182212
3	0.016487320885062218	OMIM:617140	OMIM:617140
4	0.016561293974518776	OMIM:602535	OMIM:602535
5	0.016778452321887016	OMIM:612940	OMIM:612940
6	0.016804400831460953	OMIM:278250	OMIM:278250
7	0.016815122216939926	OMIM:616914	OMIM:616914
8	0.016873136162757874	OMIM:616801	OMIM:616801
9	0.016894059255719185	OMIM:213980	OMIM:213980
10	0.017171425744891167	OMIM:618371	OMIM:618371
11	0.017281174659729004	OMIM:615485	OMIM:615485
12	0.017282666638493538	OMIM:617352	OMIM:617352
13	0.017337938770651817	OMIM:616294	OMIM:616294
14	0.017346138134598732	ORPHA:2462	ORPHA:2462
15	0.01743033528327942	ORPHA:457359	ORPHA:457359
16	0.017479199916124344	ORPHA:2962	ORPHA:2962
17	0.017894305288791656	ORPHA:93932	ORPHA:93932
18	0.017910443246364594	OMIM:219200	OMIM:219200
19	0.01796361245214939	OMIM:616603	OMIM:616603
20	0.018036851659417152	OMIM:615777	OMIM:615777
21	0.01810595765709877	OMIM:300868	OMIM:300868
22	0.018155410885810852	OMIM:273750	OMIM:273750
23	0.018260743468999863	ORPHA:1272	ORPHA:1272
24	0.01844903640449047	OMIM:619721	OMIM:619721
25	0.018464138731360435	OMIM:301040	OMIM:301040
26	0.018464278429746628	OMIM:617157	OMIM:617157
27	0.018509268760681152	ORPHA:96334	ORPHA:96334
28	0.018513401970267296	OMIM:264090	OMIM:264090
29	0.018528258427977562	OMIM:616222	OMIM:616222
30	0.0185316763818264	ORPHA:97297	ORPHA:97297
31	0.01858951896429062	OMIM:615582	OMIM:615582
32	0.018591146916151047	ORPHA:261349	ORPHA:261349
33	0.018603304401040077	OMIM:601803	OMIM:601803
34	0.018624322488904	OMIM:616268	OMIM:616268
35	0.01866775192320347	ORPHA:98791	ORPHA:98791
36	0.0186746958643198	OMIM:613776	OMIM:613776
37	0.01867615059018135	OMIM:612289	OMIM:612289
38	0.01870902255177498	OMIM:617011	OMIM:617011
39	0.018764711916446686	OMIM:620083	OMIM:620083
40	0.018769722431898117	OMIM:619833	OMIM:619833
41	0.01878691278398037	ORPHA:254528	ORPHA:254528
42	0.0187933798879385	OMIM:193700	OMIM:193700
43	0.018818426877260208	OMIM:613706	OMIM:613706
44	0.018821503967046738	OMIM:605039	OMIM:605039
45	0.0188287366181612	ORPHA:363659	ORPHA:363659
46	0.018979039043188095	OMIM:618947	OMIM:618947
47	0.018979767337441444	OMIM:115150	OMIM:115150
48	0.01898088864982128	ORPHA:2655	ORPHA:2655
49	0.018994327634572983	OMIM:617452	OMIM:617452
50	0.01900341548025608	OMIM:300373	OMIM:300373
51	0.019025681540369987	OMIM:616835	OMIM:616835
52	0.01906582899391651	OMIM:613792	OMIM:613792
53	0.01908361352980137	OMIM:212720	OMIM:212720
54	0.01910184510052204	OMIM:616580	OMIM:616580
55	0.01911749131977558	OMIM:617796	OMIM:617796
56	0.019123433157801628	OMIM:615419	OMIM:615419
57	0.01915321871638298	OMIM:300960	OMIM:300960
58	0.019155120477080345	OMIM:618644	OMIM:618644
59	0.019175304099917412	OMIM:252500	OMIM:252500
60	0.019184594973921776	OMIM:222765	OMIM:222765
61	0.01930963061749935	OMIM:130070	OMIM:130070
62	0.01931518316268921	OMIM:618797	OMIM:618797
63	0.019356699660420418	OMIM:151050	OMIM:151050
64	0.01937715709209442	OMIM:607131	OMIM:607131
65	0.01938544772565365	OMIM:619376	OMIM:619376
66	0.019385797902941704	OMIM:305450	OMIM:305450
67	0.019389575347304344	OMIM:610443	OMIM:610443
68	0.019406190142035484	OMIM:248700	OMIM:248700
69	0.019407447427511215	OMIM:613385	OMIM:613385
70	0.01941314898431301	ORPHA:466791	ORPHA:466791
71	0.019415296614170074	OMIM:619383	OMIM:619383
72	0.019440162926912308	ORPHA:3309	ORPHA:3309
73	0.019440243020653725	ORPHA:276432	ORPHA:276432
74	0.019459368661046028	OMIM:619325	OMIM:619325
75	0.019546471536159515	OMIM:300966	OMIM:300966
76	0.01956751011312008	ORPHA:96121	ORPHA:96121
