rank	score	disease_name	disease_identifier
1	0.16805493831634521	ORPHA:231393	ORPHA:231393
2	0.17509078979492188	OMIM:619271	OMIM:619271
3	0.17791831493377686	OMIM:619130	OMIM:619130
4	0.1785542368888855	ORPHA:101041	ORPHA:101041
5	0.1796739101409912	OMIM:615193	OMIM:615193
6	0.1801280975341797	OMIM:173590	OMIM:173590
7	0.18077141046524048	ORPHA:98881	ORPHA:98881
8	0.18143558502197266	OMIM:187800	OMIM:187800
9	0.18244880437850952	ORPHA:721	ORPHA:721
10	0.18354129791259766	OMIM:608404	OMIM:608404
