rank	score	disease_name	disease_identifier
1	0.04599935933947563	ORPHA:87876	ORPHA:87876
2	0.04633539542555809	OMIM:254120	OMIM:254120
3	0.04925960302352905	ORPHA:834	ORPHA:834
4	0.0493723563849926	ORPHA:559	ORPHA:559
5	0.05225731432437897	ORPHA:255210	ORPHA:255210
6	0.05238952860236168	ORPHA:261	ORPHA:261
6	0.05238952860236168	ORPHA:98853	ORPHA:98853
8	0.05244655907154083	OMIM:232500	OMIM:232500
9	0.05247373878955841	ORPHA:35687	ORPHA:35687
10	0.052499279379844666	ORPHA:171430	ORPHA:171430
11	0.05271250382065773	ORPHA:98863	ORPHA:98863
12	0.052812427282333374	ORPHA:445038	ORPHA:445038
13	0.05287738889455795	ORPHA:101006	ORPHA:101006
14	0.053095173090696335	ORPHA:98855	ORPHA:98855
15	0.053113795816898346	ORPHA:369840	ORPHA:369840
16	0.053167518228292465	ORPHA:37612	ORPHA:37612
17	0.0532146655023098	OMIM:617054	OMIM:617054
18	0.053279269486665726	OMIM:619487	OMIM:619487
19	0.05331549793481827	ORPHA:258	ORPHA:258
20	0.05335007235407829	OMIM:128100	OMIM:128100
21	0.053456638008356094	ORPHA:2072	ORPHA:2072
22	0.053776051849126816	OMIM:256550	OMIM:256550
23	0.05393140763044357	ORPHA:355	ORPHA:355
24	0.05401495099067688	OMIM:616271	OMIM:616271
25	0.054079819470644	ORPHA:99735	ORPHA:99735
26	0.05450662970542908	ORPHA:77260	ORPHA:77260
27	0.05487612262368202	OMIM:310200	OMIM:310200
28	0.05506299063563347	OMIM:617013	OMIM:617013
29	0.05507347732782364	ORPHA:521406	ORPHA:521406
30	0.05525065213441849	OMIM:607598	OMIM:607598
31	0.05528857931494713	OMIM:618824	OMIM:618824
32	0.05542992055416107	OMIM:615846	OMIM:615846
33	0.05548976734280586	ORPHA:438213	ORPHA:438213
34	0.05549834296107292	OMIM:613327	OMIM:613327
35	0.055526215583086014	OMIM:620161	OMIM:620161
36	0.05560677871108055	ORPHA:51	ORPHA:51
37	0.05561735853552818	OMIM:615356	OMIM:615356
38	0.055638328194618225	OMIM:230650	OMIM:230650
39	0.05571839213371277	ORPHA:1900	ORPHA:1900
40	0.05579526722431183	ORPHA:354	ORPHA:354
41	0.05587072670459747	ORPHA:1192	ORPHA:1192
42	0.05588141083717346	ORPHA:171433	ORPHA:171433
43	0.05591392144560814	ORPHA:139406	ORPHA:139406
44	0.05595129355788231	ORPHA:309854	ORPHA:309854
45	0.056049373000860214	OMIM:616471	OMIM:616471
46	0.056128352880477905	ORPHA:171439	ORPHA:171439
47	0.056184735149145126	ORPHA:682	ORPHA:682
48	0.05629400163888931	ORPHA:3197	ORPHA:3197
49	0.0564199797809124	ORPHA:254892	ORPHA:254892
