rank	score	disease_name	disease_identifier
1	0.0106209060177207	OMIM:619950	OMIM:619950
2	0.010784313082695007	OMIM:619312	OMIM:619312
3	0.0109787005931139	ORPHA:1340	ORPHA:1340
4	0.011302598752081394	ORPHA:466950	ORPHA:466950
5	0.01177035178989172	OMIM:115150	OMIM:115150
6	0.011875471100211143	OMIM:620191	OMIM:620191
7	0.011930999346077442	OMIM:619293	OMIM:619293
8	0.012243924662470818	OMIM:619383	OMIM:619383
9	0.012324754148721695	OMIM:300966	OMIM:300966
10	0.012332706712186337	OMIM:615485	OMIM:615485
11	0.0125548355281353	OMIM:617061	OMIM:617061
12	0.012934945523738861	OMIM:606232	OMIM:606232
13	0.012948863208293915	ORPHA:369950	ORPHA:369950
14	0.012971246615052223	ORPHA:488632	ORPHA:488632
15	0.013004236854612827	ORPHA:48652	ORPHA:48652
16	0.01301282923668623	OMIM:615803	OMIM:615803
17	0.013069557957351208	ORPHA:480907	ORPHA:480907
18	0.013136019930243492	OMIM:620330	OMIM:620330
19	0.013179083354771137	OMIM:613406	OMIM:613406
20	0.013183488510549068	OMIM:617991	OMIM:617991
21	0.013390449807047844	OMIM:605130	OMIM:605130
22	0.013470700941979885	ORPHA:319182	ORPHA:319182
23	0.013521404005587101	ORPHA:261349	ORPHA:261349
24	0.013533628545701504	OMIM:230740	OMIM:230740
25	0.013564947061240673	OMIM:252940	OMIM:252940
26	0.013574983924627304	OMIM:616708	OMIM:616708
27	0.013608945533633232	OMIM:617360	OMIM:617360
28	0.013610356487333775	OMIM:618004	OMIM:618004
29	0.013645796105265617	OMIM:616455	OMIM:616455
30	0.013712547719478607	OMIM:617268	OMIM:617268
31	0.013734751380980015	OMIM:615873	OMIM:615873
32	0.013826258480548859	ORPHA:495875	ORPHA:495875
33	0.013847604393959045	ORPHA:466943	ORPHA:466943
34	0.013881404884159565	ORPHA:444077	ORPHA:444077
35	0.01389500591903925	OMIM:616078	OMIM:616078
36	0.013903497718274593	OMIM:618797	OMIM:618797
37	0.013950821943581104	ORPHA:1446	ORPHA:1446
38	0.01395917497575283	OMIM:301066	OMIM:301066
39	0.013971248641610146	ORPHA:1465	ORPHA:1465
40	0.014015821740031242	ORPHA:3051	ORPHA:3051
41	0.014104623347520828	OMIM:300860	OMIM:300860
42	0.014155163429677486	ORPHA:363528	ORPHA:363528
43	0.014168362133204937	ORPHA:397709	ORPHA:397709
44	0.01421595923602581	OMIM:618872	OMIM:618872
45	0.014255963265895844	OMIM:620098	OMIM:620098
46	0.014273409731686115	ORPHA:3455	ORPHA:3455
47	0.014278256334364414	ORPHA:1970	ORPHA:1970
48	0.014307026751339436	OMIM:618950	OMIM:618950
49	0.014310202561318874	ORPHA:819	ORPHA:819
50	0.014312687329947948	ORPHA:96169	ORPHA:96169
51	0.01432317029684782	OMIM:611091	OMIM:611091
52	0.014331159181892872	OMIM:259050	OMIM:259050
53	0.014331390149891376	OMIM:619087	OMIM:619087
54	0.014334096573293209	OMIM:135500	OMIM:135500
55	0.014336500316858292	ORPHA:544488	ORPHA:544488
56	0.014349794015288353	ORPHA:96121	ORPHA:96121
57	0.014358695596456528	ORPHA:404440	ORPHA:404440
58	0.014374954625964165	OMIM:619503	OMIM:619503
59	0.014379432424902916	OMIM:618381	OMIM:618381
60	0.014417420141398907	OMIM:223370	OMIM:223370
61	0.014426507987082005	OMIM:620075	OMIM:620075
62	0.014442730695009232	OMIM:618828	OMIM:618828
63	0.014516670256853104	OMIM:619286	OMIM:619286
64	0.01452141534537077	OMIM:617157	OMIM:617157
65	0.014600174501538277	ORPHA:2995	ORPHA:2995
66	0.01462965551763773	OMIM:619325	OMIM:619325
67	0.014686857350170612	OMIM:620250	OMIM:620250
68	0.01470123790204525	OMIM:614608	OMIM:614608
69	0.014708341099321842	OMIM:213980	OMIM:213980
70	0.014733590185642242	OMIM:619512	OMIM:619512
71	0.014771129004657269	ORPHA:238750	ORPHA:238750
72	0.014772015623748302	ORPHA:369891	ORPHA:369891
73	0.014791830442845821	OMIM:617763	OMIM:617763
74	0.014830908738076687	ORPHA:247262	ORPHA:247262
75	0.014845699071884155	ORPHA:404448	ORPHA:404448
76	0.01484755240380764	OMIM:614202	OMIM:614202
77	0.014861437492072582	OMIM:617330	OMIM:617330
78	0.01490071788430214	ORPHA:261144	ORPHA:261144
79	0.014910927973687649	OMIM:619475	OMIM:619475
80	0.014913726598024368	ORPHA:363611	ORPHA:363611
81	0.014925067313015461	ORPHA:2896	ORPHA:2896
82	0.014926165342330933	OMIM:619426	OMIM:619426
83	0.014942722395062447	OMIM:618829	OMIM:618829
84	0.014966578222811222	ORPHA:235	ORPHA:235
85	0.01496982853859663	OMIM:607721	OMIM:607721
86	0.01498283538967371	ORPHA:3063	ORPHA:3063
87	0.014983246102929115	OMIM:614607	OMIM:614607
88	0.014988424256443977	ORPHA:506358	ORPHA:506358
89	0.015006684698164463	ORPHA:487796	ORPHA:487796
90	0.015015222132205963	OMIM:615280	OMIM:615280
91	0.015052980743348598	ORPHA:397941	ORPHA:397941
92	0.015054148621857166	OMIM:617796	OMIM:617796
93	0.015062835067510605	OMIM:618479	OMIM:618479
94	0.01506539061665535	OMIM:601358	OMIM:601358
95	0.015093918889760971	OMIM:610443	OMIM:610443
96	0.015110288746654987	ORPHA:177907	ORPHA:177907
97	0.015126089565455914	ORPHA:495818	ORPHA:495818
98	0.015155596658587456	OMIM:619005	OMIM:619005
99	0.015178035944700241	OMIM:619762	OMIM:619762
100	0.015219204127788544	OMIM:619841	OMIM:619841
101	0.015229753218591213	OMIM:150230	OMIM:150230
102	0.01529670413583517	ORPHA:477993	ORPHA:477993
103	0.015318182297050953	OMIM:618027	OMIM:618027
