rank	score	disease_name	disease_identifier
1	0.019368493929505348	OMIM:619603	OMIM:619603
2	0.02085256017744541	OMIM:617729	OMIM:617729
3	0.02236001379787922	OMIM:270400	OMIM:270400
4	0.0227242112159729	OMIM:616449	OMIM:616449
5	0.022903280332684517	OMIM:614866	OMIM:614866
6	0.022946156561374664	OMIM:609029	OMIM:609029
7	0.023010026663541794	OMIM:247200	OMIM:247200
8	0.023394286632537842	OMIM:251290	OMIM:251290
9	0.023645687848329544	ORPHA:1272	ORPHA:1272
10	0.023658396676182747	OMIM:261515	OMIM:261515
11	0.02367854304611683	OMIM:257300	OMIM:257300
12	0.023881834000349045	OMIM:301056	OMIM:301056
13	0.023891910910606384	OMIM:222448	OMIM:222448
14	0.023905569687485695	OMIM:251300	OMIM:251300
15	0.02404274232685566	ORPHA:96170	ORPHA:96170
16	0.0240461528301239	OMIM:616975	OMIM:616975
17	0.02410508692264557	OMIM:214100	OMIM:214100
18	0.02433139644563198	OMIM:618494	OMIM:618494
19	0.02443193644285202	ORPHA:35107	ORPHA:35107
20	0.02449890412390232	OMIM:614294	OMIM:614294
21	0.024512454867362976	OMIM:300868	OMIM:300868
22	0.024523604661226273	OMIM:614080	OMIM:614080
23	0.024602150544524193	ORPHA:500150	ORPHA:500150
24	0.024631764739751816	ORPHA:2308	ORPHA:2308
25	0.024646999314427376	OMIM:618651	OMIM:618651
26	0.024746455252170563	OMIM:249000	OMIM:249000
27	0.024799352511763573	OMIM:216360	OMIM:216360
28	0.024821830826073237	OMIM:620305	OMIM:620305
29	0.024826956912875175	OMIM:607872	OMIM:607872
30	0.024921437725424767	OMIM:118450	OMIM:118450
31	0.025028318166732788	ORPHA:50	ORPHA:50
32	0.02505226619541645	ORPHA:440713	ORPHA:440713
33	0.025145376101136208	ORPHA:468631	ORPHA:468631
34	0.02516045607626438	OMIM:188400	OMIM:188400
35	0.02522365376353264	OMIM:235510	OMIM:235510
36	0.025368357077240944	OMIM:304050	OMIM:304050
37	0.025378653779625893	OMIM:618820	OMIM:618820
38	0.025451207533478737	OMIM:617751	OMIM:617751
39	0.0254860557615757	ORPHA:912	ORPHA:912
40	0.025497809052467346	ORPHA:96121	ORPHA:96121
41	0.025539187714457512	OMIM:601776	OMIM:601776
42	0.025541100651025772	ORPHA:99776	ORPHA:99776
43	0.025562917813658714	OMIM:610199	OMIM:610199
44	0.025616426020860672	ORPHA:2143	ORPHA:2143
45	0.02561740204691887	OMIM:602501	OMIM:602501
46	0.02561858855187893	OMIM:147920	OMIM:147920
47	0.025639904662966728	ORPHA:821	ORPHA:821
48	0.025653691962361336	ORPHA:7	ORPHA:7
49	0.025676392018795013	ORPHA:1454	ORPHA:1454
50	0.02567896991968155	ORPHA:79328	ORPHA:79328
51	0.02569219470024109	ORPHA:798	ORPHA:798
52	0.02571074105799198	ORPHA:567	ORPHA:567
53	0.025727445259690285	ORPHA:363958	ORPHA:363958
53	0.025727445259690285	ORPHA:363965	ORPHA:363965
55	0.025728382170200348	OMIM:620156	OMIM:620156
56	0.025739498436450958	OMIM:301040	OMIM:301040
57	0.025797277688980103	OMIM:309801	OMIM:309801
58	0.025861723348498344	ORPHA:3380	ORPHA:3380
59	0.02587745524942875	OMIM:602398	OMIM:602398
60	0.025877773761749268	ORPHA:459061	ORPHA:459061
61	0.025879207998514175	ORPHA:314588	ORPHA:314588
62	0.025883829221129417	OMIM:147791	OMIM:147791
63	0.02589069865643978	OMIM:619488	OMIM:619488
64	0.025958048179745674	OMIM:603387	OMIM:603387
65	0.02597343735396862	OMIM:619472	OMIM:619472
66	0.026002410799264908	ORPHA:464306	ORPHA:464306
67	0.026019960641860962	OMIM:617159	OMIM:617159
68	0.02602674625813961	OMIM:194190	OMIM:194190
69	0.026030005887150764	ORPHA:85284	ORPHA:85284
70	0.026055220514535904	OMIM:235730	OMIM:235730
71	0.026069412007927895	OMIM:613457	OMIM:613457
72	0.026076458394527435	OMIM:135900	OMIM:135900
73	0.026109030470252037	ORPHA:2409	ORPHA:2409
