rank	score	disease_name	disease_identifier
1	0.03497691825032234	OMIM:613464	OMIM:613464
2	0.035818468779325485	OMIM:617433	OMIM:617433
3	0.03670859709382057	OMIM:204000	OMIM:204000
4	0.03681080788373947	ORPHA:791	ORPHA:791
5	0.03751986473798752	OMIM:613341	OMIM:613341
6	0.03860052302479744	OMIM:204100	OMIM:204100
7	0.03999268636107445	OMIM:617871	OMIM:617871
8	0.04005751386284828	ORPHA:2965	ORPHA:2965
9	0.04162841662764549	OMIM:614181	OMIM:614181
10	0.04165739193558693	OMIM:611543	OMIM:611543
11	0.04174964874982834	OMIM:610965	OMIM:610965
12	0.042067889124155045	OMIM:608553	OMIM:608553
13	0.04217449575662613	OMIM:619649	OMIM:619649
14	0.042386267334222794	OMIM:304020	OMIM:304020
15	0.04292384535074234	OMIM:616469	OMIM:616469
16	0.04304877668619156	OMIM:614500	OMIM:614500
17	0.043110113590955734	ORPHA:91349	ORPHA:91349
18	0.043245766311883926	OMIM:617406	OMIM:617406
19	0.04348969832062721	ORPHA:91347	ORPHA:91347
20	0.043502721935510635	ORPHA:5	ORPHA:5
21	0.04352777451276779	OMIM:605549	OMIM:605549
22	0.0436144657433033	OMIM:618195	OMIM:618195
23	0.04368678107857704	OMIM:600105	OMIM:600105
24	0.043691277503967285	ORPHA:414	ORPHA:414
25	0.04370836541056633	ORPHA:95613	ORPHA:95613
26	0.04442278668284416	OMIM:617460	OMIM:617460
27	0.044499434530735016	OMIM:613756	OMIM:613756
28	0.04518609866499901	OMIM:613983	OMIM:613983
29	0.04521995410323143	ORPHA:54595	ORPHA:54595
30	0.045261118561029434	OMIM:616544	OMIM:616544
31	0.045286647975444794	OMIM:604393	OMIM:604393
32	0.045291125774383545	OMIM:615973	OMIM:615973
33	0.04533512890338898	ORPHA:886	ORPHA:886
34	0.0454414002597332	OMIM:209900	OMIM:209900
35	0.045463308691978455	OMIM:613843	OMIM:613843
36	0.04551105201244354	OMIM:300029	OMIM:300029
37	0.045620840042829514	OMIM:258870	OMIM:258870
38	0.04567178338766098	OMIM:614186	OMIM:614186
39	0.045680392533540726	OMIM:616289	OMIM:616289
40	0.045716188848018646	OMIM:615147	OMIM:615147
41	0.04575572535395622	ORPHA:3085	ORPHA:3085
42	0.045834679156541824	OMIM:614504	OMIM:614504
43	0.04587266594171524	OMIM:113750	OMIM:113750
44	0.04593334347009659	OMIM:612989	OMIM:612989
45	0.04599786549806595	OMIM:616079	OMIM:616079
46	0.046119384467601776	OMIM:601777	OMIM:601777
47	0.04632887616753578	ORPHA:2786	ORPHA:2786
48	0.04684252291917801	OMIM:617547	OMIM:617547
49	0.04690943658351898	OMIM:180100	OMIM:180100
50	0.04699423909187317	ORPHA:71505	ORPHA:71505
51	0.04714132845401764	OMIM:616170	OMIM:616170
52	0.04716021567583084	ORPHA:2788	ORPHA:2788
53	0.04731832072138786	ORPHA:90321	ORPHA:90321
