rank	score	disease_name	disease_identifier
1	0.042620252817869186	ORPHA:101	ORPHA:101
2	0.04296601563692093	ORPHA:276193	ORPHA:276193
3	0.04440551996231079	OMIM:604391	OMIM:604391
4	0.04456472024321556	OMIM:617145	OMIM:617145
5	0.04533857852220535	ORPHA:98756	ORPHA:98756
6	0.04561904817819595	ORPHA:1182	ORPHA:1182
7	0.04577917233109474	OMIM:614153	OMIM:614153
8	0.04591009393334389	OMIM:606159	OMIM:606159
9	0.04607075825333595	OMIM:617282	OMIM:617282
10	0.0464913435280323	ORPHA:99750	ORPHA:99750
11	0.046491675078868866	ORPHA:101112	ORPHA:101112
12	0.04661343991756439	ORPHA:217012	ORPHA:217012
13	0.046768106520175934	OMIM:618877	OMIM:618877
14	0.04680238291621208	ORPHA:98772	ORPHA:98772
15	0.04685313254594803	ORPHA:247234	ORPHA:247234
16	0.04695279151201248	ORPHA:284282	ORPHA:284282
17	0.047237709164619446	OMIM:183090	OMIM:183090
18	0.04773211106657982	ORPHA:98757	ORPHA:98757
19	0.04793015122413635	ORPHA:98755	ORPHA:98755
20	0.048184387385845184	OMIM:608804	OMIM:608804
21	0.04819449782371521	OMIM:606693	OMIM:606693
22	0.0484379418194294	OMIM:611694	OMIM:611694
23	0.04846848547458649	ORPHA:240103	ORPHA:240103
24	0.048531513661146164	OMIM:600224	OMIM:600224
25	0.04865085333585739	OMIM:616204	OMIM:616204
26	0.04873306304216385	ORPHA:98759	ORPHA:98759
27	0.048766329884529114	ORPHA:240071	ORPHA:240071
28	0.04879039153456688	ORPHA:101109	ORPHA:101109
29	0.04905722290277481	ORPHA:306674	ORPHA:306674
30	0.049117688089609146	ORPHA:98763	ORPHA:98763
31	0.04914594814181328	ORPHA:508093	ORPHA:508093
32	0.04923379793763161	ORPHA:404499	ORPHA:404499
33	0.04942640662193298	OMIM:133190	OMIM:133190
34	0.04944578558206558	OMIM:164500	OMIM:164500
35	0.04958716407418251	OMIM:248900	OMIM:248900
36	0.04975638538599014	OMIM:611105	OMIM:611105
37	0.049799367785453796	ORPHA:423275	ORPHA:423275
38	0.049940116703510284	ORPHA:199351	ORPHA:199351
39	0.049971047788858414	OMIM:613908	OMIM:613908
40	0.049974873661994934	OMIM:260300	OMIM:260300
41	0.050125110894441605	ORPHA:423296	ORPHA:423296
42	0.05026136338710785	ORPHA:276238	ORPHA:276238
42	0.05026136338710785	ORPHA:276241	ORPHA:276241
44	0.050353042781353	ORPHA:71277	ORPHA:71277
45	0.05046255514025688	ORPHA:88644	ORPHA:88644
46	0.05052168294787407	ORPHA:225154	ORPHA:225154
47	0.05061439797282219	ORPHA:98771	ORPHA:98771
48	0.05063272640109062	ORPHA:251347	ORPHA:251347
49	0.050712745636701584	ORPHA:98760	ORPHA:98760
50	0.05073468014597893	OMIM:616140	OMIM:616140
51	0.050760865211486816	ORPHA:67047	ORPHA:67047
52	0.050829846411943436	OMIM:109150	OMIM:109150
53	0.050881631672382355	ORPHA:683	ORPHA:683
54	0.05120458826422691	OMIM:164400	OMIM:164400
55	0.051238011568784714	ORPHA:98773	ORPHA:98773
56	0.05124170333147049	ORPHA:314632	ORPHA:314632
57	0.051278285682201385	ORPHA:504476	ORPHA:504476
58	0.05128711089491844	ORPHA:71517	ORPHA:71517
59	0.05147959664463997	ORPHA:352403	ORPHA:352403
60	0.05153162404894829	ORPHA:397946	ORPHA:397946
61	0.051538366824388504	OMIM:619352	OMIM:619352
62	0.05161416158080101	ORPHA:293168	ORPHA:293168
63	0.051652465015649796	OMIM:609161	OMIM:609161
64	0.051723260432481766	ORPHA:438114	ORPHA:438114
65	0.05175964906811714	OMIM:615768	OMIM:615768
66	0.05187457427382469	OMIM:614820	OMIM:614820
67	0.05198786407709122	OMIM:610217	OMIM:610217
68	0.05200541019439697	OMIM:183050	OMIM:183050
69	0.052033521234989166	ORPHA:454887	ORPHA:454887
70	0.052129220217466354	OMIM:606002	OMIM:606002
71	0.052146732807159424	ORPHA:95434	ORPHA:95434
72	0.052147068083286285	ORPHA:53583	ORPHA:53583
73	0.05214942991733551	ORPHA:98761	ORPHA:98761
74	0.052227459847927094	ORPHA:280219	ORPHA:280219
75	0.05234804004430771	ORPHA:391411	ORPHA:391411
76	0.05252211540937424	OMIM:616055	OMIM:616055
77	0.05264413356781006	OMIM:608768	OMIM:608768
78	0.05265028402209282	OMIM:618824	OMIM:618824
79	0.05274451524019241	OMIM:604326	OMIM:604326
80	0.05279884859919548	ORPHA:275872	ORPHA:275872
81	0.052855756133794785	ORPHA:289560	ORPHA:289560
82	0.052864864468574524	ORPHA:171695	ORPHA:171695
83	0.0529756173491478	OMIM:128230	OMIM:128230
84	0.05297702178359032	OMIM:616948	OMIM:616948
85	0.05309928581118584	ORPHA:101110	ORPHA:101110
86	0.05322473496198654	ORPHA:284324	ORPHA:284324
87	0.0532388910651207	ORPHA:313772	ORPHA:313772
88	0.05331850424408913	ORPHA:99015	ORPHA:99015
89	0.05334988236427307	ORPHA:726	ORPHA:726
90	0.053384386003017426	ORPHA:13	ORPHA:13
91	0.05339467525482178	OMIM:619653	OMIM:619653
92	0.053440503776073456	ORPHA:306692	ORPHA:306692
93	0.053469810634851456	OMIM:612953	OMIM:612953
94	0.05360996350646019	ORPHA:101150	ORPHA:101150
95	0.05362621694803238	ORPHA:401953	ORPHA:401953
96	0.0536300353705883	ORPHA:352649	ORPHA:352649
97	0.053641948848962784	OMIM:611302	OMIM:611302
98	0.053665731102228165	ORPHA:276244	ORPHA:276244
99	0.05366871878504753	OMIM:108650	OMIM:108650
100	0.05383089929819107	OMIM:618049	OMIM:618049
101	0.05387190356850624	ORPHA:527497	ORPHA:527497
102	0.053929053246974945	OMIM:604369	OMIM:604369
103	0.05398888140916824	OMIM:617964	OMIM:617964
104	0.054008446633815765	OMIM:500001	OMIM:500001
105	0.05405502766370773	OMIM:617560	OMIM:617560
106	0.054132718592882156	ORPHA:98768	ORPHA:98768
107	0.05413829907774925	OMIM:618088	OMIM:618088
108	0.054253678768873215	OMIM:601042	OMIM:601042
109	0.05434831231832504	OMIM:607454	OMIM:607454
110	0.05437522009015083	OMIM:615217	OMIM:615217
111	0.05438018590211868	OMIM:213200	OMIM:213200
112	0.05445028096437454	ORPHA:225147	ORPHA:225147
113	0.05456145480275154	ORPHA:300605	ORPHA:300605
114	0.05466916784644127	OMIM:312080	OMIM:312080
115	0.05470668897032738	OMIM:272750	OMIM:272750
116	0.05473382771015167	OMIM:618501	OMIM:618501
117	0.0548890121281147	OMIM:617691	OMIM:617691
118	0.054891571402549744	ORPHA:254343	ORPHA:254343
119	0.0549921877682209	ORPHA:210571	ORPHA:210571
120	0.05524296313524246	OMIM:610246	OMIM:610246
121	0.05527067184448242	ORPHA:1170	ORPHA:1170
122	0.05527579411864281	OMIM:607483	OMIM:607483
123	0.05533488839864731	OMIM:617810	OMIM:617810
124	0.055392779409885406	OMIM:615530	OMIM:615530
125	0.055464886128902435	ORPHA:238455	ORPHA:238455
126	0.055514611303806305	ORPHA:309169	ORPHA:309169
127	0.05555809289216995	OMIM:609454	OMIM:609454
128	0.05555885285139084	OMIM:614487	OMIM:614487
129	0.05569177120923996	OMIM:617008	OMIM:617008
130	0.0557171031832695	ORPHA:137898	ORPHA:137898
131	0.0557444766163826	OMIM:604802	OMIM:604802
132	0.05578982084989548	OMIM:619862	OMIM:619862
133	0.05582622438669205	ORPHA:521406	ORPHA:521406
134	0.05582848936319351	OMIM:250100	OMIM:250100
135	0.055831052362918854	OMIM:617225	OMIM:617225
136	0.05584438145160675	ORPHA:251282	ORPHA:251282
137	0.05588481202721596	OMIM:614575	OMIM:614575
138	0.055892277508974075	OMIM:128100	OMIM:128100
139	0.05601746588945389	ORPHA:513436	ORPHA:513436
140	0.05603683739900589	OMIM:600223	OMIM:600223
141	0.05604536831378937	OMIM:205100	OMIM:205100
142	0.0561077855527401	OMIM:605407	OMIM:605407
143	0.05622083321213722	OMIM:618317	OMIM:618317
144	0.05626911669969559	ORPHA:284289	ORPHA:284289
145	0.05645427107810974	ORPHA:97355	ORPHA:97355
146	0.05660218372941017	OMIM:606703	OMIM:606703
147	0.056603532284498215	ORPHA:254881	ORPHA:254881
148	0.05660558491945267	OMIM:612319	OMIM:612319
149	0.05669083818793297	OMIM:616680	OMIM:616680
150	0.05669837445020676	OMIM:618170	OMIM:618170
151	0.056731216609478	ORPHA:99027	ORPHA:99027
152	0.05673903226852417	OMIM:612438	OMIM:612438
153	0.05681203305721283	OMIM:108600	OMIM:108600
154	0.05683531612157822	OMIM:601338	OMIM:601338
155	0.05687741935253143	OMIM:607317	OMIM:607317
156	0.056912995874881744	ORPHA:284271	ORPHA:284271
157	0.05698542296886444	ORPHA:171629	ORPHA:171629
158	0.057014115154743195	OMIM:234200	OMIM:234200
159	0.05704057589173317	OMIM:271245	OMIM:271245
160	0.05704229697585106	ORPHA:96	ORPHA:96
161	0.057153649628162384	ORPHA:447896	ORPHA:447896
