rank	score	disease_name	disease_identifier
1	0.023135708644986153	OMIM:617391	OMIM:617391
2	0.023712560534477234	OMIM:616409	OMIM:616409
3	0.025518003851175308	ORPHA:599373	ORPHA:599373
4	0.02669629454612732	OMIM:617771	OMIM:617771
5	0.027038250118494034	OMIM:617188	OMIM:617188
6	0.028003156185150146	OMIM:617601	OMIM:617601
7	0.028011562302708626	OMIM:616346	OMIM:616346
8	0.028590897098183632	OMIM:617831	OMIM:617831
9	0.02918224409222603	OMIM:616341	OMIM:616341
10	0.02933501824736595	OMIM:616366	OMIM:616366
11	0.0299085583537817	OMIM:301008	OMIM:301008
12	0.03013678640127182	OMIM:612621	OMIM:612621
13	0.030213184654712677	OMIM:617643	OMIM:617643
14	0.03054569661617279	OMIM:618095	OMIM:618095
15	0.030659208074212074	ORPHA:439218	ORPHA:439218
16	0.030692795291543007	OMIM:617830	OMIM:617830
17	0.03079610876739025	OMIM:619157	OMIM:619157
18	0.03121732361614704	OMIM:619913	OMIM:619913
19	0.03135784715414047	OMIM:619970	OMIM:619970
20	0.03136147931218147	OMIM:616139	OMIM:616139
21	0.03164168447256088	OMIM:617153	OMIM:617153
22	0.0319172628223896	OMIM:610042	OMIM:610042
23	0.031935688108205795	OMIM:617105	OMIM:617105
24	0.03193572163581848	OMIM:615473	OMIM:615473
25	0.03218373283743858	OMIM:617350	OMIM:617350
26	0.03224322944879532	OMIM:612164	OMIM:612164
27	0.03253490477800369	OMIM:619228	OMIM:619228
28	0.032597873359918594	ORPHA:163681	ORPHA:163681
29	0.032598379999399185	ORPHA:163721	ORPHA:163721
30	0.032655734568834305	OMIM:612736	OMIM:612736
31	0.0326804481446743	OMIM:617162	OMIM:617162
32	0.03273344039916992	OMIM:615833	OMIM:615833
33	0.032736390829086304	OMIM:245570	OMIM:245570
34	0.03307175636291504	OMIM:226750	OMIM:226750
35	0.033149294555187225	OMIM:308350	OMIM:308350
36	0.033181674778461456	OMIM:617171	OMIM:617171
37	0.03347151726484299	OMIM:617665	OMIM:617665
38	0.033497314900159836	OMIM:617113	OMIM:617113
39	0.03360758349299431	ORPHA:98818	ORPHA:98818
40	0.033615101128816605	OMIM:616917	OMIM:616917
41	0.03364511579275131	OMIM:617873	OMIM:617873
42	0.03374689817428589	OMIM:618557	OMIM:618557
43	0.033816609531641006	OMIM:617836	OMIM:617836
44	0.03422151505947113	ORPHA:86909	ORPHA:86909
45	0.034251440316438675	OMIM:617711	OMIM:617711
46	0.03439225256443024	OMIM:617904	OMIM:617904
47	0.0344972163438797	OMIM:617166	OMIM:617166
48	0.03466447442770004	OMIM:613720	OMIM:613720
49	0.0347612202167511	OMIM:618012	OMIM:618012
50	0.03490283712744713	ORPHA:208447	ORPHA:208447
51	0.03494277596473694	ORPHA:91131	ORPHA:91131
52	0.03495749831199646	OMIM:606777	OMIM:606777
53	0.034991733729839325	ORPHA:352582	ORPHA:352582
54	0.03501327335834503	ORPHA:79097	ORPHA:79097
55	0.03508643060922623	OMIM:618559	OMIM:618559
56	0.035160839557647705	ORPHA:208444	ORPHA:208444
57	0.035171590745449066	OMIM:618396	OMIM:618396
58	0.03518559783697128	ORPHA:488613	ORPHA:488613
59	0.03545060381293297	ORPHA:1935	ORPHA:1935
60	0.03547966852784157	OMIM:617065	OMIM:617065
61	0.035702187567949295	OMIM:619580	OMIM:619580
62	0.03587736189365387	OMIM:617929	OMIM:617929
63	0.03591030463576317	OMIM:619561	OMIM:619561
64	0.03597123548388481	OMIM:617829	OMIM:617829
65	0.03599647432565689	OMIM:271980	OMIM:271980
66	0.036018721759319305	ORPHA:505216	ORPHA:505216
67	0.036179300397634506	OMIM:616645	OMIM:616645
68	0.036199066787958145	ORPHA:480864	ORPHA:480864
69	0.03626605123281479	OMIM:620033	OMIM:620033
70	0.03628726303577423	ORPHA:293181	ORPHA:293181
71	0.03630078583955765	OMIM:609056	OMIM:609056
72	0.03641120716929436	OMIM:618482	OMIM:618482
73	0.03642243891954422	OMIM:617599	OMIM:617599
74	0.03656221926212311	ORPHA:3006	ORPHA:3006
75	0.03677668422460556	OMIM:619964	OMIM:619964
76	0.03679289668798447	OMIM:620145	OMIM:620145
77	0.03692211955785751	OMIM:266100	OMIM:266100
78	0.036967407912015915	OMIM:619881	OMIM:619881
79	0.036987628787755966	OMIM:617389	OMIM:617389
80	0.03706377372145653	OMIM:617182	OMIM:617182
81	0.03708261251449585	OMIM:618141	OMIM:618141
82	0.037100061774253845	OMIM:617393	OMIM:617393
83	0.03721937537193298	OMIM:616056	OMIM:616056
