rank	score	disease_name	disease_identifier
1	0.029047349467873573	OMIM:604145	OMIM:604145
2	0.037168215960264206	ORPHA:300751	ORPHA:300751
3	0.0438382513821125	OMIM:616117	OMIM:616117
4	0.0445433184504509	OMIM:600858	OMIM:600858
5	0.04529374837875366	OMIM:601154	OMIM:601154
6	0.04570898041129112	OMIM:115200	OMIM:115200
7	0.04612874612212181	ORPHA:99105	ORPHA:99105
8	0.04780767858028412	ORPHA:45453	ORPHA:45453
9	0.04877638816833496	OMIM:620247	OMIM:620247
10	0.04947782680392265	ORPHA:216694	ORPHA:216694
11	0.05224841088056564	OMIM:234700	OMIM:234700
12	0.053130507469177246	ORPHA:3282	ORPHA:3282
13	0.05353260412812233	OMIM:613485	OMIM:613485
14	0.05378758907318115	OMIM:614672	OMIM:614672
15	0.054464079439640045	OMIM:608751	OMIM:608751
16	0.054820284247398376	OMIM:604169	OMIM:604169
17	0.05515305697917938	ORPHA:168796	ORPHA:168796
18	0.05527409166097641	OMIM:601493	OMIM:601493
19	0.05541118606925011	OMIM:619897	OMIM:619897
20	0.055612120777368546	OMIM:600884	OMIM:600884
21	0.056124068796634674	OMIM:108770	OMIM:108770
22	0.0562862828373909	OMIM:608569	OMIM:608569
23	0.05755143612623215	ORPHA:1880	ORPHA:1880
24	0.05762665718793869	OMIM:614954	OMIM:614954
25	0.05764311924576759	OMIM:615745	OMIM:615745
26	0.0577109232544899	OMIM:607450	OMIM:607450
27	0.057774584740400314	ORPHA:1677	ORPHA:1677
28	0.05778513103723526	ORPHA:1344	ORPHA:1344
29	0.05805858224630356	OMIM:613694	OMIM:613694
30	0.058073826134204865	ORPHA:99103	ORPHA:99103
31	0.05836304649710655	OMIM:615373	OMIM:615373
32	0.05851956084370613	OMIM:612158	OMIM:612158
33	0.058618586510419846	ORPHA:2041	ORPHA:2041
34	0.058672744780778885	ORPHA:85451	ORPHA:85451
35	0.05912109836935997	OMIM:605362	OMIM:605362
36	0.0594460628926754	OMIM:604400	OMIM:604400
37	0.06017954275012016	OMIM:619747	OMIM:619747
38	0.06038929149508476	OMIM:115197	OMIM:115197
39	0.06050637736916542	OMIM:613697	OMIM:613697
40	0.06060135364532471	ORPHA:75565	ORPHA:75565
41	0.060635607689619064	ORPHA:3092	ORPHA:3092
42	0.060652606189250946	ORPHA:99106	ORPHA:99106
43	0.06073803827166557	OMIM:613838	OMIM:613838
44	0.06110100448131561	ORPHA:75566	ORPHA:75566
45	0.06121155619621277	ORPHA:60041	ORPHA:60041
46	0.06137990579009056	ORPHA:66529	ORPHA:66529
47	0.06142602488398552	ORPHA:217622	ORPHA:217622
48	0.06171976402401924	ORPHA:1330	ORPHA:1330
49	0.062142278999090195	ORPHA:439	ORPHA:439
50	0.062275245785713196	ORPHA:1329	ORPHA:1329
51	0.06240801885724068	OMIM:608758	OMIM:608758
52	0.06267879158258438	OMIM:609040	OMIM:609040
53	0.06303966790437698	OMIM:607482	OMIM:607482
54	0.06358300894498825	OMIM:604772	OMIM:604772
55	0.06394702941179276	OMIM:612098	OMIM:612098
56	0.06448638439178467	OMIM:619402	OMIM:619402
57	0.06448934972286224	OMIM:613172	OMIM:613172
58	0.06457202881574631	OMIM:192600	OMIM:192600
59	0.06457491964101791	ORPHA:3093	ORPHA:3093
60	0.06514406949281693	OMIM:613426	OMIM:613426
61	0.06524689495563507	OMIM:611880	OMIM:611880
62	0.06542430073022842	ORPHA:1055	ORPHA:1055
63	0.06559567153453827	OMIM:612877	OMIM:612877
64	0.0659388080239296	OMIM:224700	OMIM:224700
65	0.06598606705665588	OMIM:613873	OMIM:613873
66	0.06653852015733719	OMIM:613252	OMIM:613252
67	0.06662070006132126	OMIM:613255	OMIM:613255
68	0.06691905111074448	OMIM:163800	OMIM:163800
69	0.06709986925125122	OMIM:617047	OMIM:617047
70	0.06766531616449356	ORPHA:45452	ORPHA:45452
71	0.0677594244480133	ORPHA:563	ORPHA:563
72	0.06777367740869522	ORPHA:1686	ORPHA:1686
73	0.06843119114637375	ORPHA:75249	ORPHA:75249
74	0.06878200173377991	OMIM:613243	OMIM:613243
75	0.06887222826480865	OMIM:601144	OMIM:601144
76	0.06895355880260468	ORPHA:99095	ORPHA:99095
77	0.06909894198179245	OMIM:620236	OMIM:620236
78	0.06920114159584045	OMIM:614022	OMIM:614022
79	0.06957677006721497	ORPHA:2299	ORPHA:2299
80	0.06966189295053482	ORPHA:130	ORPHA:130
81	0.0698927640914917	OMIM:604765	OMIM:604765
82	0.06993602961301804	ORPHA:99094	ORPHA:99094
83	0.07040684670209885	OMIM:613690	OMIM:613690
84	0.07052242755889893	OMIM:601494	OMIM:601494
85	0.07057254761457443	ORPHA:51083	ORPHA:51083
86	0.0708218440413475	OMIM:614473	OMIM:614473
87	0.07107047736644745	OMIM:618052	OMIM:618052
88	0.07164029031991959	OMIM:619371	OMIM:619371
89	0.07178626954555511	ORPHA:57777	ORPHA:57777
90	0.07255707681179047	OMIM:615248	OMIM:615248
91	0.07270780950784683	OMIM:613251	OMIM:613251
92	0.07280071824789047	OMIM:115195	OMIM:115195
93	0.07286370545625687	ORPHA:99104	ORPHA:99104
