rank	score	disease_name	disease_identifier
1	0.0204585213214159	OMIM:614480	OMIM:614480
2	0.021822167560458183	OMIM:278000	OMIM:278000
3	0.022196266800165176	ORPHA:567983	ORPHA:567983
4	0.024209072813391685	OMIM:619868	OMIM:619868
5	0.024237513542175293	ORPHA:369	ORPHA:369
6	0.024273216724395752	OMIM:232700	OMIM:232700
7	0.02576175332069397	OMIM:616828	OMIM:616828
8	0.026603111997246742	OMIM:612526	OMIM:612526
9	0.027027813717722893	ORPHA:275761	ORPHA:275761
10	0.02801155485212803	ORPHA:30391	ORPHA:30391
11	0.02853374183177948	ORPHA:264580	ORPHA:264580
12	0.028654243797063828	OMIM:617156	OMIM:617156
13	0.0287732295691967	OMIM:269700	OMIM:269700
14	0.028930479660630226	OMIM:276700	OMIM:276700
15	0.02906719781458378	OMIM:235555	OMIM:235555
16	0.02960536628961563	OMIM:620010	OMIM:620010
17	0.029782244935631752	OMIM:232200	OMIM:232200
18	0.029809780418872833	ORPHA:139507	ORPHA:139507
19	0.029811639338731766	OMIM:601847	OMIM:601847
20	0.029874304309487343	OMIM:616278	OMIM:616278
21	0.030068496242165565	ORPHA:171	ORPHA:171
22	0.03028162382543087	OMIM:232220	OMIM:232220
23	0.030553480610251427	OMIM:608594	OMIM:608594
24	0.030699418857693672	ORPHA:2088	ORPHA:2088
25	0.03081006184220314	OMIM:617253	OMIM:617253
26	0.03113330714404583	OMIM:607765	OMIM:607765
27	0.031225765123963356	ORPHA:53035	ORPHA:53035
28	0.031234830617904663	ORPHA:75234	ORPHA:75234
29	0.03130446746945381	OMIM:613027	OMIM:613027
30	0.031372442841529846	OMIM:619991	OMIM:619991
31	0.03154902905225754	ORPHA:731	ORPHA:731
32	0.031578030437231064	OMIM:613313	OMIM:613313
33	0.031815897673368454	OMIM:618528	OMIM:618528
34	0.03193569928407669	OMIM:618641	OMIM:618641
35	0.032144978642463684	ORPHA:79259	ORPHA:79259
36	0.03217196837067604	ORPHA:79240	ORPHA:79240
37	0.03223181888461113	ORPHA:528	ORPHA:528
38	0.03232211619615555	ORPHA:71	ORPHA:71
39	0.03232284635305405	OMIM:613812	OMIM:613812
40	0.032331109046936035	OMIM:619662	OMIM:619662
41	0.03242504969239235	ORPHA:79303	ORPHA:79303
42	0.03257065638899803	OMIM:251880	OMIM:251880
43	0.03258059173822403	OMIM:615486	OMIM:615486
44	0.03259953483939171	OMIM:214900	OMIM:214900
45	0.0326995886862278	ORPHA:480520	ORPHA:480520
46	0.032707106322050095	OMIM:605814	OMIM:605814
47	0.033037904649972916	ORPHA:100085	ORPHA:100085
48	0.03304440900683403	OMIM:614921	OMIM:614921
49	0.03339236229658127	ORPHA:131	ORPHA:131
50	0.03340121731162071	ORPHA:470	ORPHA:470
51	0.03369973972439766	OMIM:619013	OMIM:619013
52	0.03379233554005623	ORPHA:90003	ORPHA:90003
53	0.03384891897439957	ORPHA:1667	ORPHA:1667
54	0.03397902101278305	ORPHA:64	ORPHA:64
55	0.03408879041671753	OMIM:300972	OMIM:300972
56	0.03411282226443291	OMIM:617093	OMIM:617093
57	0.03438607230782509	OMIM:619377	OMIM:619377
