rank	score	disease_name	disease_identifier
1	0.19219613075256348	OMIM:107700	OMIM:107700
2	0.19678783416748047	OMIM:616868	OMIM:616868
3	0.20073628425598145	OMIM:190420	OMIM:190420
4	0.2023688554763794	OMIM:300971	OMIM:300971
5	0.20286715030670166	ORPHA:103910	ORPHA:103910
6	0.2036914825439453	ORPHA:2300	ORPHA:2300
7	0.20467400550842285	ORPHA:95626	ORPHA:95626
8	0.20608633756637573	ORPHA:35122	ORPHA:35122
9	0.2064003348350525	ORPHA:35710	ORPHA:35710
10	0.206559956073761	ORPHA:103909	ORPHA:103909
