rank	score	disease_name	disease_identifier
1	0.1999911367893219	ORPHA:228396	ORPHA:228396
2	0.20022867619991302	ORPHA:2533	ORPHA:2533
3	0.20665252208709717	ORPHA:1519	ORPHA:1519
4	0.20690418779850006	ORPHA:79113	ORPHA:79113
5	0.20956186950206757	ORPHA:1778	ORPHA:1778
6	0.20982399582862854	OMIM:259780	OMIM:259780
7	0.21142835915088654	ORPHA:398173	ORPHA:398173
8	0.21152377128601074	ORPHA:293843	ORPHA:293843
9	0.21155869960784912	ORPHA:2793	ORPHA:2793
10	0.21317045390605927	OMIM:616367	OMIM:616367
11	0.21363045275211334	ORPHA:2673	ORPHA:2673
12	0.21382690966129303	OMIM:182150	OMIM:182150
13	0.21528784930706024	ORPHA:1968	ORPHA:1968
14	0.21548056602478027	OMIM:618619	OMIM:618619
15	0.2159038484096527	OMIM:619122	OMIM:619122
16	0.2159978598356247	OMIM:239710	OMIM:239710
17	0.2160876989364624	ORPHA:3216	ORPHA:3216
18	0.21687880158424377	ORPHA:2789	ORPHA:2789
19	0.21691089868545532	ORPHA:3038	ORPHA:3038
20	0.21747298538684845	OMIM:609640	OMIM:609640
21	0.21752917766571045	OMIM:618332	OMIM:618332
22	0.21786156296730042	ORPHA:1642	ORPHA:1642
23	0.21834056079387665	ORPHA:2876	ORPHA:2876
24	0.21853013336658478	OMIM:609654	OMIM:609654
25	0.21856582164764404	ORPHA:3224	ORPHA:3224
26	0.21884296834468842	OMIM:123557	OMIM:123557
27	0.21900898218154907	OMIM:167730	OMIM:167730
28	0.2192341834306717	OMIM:613458	OMIM:613458
29	0.2192898392677307	ORPHA:261120	ORPHA:261120
30	0.21944113075733185	ORPHA:1297	ORPHA:1297
31	0.21946881711483002	OMIM:604314	OMIM:604314
32	0.21955659985542297	ORPHA:1131	ORPHA:1131
33	0.21985958516597748	OMIM:614684	OMIM:614684
34	0.22003081440925598	OMIM:169100	OMIM:169100
35	0.22010809183120728	OMIM:616788	OMIM:616788
36	0.22047701478004456	ORPHA:114	ORPHA:114
37	0.22078347206115723	OMIM:615979	OMIM:615979
38	0.22080455720424652	OMIM:618950	OMIM:618950
39	0.22125935554504395	ORPHA:1974	ORPHA:1974
40	0.22136899828910828	ORPHA:2849	ORPHA:2849
41	0.22137242555618286	OMIM:611554	OMIM:611554
42	0.22137872874736786	ORPHA:949	ORPHA:949
43	0.2214953750371933	OMIM:104350	OMIM:104350
44	0.22160527110099792	ORPHA:1299	ORPHA:1299
45	0.22180718183517456	ORPHA:246	ORPHA:246
46	0.22181080281734467	ORPHA:1752	ORPHA:1752
47	0.22183510661125183	OMIM:602562	OMIM:602562
48	0.22201943397521973	OMIM:177990	OMIM:177990
49	0.22208978235721588	ORPHA:2211	ORPHA:2211
50	0.22223447263240814	ORPHA:1388	ORPHA:1388
51	0.22241684794425964	OMIM:619493	OMIM:619493
52	0.2227299064397812	ORPHA:2729	ORPHA:2729
53	0.22278541326522827	OMIM:619087	OMIM:619087
54	0.22279775142669678	ORPHA:2399	ORPHA:2399
55	0.2229512333869934	OMIM:620107	OMIM:620107
56	0.22301682829856873	OMIM:618548	OMIM:618548
57	0.22310885787010193	ORPHA:217017	ORPHA:217017
58	0.22320400178432465	ORPHA:313855	ORPHA:313855
59	0.22323495149612427	OMIM:123790	OMIM:123790
60	0.22331660985946655	OMIM:616898	OMIM:616898
61	0.22380387783050537	OMIM:619880	OMIM:619880
62	0.22385500371456146	OMIM:619325	OMIM:619325
63	0.22395658493041992	OMIM:301026	OMIM:301026
64	0.22411100566387177	ORPHA:487825	ORPHA:487825
65	0.22419185936450958	OMIM:617412	OMIM:617412
66	0.22424310445785522	ORPHA:3107	ORPHA:3107
67	0.22427237033843994	ORPHA:261318	ORPHA:261318
68	0.22429655492305756	OMIM:601088	OMIM:601088
69	0.22446350753307343	ORPHA:2804	ORPHA:2804
70	0.22449781000614166	ORPHA:1913	ORPHA:1913
71	0.22452262043952942	OMIM:211380	OMIM:211380
72	0.22468678653240204	OMIM:617127	OMIM:617127
73	0.22469067573547363	OMIM:618316	OMIM:618316
74	0.22469741106033325	OMIM:616734	OMIM:616734
75	0.22470206022262573	ORPHA:137834	ORPHA:137834
76	0.22495095431804657	OMIM:601321	OMIM:601321
77	0.2249617874622345	ORPHA:2701	ORPHA:2701
78	0.2250191569328308	OMIM:620098	OMIM:620098
79	0.22513297200202942	OMIM:608156	OMIM:608156
80	0.22519947588443756	OMIM:314600	OMIM:314600
81	0.22527539730072021	OMIM:606851	OMIM:606851
82	0.22527658939361572	ORPHA:1327	ORPHA:1327
83	0.22532808780670166	OMIM:611553	OMIM:611553
84	0.22536854445934296	OMIM:615162	OMIM:615162
85	0.2253756821155548	ORPHA:2988	ORPHA:2988
86	0.22541391849517822	ORPHA:2769	ORPHA:2769
87	0.22547122836112976	OMIM:618529	OMIM:618529
88	0.22548551857471466	OMIM:614976	OMIM:614976
89	0.225559264421463	OMIM:616803	OMIM:616803
90	0.22560618817806244	OMIM:613563	OMIM:613563
91	0.22567027807235718	OMIM:602483	OMIM:602483
92	0.2257491797208786	OMIM:182875	OMIM:182875
93	0.2258414775133133	OMIM:158170	OMIM:158170
94	0.225898876786232	ORPHA:2631	ORPHA:2631
95	0.22592703998088837	ORPHA:1555	ORPHA:1555
96	0.22593843936920166	ORPHA:2412	ORPHA:2412
97	0.22599534690380096	ORPHA:52055	ORPHA:52055
98	0.22606916725635529	OMIM:182212	OMIM:182212
99	0.22613616287708282	OMIM:619941	OMIM:619941
100	0.22616742551326752	ORPHA:2522	ORPHA:2522
101	0.22633886337280273	ORPHA:363659	ORPHA:363659
102	0.22635981440544128	ORPHA:261337	ORPHA:261337
103	0.22638162970542908	OMIM:613792	OMIM:613792
104	0.2263866811990738	OMIM:608624	OMIM:608624
105	0.2263900190591812	ORPHA:2462	ORPHA:2462
106	0.22643868625164032	OMIM:272950	OMIM:272950
107	0.22651013731956482	ORPHA:1185	ORPHA:1185
108	0.22652743756771088	ORPHA:1620	ORPHA:1620
109	0.22655870020389557	ORPHA:313781	ORPHA:313781
110	0.2265760749578476	ORPHA:3459	ORPHA:3459
