rank	score	disease_name	disease_identifier
1	0.03594663739204407	ORPHA:79481	ORPHA:79481
2	0.03876309469342232	ORPHA:293812	ORPHA:293812
3	0.039515990763902664	ORPHA:555905	ORPHA:555905
4	0.045143041759729385	ORPHA:79480	ORPHA:79480
5	0.045912668108940125	ORPHA:79400	ORPHA:79400
6	0.0469064824283123	ORPHA:263534	ORPHA:263534
7	0.04706447944045067	ORPHA:79410	ORPHA:79410
8	0.047210611402988434	ORPHA:89843	ORPHA:89843
9	0.047993145883083344	ORPHA:231568	ORPHA:231568
10	0.04840279370546341	ORPHA:158681	ORPHA:158681
11	0.0497012622654438	ORPHA:525	ORPHA:525
12	0.049992065876722336	ORPHA:158673	ORPHA:158673
13	0.050578974187374115	ORPHA:79411	ORPHA:79411
14	0.05094830319285393	ORPHA:1656	ORPHA:1656
15	0.051557354629039764	ORPHA:79409	ORPHA:79409
16	0.051668062806129456	ORPHA:254478	ORPHA:254478
17	0.05187812075018883	ORPHA:63455	ORPHA:63455
18	0.0519958920776844	ORPHA:83453	ORPHA:83453
19	0.05224265530705452	ORPHA:182	ORPHA:182
20	0.052245888859033585	ORPHA:2337	ORPHA:2337
21	0.052696965634822845	ORPHA:89838	ORPHA:89838
22	0.05271681398153305	ORPHA:79405	ORPHA:79405
23	0.05303150787949562	ORPHA:46488	ORPHA:46488
24	0.05319388210773468	OMIM:607602	OMIM:607602
25	0.0537453219294548	ORPHA:79401	ORPHA:79401
26	0.054023709148168564	OMIM:616295	OMIM:616295
27	0.054205093532800674	ORPHA:33408	ORPHA:33408
28	0.05440068617463112	ORPHA:79406	ORPHA:79406
29	0.05446288362145424	OMIM:131900	OMIM:131900
30	0.05481962487101555	OMIM:619785	OMIM:619785
31	0.055047404021024704	ORPHA:48104	ORPHA:48104
32	0.05551997199654579	ORPHA:79455	ORPHA:79455
33	0.05590103194117546	ORPHA:2897	ORPHA:2897
34	0.0559852160513401	ORPHA:46486	ORPHA:46486
35	0.05604669451713562	ORPHA:312	ORPHA:312
36	0.056379541754722595	ORPHA:79399	ORPHA:79399
37	0.057302992790937424	ORPHA:294023	ORPHA:294023
38	0.05742942914366722	ORPHA:36237	ORPHA:36237
39	0.05775892734527588	ORPHA:2584	ORPHA:2584
40	0.0582897774875164	ORPHA:704	ORPHA:704
41	0.05843686684966087	ORPHA:222	ORPHA:222
42	0.05852795019745827	ORPHA:703	ORPHA:703
43	0.05881916359066963	ORPHA:542592	ORPHA:542592
44	0.059084631502628326	ORPHA:530	ORPHA:530
45	0.05940587818622589	OMIM:620148	OMIM:620148
46	0.05995716527104378	ORPHA:95159	ORPHA:95159
47	0.060002438724040985	ORPHA:79397	ORPHA:79397
48	0.060135263949632645	ORPHA:2314	ORPHA:2314
49	0.060350093990564346	OMIM:132000	OMIM:132000
50	0.06047586351633072	OMIM:173650	OMIM:173650
51	0.06052618846297264	ORPHA:166113	ORPHA:166113
52	0.060592278838157654	ORPHA:231	ORPHA:231
53	0.060709722340106964	ORPHA:37	ORPHA:37
54	0.060939986258745193	ORPHA:293173	ORPHA:293173
55	0.06100592762231827	OMIM:609796	OMIM:609796
56	0.061065636575222015	ORPHA:455	ORPHA:455
57	0.06116248667240143	ORPHA:79408	ORPHA:79408
58	0.06148381903767586	ORPHA:302	ORPHA:302
59	0.06191835179924965	ORPHA:158684	ORPHA:158684
60	0.061952147632837296	ORPHA:228119	ORPHA:228119
61	0.06207539141178131	ORPHA:90186	ORPHA:90186
62	0.062151625752449036	ORPHA:1658	ORPHA:1658
63	0.062175121158361435	ORPHA:50918	ORPHA:50918
64	0.06236870214343071	ORPHA:901	ORPHA:901
65	0.062412794679403305	ORPHA:79456	ORPHA:79456
66	0.0625210702419281	ORPHA:2841	ORPHA:2841
67	0.06272364407777786	ORPHA:79396	ORPHA:79396
68	0.0629284679889679	OMIM:247100	OMIM:247100
69	0.06293518841266632	ORPHA:95455	ORPHA:95455
70	0.06311000138521194	ORPHA:158668	ORPHA:158668
71	0.06316158175468445	OMIM:619555	OMIM:619555
72	0.06349362432956696	ORPHA:2907	ORPHA:2907
73	0.06353629380464554	OMIM:131760	OMIM:131760
74	0.0635986253619194	OMIM:619816	OMIM:619816
75	0.06381814181804657	ORPHA:477	ORPHA:477
76	0.06386976689100266	ORPHA:779	ORPHA:779
77	0.06388716399669647	ORPHA:79402	ORPHA:79402
78	0.06438300758600235	ORPHA:659	ORPHA:659
79	0.06451845914125443	OMIM:226600	OMIM:226600
80	0.06500475108623505	ORPHA:46487	ORPHA:46487
81	0.06517137587070465	OMIM:619787	OMIM:619787
82	0.06532080471515656	OMIM:615425	OMIM:615425
83	0.06539035588502884	ORPHA:3243	ORPHA:3243
84	0.06557665765285492	ORPHA:2908	ORPHA:2908
85	0.06560344994068146	ORPHA:313	ORPHA:313
86	0.0657026395201683	ORPHA:409	ORPHA:409
87	0.06586307287216187	ORPHA:889	ORPHA:889
88	0.06589483469724655	ORPHA:251393	ORPHA:251393
89	0.06597943603992462	OMIM:226730	OMIM:226730
90	0.06607384979724884	ORPHA:330058	ORPHA:330058
91	0.06621062010526657	ORPHA:379	ORPHA:379
92	0.06666012108325958	ORPHA:79404	ORPHA:79404
93	0.06685211509466171	ORPHA:3162	ORPHA:3162
94	0.06722055375576019	OMIM:619784	OMIM:619784
95	0.06737907975912094	OMIM:601001	OMIM:601001
96	0.0674101859331131	ORPHA:454	ORPHA:454
97	0.0675559937953949	ORPHA:79277	ORPHA:79277
98	0.06792525947093964	ORPHA:90280	ORPHA:90280
99	0.06796319782733917	ORPHA:3406	ORPHA:3406
100	0.06825568526983261	ORPHA:100976	ORPHA:100976
101	0.06833525002002716	ORPHA:280785	ORPHA:280785
102	0.06878487020730972	ORPHA:90000	ORPHA:90000
103	0.06892102211713791	ORPHA:454831	ORPHA:454831
104	0.06895449757575989	ORPHA:317	ORPHA:317
105	0.0690905898809433	OMIM:616487	OMIM:616487
106	0.06942024827003479	ORPHA:33276	ORPHA:33276
107	0.06943554431200027	ORPHA:79147	ORPHA:79147
108	0.06947976350784302	OMIM:131750	OMIM:131750
109	0.06956195831298828	OMIM:618373	OMIM:618373
110	0.0697346106171608	ORPHA:218	ORPHA:218
111	0.06974658370018005	ORPHA:99921	ORPHA:99921
112	0.0697723925113678	OMIM:614328	OMIM:614328
113	0.06988231837749481	ORPHA:228240	ORPHA:228240
114	0.06991105526685715	OMIM:609352	OMIM:609352
115	0.0699542835354805	OMIM:619786	OMIM:619786
116	0.07007075101137161	ORPHA:31112	ORPHA:31112
117	0.0700923353433609	ORPHA:284426	ORPHA:284426
118	0.07009467482566833	ORPHA:79452	ORPHA:79452
119	0.07011712342500687	ORPHA:39812	ORPHA:39812
120	0.0701708272099495	OMIM:603165	OMIM:603165
121	0.07019747793674469	ORPHA:761	ORPHA:761
122	0.07020296901464462	ORPHA:64745	ORPHA:64745
123	0.07027342915534973	ORPHA:634	ORPHA:634
124	0.07027895003557205	ORPHA:90289	ORPHA:90289
125	0.0703001320362091	OMIM:226700	OMIM:226700
126	0.07039854675531387	ORPHA:79145	ORPHA:79145
127	0.07052760571241379	OMIM:146590	OMIM:146590
128	0.07072743773460388	ORPHA:678	ORPHA:678
129	0.07075346261262894	ORPHA:220402	ORPHA:220402
130	0.07077991962432861	ORPHA:1334	ORPHA:1334
131	0.07102824002504349	ORPHA:89842	ORPHA:89842
132	0.07109424471855164	ORPHA:86884	ORPHA:86884
133	0.0711856484413147	ORPHA:69745	ORPHA:69745
134	0.0712069645524025	ORPHA:1775	ORPHA:1775
135	0.07135486602783203	ORPHA:33314	ORPHA:33314
136	0.07135900855064392	ORPHA:83313	ORPHA:83313
137	0.07138398289680481	ORPHA:537	ORPHA:537
138	0.07140232622623444	ORPHA:139402	ORPHA:139402
139	0.07148290425539017	OMIM:270300	OMIM:270300
140	0.07173632085323334	OMIM:130080	OMIM:130080
141	0.07191693037748337	ORPHA:79100	ORPHA:79100
142	0.07218783348798752	ORPHA:910	ORPHA:910
143	0.07230161875486374	OMIM:278720	OMIM:278720
144	0.0723690390586853	ORPHA:79280	ORPHA:79280
145	0.07238657772541046	OMIM:301845	OMIM:301845
146	0.0724688395857811	ORPHA:228123	ORPHA:228123
147	0.07255138456821442	OMIM:619817	OMIM:619817
148	0.07264884561300278	ORPHA:87503	ORPHA:87503
149	0.0726982057094574	OMIM:254400	OMIM:254400
150	0.07276853919029236	OMIM:226670	OMIM:226670
151	0.07304435968399048	OMIM:615028	OMIM:615028
152	0.07310643047094345	ORPHA:1010	ORPHA:1010
153	0.07316473126411438	OMIM:618935	OMIM:618935
154	0.07336553931236267	ORPHA:221	ORPHA:221
155	0.07350709289312363	ORPHA:90156	ORPHA:90156
156	0.07355890423059464	ORPHA:90158	ORPHA:90158
157	0.07361308485269547	OMIM:604536	OMIM:604536
158	0.07364014536142349	ORPHA:742	ORPHA:742
159	0.07366040349006653	ORPHA:129	ORPHA:129
160	0.073704294860363	OMIM:618131	OMIM:618131
161	0.07381343841552734	ORPHA:324625	ORPHA:324625
162	0.07384570688009262	OMIM:619783	OMIM:619783
163	0.07389581948518753	ORPHA:73263	ORPHA:73263
164	0.07401960343122482	OMIM:615225	OMIM:615225
165	0.07417982816696167	ORPHA:2309	ORPHA:2309
166	0.07418329268693924	ORPHA:39041	ORPHA:39041
167	0.07432152330875397	ORPHA:36234	ORPHA:36234
168	0.07433469593524933	ORPHA:98848	ORPHA:98848
169	0.07454631477594376	ORPHA:79394	ORPHA:79394
170	0.07465117424726486	OMIM:148210	OMIM:148210
171	0.07467293739318848	OMIM:131705	OMIM:131705
172	0.07468007504940033	OMIM:109650	OMIM:109650
173	0.07485079765319824	OMIM:256800	OMIM:256800
174	0.07492281496524811	ORPHA:906	ORPHA:906
175	0.07499607652425766	ORPHA:247353	ORPHA:247353
176	0.07500424981117249	ORPHA:464	ORPHA:464
177	0.07506442070007324	OMIM:615688	OMIM:615688
178	0.07508182525634766	ORPHA:38	ORPHA:38
179	0.07516039907932281	ORPHA:90340	ORPHA:90340
180	0.07535851001739502	ORPHA:398189	ORPHA:398189
181	0.07538899034261703	ORPHA:464318	ORPHA:464318
182	0.07543805986642838	ORPHA:758	ORPHA:758
183	0.07553281635046005	OMIM:608710	OMIM:608710
184	0.07555726915597916	ORPHA:47	ORPHA:47
185	0.07565043121576309	ORPHA:793	ORPHA:793
186	0.07566767185926437	OMIM:158310	OMIM:158310
187	0.07566945254802704	ORPHA:542643	ORPHA:542643
188	0.07567441463470459	OMIM:256500	OMIM:256500
189	0.0758398026227951	OMIM:612281	OMIM:612281
190	0.07592476159334183	OMIM:615934	OMIM:615934
191	0.07597005367279053	OMIM:619381	OMIM:619381
192	0.07597192376852036	OMIM:615821	OMIM:615821
