rank	score	disease_name	disease_identifier
1	0.21014082431793213	OMIM:190420	OMIM:190420
2	0.2107541561126709	DECIPHER:62	DECIPHER:62
3	0.21234726905822754	OMIM:613342	OMIM:613342
4	0.21564847230911255	ORPHA:436144	ORPHA:436144
5	0.21866202354431152	ORPHA:293	ORPHA:293
6	0.22106456756591797	OMIM:615414	OMIM:615414
7	0.22313648462295532	ORPHA:85324	ORPHA:85324
8	0.22345930337905884	ORPHA:85320	ORPHA:85320
9	0.22403228282928467	OMIM:609579	OMIM:609579
10	0.22493726015090942	ORPHA:67041	ORPHA:67041
