rank	score	disease_name	disease_identifier
1	0.03345787897706032	ORPHA:93307	ORPHA:93307
2	0.035385627299547195	OMIM:200700	OMIM:200700
3	0.03718920797109604	OMIM:607778	OMIM:607778
4	0.03728188946843147	ORPHA:93323	ORPHA:93323
5	0.03733181208372116	OMIM:226900	OMIM:226900
6	0.03766568377614021	OMIM:609441	OMIM:609441
7	0.037751320749521255	OMIM:127300	OMIM:127300
8	0.03832074627280235	OMIM:108720	OMIM:108720
9	0.03837762027978897	OMIM:184253	OMIM:184253
10	0.03921739012002945	ORPHA:93351	ORPHA:93351
11	0.03934779763221741	ORPHA:2098	ORPHA:2098
12	0.039461202919483185	OMIM:201250	OMIM:201250
13	0.039984866976737976	OMIM:211350	OMIM:211350
14	0.04003159701824188	OMIM:271650	OMIM:271650
15	0.04009412229061127	ORPHA:93314	ORPHA:93314
16	0.04010859876871109	ORPHA:240	ORPHA:240
17	0.040308672934770584	OMIM:300106	OMIM:300106
18	0.040887270122766495	OMIM:619598	OMIM:619598
19	0.04126245155930519	OMIM:177170	OMIM:177170
20	0.04170716553926468	ORPHA:750	ORPHA:750
21	0.04174065589904785	ORPHA:56305	ORPHA:56305
22	0.04176151379942894	OMIM:223800	OMIM:223800
23	0.04203876480460167	OMIM:618019	OMIM:618019
24	0.042175449430942535	OMIM:249700	OMIM:249700
25	0.04264956712722778	ORPHA:2502	ORPHA:2502
26	0.04271650314331055	OMIM:620076	OMIM:620076
27	0.04283272475004196	ORPHA:56304	ORPHA:56304
28	0.04295138642191887	ORPHA:85166	ORPHA:85166
29	0.04295795410871506	ORPHA:79106	ORPHA:79106
30	0.042987216264009476	OMIM:605274	OMIM:605274
31	0.04303659498691559	ORPHA:93388	ORPHA:93388
32	0.0431550033390522	ORPHA:1856	ORPHA:1856
33	0.0431855246424675	ORPHA:85170	ORPHA:85170
34	0.04342350363731384	OMIM:271700	OMIM:271700
35	0.04343800246715546	OMIM:601438	OMIM:601438
36	0.04377668350934982	OMIM:613330	OMIM:613330
37	0.04383624717593193	OMIM:112910	OMIM:112910
38	0.044199876487255096	OMIM:132400	OMIM:132400
39	0.044320449233055115	ORPHA:93322	ORPHA:93322
40	0.04441796615719795	ORPHA:1836	ORPHA:1836
41	0.044665075838565826	ORPHA:457395	ORPHA:457395
42	0.044737305492162704	OMIM:608728	OMIM:608728
43	0.044857222586870193	OMIM:250220	OMIM:250220
44	0.044984448701143265	OMIM:171480	OMIM:171480
45	0.04498672112822533	ORPHA:2632	ORPHA:2632
46	0.04510203376412392	OMIM:613091	OMIM:613091
47	0.045255038887262344	OMIM:251450	OMIM:251450
48	0.04527582228183746	OMIM:271640	OMIM:271640
49	0.04537360370159149	OMIM:602875	OMIM:602875
50	0.04570673033595085	OMIM:609945	OMIM:609945
51	0.0457124337553978	OMIM:618395	OMIM:618395
52	0.04575352743268013	ORPHA:1326	ORPHA:1326
53	0.04595239832997322	OMIM:615222	OMIM:615222
54	0.04597104340791702	OMIM:156500	OMIM:156500
55	0.04597444459795952	ORPHA:3144	ORPHA:3144
56	0.04597725346684456	ORPHA:174	ORPHA:174
57	0.04628709331154823	OMIM:151210	OMIM:151210
58	0.04637191817164421	OMIM:609616	OMIM:609616
59	0.046505577862262726	OMIM:276820	OMIM:276820
60	0.04660649597644806	ORPHA:2249	ORPHA:2249
61	0.04663968086242676	OMIM:224400	OMIM:224400
62	0.046665266156196594	OMIM:143095	OMIM:143095
63	0.046679750084877014	OMIM:184260	OMIM:184260
64	0.04688787832856178	ORPHA:166016	ORPHA:166016
65	0.04692691192030907	OMIM:184252	OMIM:184252
66	0.0470489077270031	ORPHA:2634	ORPHA:2634
67	0.04710160195827484	OMIM:100800	OMIM:100800
