rank	score	disease_name	disease_identifier
1	0.01283371914178133	OMIM:273750	OMIM:273750
2	0.013744865544140339	OMIM:613320	OMIM:613320
3	0.014048092998564243	ORPHA:93357	ORPHA:93357
4	0.014049254357814789	OMIM:615777	OMIM:615777
5	0.014501344412565231	ORPHA:96334	ORPHA:96334
6	0.014635930769145489	OMIM:300232	OMIM:300232
7	0.014743279665708542	OMIM:616723	OMIM:616723
8	0.014999708160758018	OMIM:251450	OMIM:251450
9	0.015222381800413132	OMIM:264090	OMIM:264090
10	0.015410380437970161	OMIM:224690	OMIM:224690
11	0.015705745667219162	ORPHA:370930	ORPHA:370930
12	0.015720650553703308	OMIM:611209	OMIM:611209
13	0.01578322798013687	OMIM:278250	OMIM:278250
14	0.015906285494565964	OMIM:212720	OMIM:212720
15	0.015941038727760315	ORPHA:2616	ORPHA:2616
16	0.01602594554424286	OMIM:210720	OMIM:210720
17	0.016058631241321564	ORPHA:163649	ORPHA:163649
18	0.01634065806865692	OMIM:239850	OMIM:239850
19	0.016353866085410118	OMIM:210730	OMIM:210730
20	0.016379930078983307	OMIM:619127	OMIM:619127
21	0.016402071341872215	ORPHA:263508	ORPHA:263508
22	0.01644965261220932	ORPHA:502	ORPHA:502
23	0.01654098741710186	OMIM:303600	OMIM:303600
24	0.016560396179556847	OMIM:190350	OMIM:190350
25	0.016616426408290863	ORPHA:457395	ORPHA:457395
26	0.01662677340209484	ORPHA:261279	ORPHA:261279
27	0.016635097563266754	OMIM:612921	OMIM:612921
28	0.016724789515137672	OMIM:601812	OMIM:601812
29	0.01672934927046299	ORPHA:261311	ORPHA:261311
30	0.016825644299387932	ORPHA:2962	ORPHA:2962
31	0.01684989593923092	OMIM:114290	OMIM:114290
32	0.01685093156993389	OMIM:102500	OMIM:102500
33	0.016869431361556053	OMIM:619194	OMIM:619194
34	0.01688275672495365	OMIM:617561	OMIM:617561
35	0.016931992024183273	OMIM:611717	OMIM:611717
36	0.016960179433226585	OMIM:614205	OMIM:614205
37	0.016968727111816406	ORPHA:1517	ORPHA:1517
38	0.01696888916194439	OMIM:610442	OMIM:610442
39	0.016996514052152634	OMIM:612289	OMIM:612289
40	0.017050232738256454	OMIM:304120	OMIM:304120
41	0.017170943319797516	OMIM:610759	OMIM:610759
42	0.01718147099018097	OMIM:166250	OMIM:166250
43	0.017271021381020546	ORPHA:439822	ORPHA:439822
44	0.01731625758111477	OMIM:615866	OMIM:615866
45	0.01731780730187893	OMIM:271510	OMIM:271510
46	0.017362333834171295	ORPHA:536471	ORPHA:536471
47	0.017405375838279724	OMIM:130070	OMIM:130070
48	0.017476215958595276	OMIM:613803	OMIM:613803
49	0.01750381477177143	OMIM:600002	OMIM:600002
50	0.017529483884572983	OMIM:613776	OMIM:613776
51	0.01755724661052227	OMIM:139210	OMIM:139210
52	0.017558421939611435	OMIM:245600	OMIM:245600
53	0.01758606731891632	OMIM:618150	OMIM:618150
54	0.017600545659661293	OMIM:616835	OMIM:616835
55	0.017613593488931656	OMIM:269150	OMIM:269150
56	0.017653856426477432	OMIM:258480	OMIM:258480
57	0.017681855708360672	ORPHA:192	ORPHA:192
58	0.0177636556327343	ORPHA:79328	ORPHA:79328
59	0.01778535172343254	OMIM:213980	OMIM:213980
60	0.017789563164114952	ORPHA:480880	ORPHA:480880
61	0.017793728038668633	ORPHA:1425	ORPHA:1425
62	0.017855128273367882	OMIM:231050	OMIM:231050
63	0.017862334847450256	ORPHA:3041	ORPHA:3041
64	0.017885806038975716	OMIM:212066	OMIM:212066
65	0.017903747037053108	OMIM:252500	OMIM:252500
66	0.01792643405497074	ORPHA:2637	ORPHA:2637
67	0.017932424321770668	OMIM:271640	OMIM:271640
68	0.017976906150579453	OMIM:270450	OMIM:270450
69	0.017982598394155502	OMIM:154780	OMIM:154780
70	0.017993643879890442	OMIM:601803	OMIM:601803
71	0.018014349043369293	OMIM:309583	OMIM:309583
72	0.018026934936642647	ORPHA:261290	ORPHA:261290
73	0.018047455698251724	OMIM:617157	OMIM:617157
74	0.01806575432419777	OMIM:309580	OMIM:309580
75	0.018106617033481598	OMIM:605130	OMIM:605130
76	0.01812765747308731	OMIM:617602	OMIM:617602
77	0.018149511888623238	OMIM:300882	OMIM:300882
78	0.018152110278606415	OMIM:619841	OMIM:619841
79	0.018180564045906067	OMIM:613805	OMIM:613805
80	0.018189512193202972	ORPHA:3107	ORPHA:3107
81	0.018224002793431282	OMIM:613792	OMIM:613792
82	0.018238022923469543	OMIM:261540	OMIM:261540
83	0.01824953593313694	ORPHA:2067	ORPHA:2067
84	0.018260784447193146	ORPHA:2636	ORPHA:2636
85	0.018261199817061424	OMIM:607812	OMIM:607812
86	0.01826346106827259	OMIM:249420	OMIM:249420
87	0.018303561955690384	ORPHA:955	ORPHA:955
88	0.018325025215744972	OMIM:617452	OMIM:617452
89	0.018345940858125687	OMIM:135900	OMIM:135900
90	0.018364746123552322	ORPHA:353298	ORPHA:353298
91	0.01839660108089447	OMIM:615582	OMIM:615582
92	0.018420608714222908	OMIM:259050	OMIM:259050
93	0.01842779852449894	OMIM:614813	OMIM:614813
94	0.018431510776281357	OMIM:305400	OMIM:305400
95	0.018464703112840652	OMIM:210600	OMIM:210600
96	0.018492622300982475	OMIM:211750	OMIM:211750
97	0.018517719581723213	OMIM:180849	OMIM:180849
98	0.018529346212744713	OMIM:601559	OMIM:601559
99	0.018564416095614433	OMIM:609625	OMIM:609625
100	0.01856953650712967	ORPHA:2834	ORPHA:2834
101	0.018580716103315353	OMIM:619451	OMIM:619451
102	0.01859115995466709	OMIM:612940	OMIM:612940
103	0.018609020859003067	ORPHA:261349	ORPHA:261349
104	0.018609682098031044	ORPHA:199	ORPHA:199
105	0.018647611141204834	OMIM:601358	OMIM:601358
106	0.018653973937034607	OMIM:268310	OMIM:268310
107	0.018655026331543922	OMIM:616200	OMIM:616200
108	0.018681928515434265	OMIM:244450	OMIM:244450
109	0.018682928755879402	OMIM:617396	OMIM:617396
110	0.01868629828095436	OMIM:613563	OMIM:613563
111	0.01869010366499424	ORPHA:163654	ORPHA:163654
112	0.018693752586841583	OMIM:615485	OMIM:615485
113	0.018728408962488174	OMIM:616897	OMIM:616897
114	0.018732339143753052	OMIM:210710	OMIM:210710
115	0.018755314871668816	OMIM:180700	OMIM:180700
116	0.018760425969958305	ORPHA:808	ORPHA:808
117	0.018763992935419083	ORPHA:1225	ORPHA:1225
118	0.01876620016992092	ORPHA:94065	ORPHA:94065
119	0.01876675710082054	OMIM:255800	OMIM:255800
120	0.018811684101819992	ORPHA:251028	ORPHA:251028
121	0.01885697804391384	ORPHA:3472	ORPHA:3472
