rank	score	disease_name	disease_identifier
1	0.019497040659189224	ORPHA:1970	ORPHA:1970
2	0.01979828253388405	OMIM:618950	OMIM:618950
3	0.01983826421201229	OMIM:619950	OMIM:619950
4	0.019944366067647934	ORPHA:1340	ORPHA:1340
5	0.0200208630412817	ORPHA:96123	ORPHA:96123
6	0.02016551047563553	OMIM:619325	OMIM:619325
7	0.020244715735316277	OMIM:620098	OMIM:620098
8	0.020705463364720345	OMIM:619426	OMIM:619426
9	0.02075074054300785	OMIM:115150	OMIM:115150
10	0.02080114744603634	OMIM:619512	OMIM:619512
11	0.020842552185058594	OMIM:604314	OMIM:604314
12	0.02092030830681324	OMIM:619087	OMIM:619087
13	0.02099020965397358	OMIM:618828	OMIM:618828
14	0.02106260322034359	OMIM:613776	OMIM:613776
15	0.02111179381608963	OMIM:619293	OMIM:619293
16	0.021127518266439438	ORPHA:1185	ORPHA:1185
17	0.021138422191143036	OMIM:613563	OMIM:613563
18	0.021283216774463654	OMIM:617991	OMIM:617991
19	0.0214693546295166	OMIM:619188	OMIM:619188
20	0.021553264930844307	OMIM:613174	OMIM:613174
21	0.02156907133758068	OMIM:213980	OMIM:213980
22	0.02168346755206585	OMIM:619383	OMIM:619383
23	0.021719885990023613	OMIM:613224	OMIM:613224
24	0.021787438541650772	OMIM:619312	OMIM:619312
25	0.02182259038090706	ORPHA:261337	ORPHA:261337
26	0.021834246814250946	OMIM:618737	OMIM:618737
27	0.021836649626493454	OMIM:617190	OMIM:617190
28	0.021843431517481804	OMIM:230740	OMIM:230740
29	0.021846357733011246	OMIM:300960	OMIM:300960
30	0.021918460726737976	OMIM:617360	OMIM:617360
31	0.021925710141658783	OMIM:617506	OMIM:617506
32	0.02198026515543461	OMIM:618929	OMIM:618929
33	0.022097956389188766	ORPHA:397941	ORPHA:397941
34	0.022121720016002655	OMIM:607721	OMIM:607721
35	0.022145584225654602	OMIM:300966	OMIM:300966
36	0.022168219089508057	ORPHA:261112	ORPHA:261112
37	0.022212699055671692	OMIM:605039	OMIM:605039
38	0.022213032469153404	ORPHA:3455	ORPHA:3455
39	0.02223486453294754	OMIM:135500	OMIM:135500
40	0.02226460911333561	OMIM:619841	OMIM:619841
41	0.02228817343711853	ORPHA:247262	ORPHA:247262
42	0.022377030923962593	OMIM:619720	OMIM:619720
43	0.022389410063624382	OMIM:616737	OMIM:616737
44	0.022399071604013443	OMIM:615280	OMIM:615280
45	0.022432003170251846	OMIM:614202	OMIM:614202
46	0.02244069240987301	OMIM:619194	OMIM:619194
47	0.022441528737545013	ORPHA:2995	ORPHA:2995
48	0.02247065305709839	OMIM:618622	OMIM:618622
49	0.022482678294181824	OMIM:605130	OMIM:605130
50	0.022489452734589577	OMIM:611553	OMIM:611553
51	0.022567162290215492	OMIM:620191	OMIM:620191
52	0.02260088548064232	OMIM:249310	OMIM:249310
53	0.02260180190205574	ORPHA:369891	ORPHA:369891
54	0.022667089477181435	ORPHA:363528	ORPHA:363528
55	0.022669753059744835	ORPHA:261349	ORPHA:261349
56	0.022824851796030998	ORPHA:238769	ORPHA:238769
57	0.022846030071377754	ORPHA:352530	ORPHA:352530
58	0.022864898666739464	OMIM:619691	OMIM:619691
59	0.022929657250642776	OMIM:611091	OMIM:611091
60	0.022957341745495796	OMIM:609460	OMIM:609460
61	0.022960258647799492	OMIM:618381	OMIM:618381
62	0.022972021251916885	OMIM:615485	OMIM:615485
63	0.022982722148299217	ORPHA:1252	ORPHA:1252
64	0.023026341572403908	OMIM:264090	OMIM:264090
65	0.02303127385675907	OMIM:617694	OMIM:617694
66	0.023085376247763634	OMIM:620330	OMIM:620330
67	0.023088768124580383	ORPHA:319182	ORPHA:319182
68	0.02312258817255497	OMIM:619503	OMIM:619503
69	0.02314664050936699	OMIM:300895	OMIM:300895
70	0.023152906447649002	OMIM:616734	OMIM:616734
71	0.023164356127381325	OMIM:614080	OMIM:614080
72	0.02317661978304386	OMIM:613458	OMIM:613458
73	0.02324448712170124	OMIM:619124	OMIM:619124
74	0.023251108825206757	OMIM:617061	OMIM:617061
75	0.023259401321411133	OMIM:618590	OMIM:618590
76	0.023275723680853844	ORPHA:75857	ORPHA:75857
77	0.023292409256100655	OMIM:305450	OMIM:305450
78	0.023311585187911987	OMIM:617330	OMIM:617330
79	0.02331249788403511	OMIM:617157	OMIM:617157
80	0.023318391293287277	OMIM:269921	OMIM:269921
81	0.02333645336329937	OMIM:613706	OMIM:613706
82	0.023410269990563393	OMIM:300860	OMIM:300860
83	0.023462513461709023	ORPHA:280633	ORPHA:280633
84	0.023495085537433624	OMIM:609625	OMIM:609625
85	0.023538734763860703	ORPHA:3063	ORPHA:3063
86	0.023552313446998596	ORPHA:85194	ORPHA:85194
87	0.023576313629746437	OMIM:620075	OMIM:620075
88	0.023596635088324547	OMIM:619745	OMIM:619745
89	0.023604493588209152	ORPHA:324313	ORPHA:324313
90	0.023611998185515404	OMIM:619320	OMIM:619320
91	0.023637738078832626	OMIM:617557	OMIM:617557
92	0.023650873452425003	OMIM:619297	OMIM:619297
93	0.023733962327241898	OMIM:148050	OMIM:148050
94	0.023746905848383904	ORPHA:2729	ORPHA:2729
95	0.023748591542243958	OMIM:612474	OMIM:612474
96	0.02376672439277172	ORPHA:261290	ORPHA:261290
97	0.023776451125741005	OMIM:606232	OMIM:606232
98	0.023798422887921333	OMIM:617062	OMIM:617062
99	0.02380428835749626	OMIM:613792	OMIM:613792
100	0.023810425773262978	OMIM:618479	OMIM:618479
101	0.02381349913775921	OMIM:617412	OMIM:617412
102	0.023830635473132133	OMIM:615859	OMIM:615859
103	0.02386760152876377	ORPHA:357001	ORPHA:357001
104	0.023874131962656975	OMIM:618744	OMIM:618744
105	0.023911966010928154	OMIM:615803	OMIM:615803
106	0.023926299065351486	ORPHA:487796	ORPHA:487796
107	0.023952636867761612	OMIM:618332	OMIM:618332
108	0.024029551073908806	ORPHA:477993	ORPHA:477993
109	0.02403380535542965	ORPHA:480907	ORPHA:480907
110	0.024040646851062775	ORPHA:254346	ORPHA:254346
111	0.024040983989834785	OMIM:617804	OMIM:617804
112	0.02405357174575329	ORPHA:459070	ORPHA:459070
113	0.024059340357780457	OMIM:280000	OMIM:280000
114	0.02407071739435196	OMIM:610443	OMIM:610443
115	0.0240726750344038	ORPHA:562528	ORPHA:562528
116	0.024114059284329414	OMIM:619539	OMIM:619539
117	0.024114152416586876	ORPHA:589905	ORPHA:589905
118	0.024129929021000862	ORPHA:1620	ORPHA:1620
119	0.02413172461092472	ORPHA:487825	ORPHA:487825
120	0.02416221983730793	OMIM:620224	OMIM:620224
121	0.02418815903365612	ORPHA:85293	ORPHA:85293
122	0.024230975657701492	ORPHA:3219	ORPHA:3219
123	0.02425198070704937	ORPHA:488632	ORPHA:488632
124	0.02425307407975197	ORPHA:495818	ORPHA:495818
125	0.02426304668188095	OMIM:615668	OMIM:615668
126	0.024265674874186516	OMIM:616268	OMIM:616268
127	0.0242958664894104	OMIM:309583	OMIM:309583
128	0.024301430210471153	ORPHA:261318	ORPHA:261318
129	0.024306809529662132	ORPHA:2429	ORPHA:2429
130	0.02431105263531208	OMIM:613707	OMIM:613707
131	0.024324115365743637	OMIM:619695	OMIM:619695
132	0.024361349642276764	OMIM:243310	OMIM:243310
133	0.024361640214920044	OMIM:616801	OMIM:616801
134	0.0243674386292696	OMIM:615834	OMIM:615834
135	0.024368952959775925	OMIM:613406	OMIM:613406
136	0.024374764412641525	OMIM:223370	OMIM:223370
137	0.02438211627304554	ORPHA:411986	ORPHA:411986
138	0.02439143694937229	OMIM:618268	OMIM:618268
139	0.02439679205417633	OMIM:620001	OMIM:620001
140	0.024411901831626892	ORPHA:481152	ORPHA:481152
141	0.02441272884607315	OMIM:259050	OMIM:259050
142	0.024424871429800987	OMIM:620250	OMIM:620250
143	0.02442646585404873	ORPHA:495875	ORPHA:495875
144	0.024434706196188927	ORPHA:444077	ORPHA:444077
145	0.024443356320261955	ORPHA:1895	ORPHA:1895
146	0.024465804919600487	OMIM:244450	OMIM:244450
147	0.024526165798306465	OMIM:616728	OMIM:616728
148	0.024528326466679573	OMIM:618792	OMIM:618792
149	0.02452850714325905	OMIM:611431	OMIM:611431
150	0.024547047913074493	ORPHA:96169	ORPHA:96169
151	0.024552520364522934	ORPHA:66629	ORPHA:66629
152	0.024567363783717155	OMIM:180849	OMIM:180849
153	0.02458198368549347	ORPHA:3132	ORPHA:3132
154	0.024599619209766388	ORPHA:363611	ORPHA:363611
155	0.024609707295894623	OMIM:618653	OMIM:618653
