rank	score	disease_name	disease_identifier
1	0.03310667350888252	ORPHA:552	ORPHA:552
2	0.04322432354092598	ORPHA:69076	ORPHA:69076
3	0.044387415051460266	OMIM:609812	OMIM:609812
4	0.04649113863706589	ORPHA:2298	ORPHA:2298
5	0.04944191873073578	OMIM:616329	OMIM:616329
6	0.05120769515633583	OMIM:606176	OMIM:606176
7	0.051288902759552	ORPHA:2088	ORPHA:2088
8	0.054116141051054	OMIM:604367	OMIM:604367
9	0.05418626591563225	OMIM:137920	OMIM:137920
10	0.05424947291612625	OMIM:222100	OMIM:222100
11	0.05439826473593712	OMIM:617253	OMIM:617253
12	0.05667208507657051	OMIM:618858	OMIM:618858
13	0.05738795921206474	OMIM:227810	OMIM:227810
14	0.05743084102869034	ORPHA:79644	ORPHA:79644
15	0.05809861049056053	OMIM:232200	OMIM:232200
16	0.05899859219789505	ORPHA:276580	ORPHA:276580
17	0.059048499912023544	ORPHA:293964	ORPHA:293964
18	0.05976232886314392	OMIM:613370	OMIM:613370
19	0.059874825179576874	OMIM:610582	OMIM:610582
20	0.059958383440971375	ORPHA:276575	ORPHA:276575
21	0.06030084192752838	ORPHA:79086	ORPHA:79086
22	0.060695670545101166	OMIM:610021	OMIM:610021
23	0.060880258679389954	ORPHA:324575	ORPHA:324575
24	0.061456188559532166	OMIM:276700	OMIM:276700
25	0.06173138692975044	OMIM:613095	OMIM:613095
26	0.061831939965486526	OMIM:616026	OMIM:616026
27	0.06202908977866173	OMIM:232240	OMIM:232240
28	0.06203324347734451	OMIM:232220	OMIM:232220
29	0.062073200941085815	ORPHA:99886	ORPHA:99886
30	0.06223446503281593	OMIM:608709	OMIM:608709
31	0.06225736066699028	ORPHA:275555	ORPHA:275555
32	0.06245574727654457	ORPHA:411593	ORPHA:411593
33	0.06249735876917839	OMIM:262190	OMIM:262190
34	0.06279607117176056	ORPHA:263455	ORPHA:263455
35	0.06303107738494873	OMIM:240600	OMIM:240600
36	0.06323197484016418	ORPHA:79084	ORPHA:79084
37	0.06335397064685822	OMIM:618913	OMIM:618913
38	0.06384880095720291	ORPHA:90301	ORPHA:90301
39	0.06410309672355652	ORPHA:470	ORPHA:470
40	0.06434644758701324	OMIM:269700	OMIM:269700
41	0.06436552852392197	ORPHA:71212	ORPHA:71212
42	0.06443064659833908	OMIM:601820	OMIM:601820
43	0.06466293334960938	ORPHA:79259	ORPHA:79259
44	0.06481308490037918	OMIM:232700	OMIM:232700
45	0.06488974392414093	OMIM:600496	OMIM:600496
46	0.06544739007949829	OMIM:231680	OMIM:231680
47	0.06570445746183395	OMIM:615238	OMIM:615238
48	0.06571236252784729	OMIM:219800	OMIM:219800
49	0.06586437672376633	OMIM:613027	OMIM:613027
50	0.06620926409959793	OMIM:613845	OMIM:613845
51	0.06622136384248734	OMIM:615363	OMIM:615363
52	0.06625566631555557	OMIM:608594	OMIM:608594
53	0.06640313565731049	OMIM:613677	OMIM:613677
54	0.06706897914409637	ORPHA:264580	ORPHA:264580
55	0.0670752078294754	ORPHA:361	ORPHA:361
56	0.06729286909103394	ORPHA:676	ORPHA:676
57	0.06737718731164932	OMIM:609968	OMIM:609968
58	0.06742692738771439	OMIM:617156	OMIM:617156
59	0.06746891885995865	OMIM:617872	OMIM:617872
60	0.0679309293627739	OMIM:619355	OMIM:619355
61	0.06805209070444107	ORPHA:358	ORPHA:358
62	0.06806396692991257	ORPHA:699	ORPHA:699
63	0.06808913499116898	OMIM:607364	OMIM:607364
64	0.06824902445077896	OMIM:240900	OMIM:240900
65	0.06842383742332458	ORPHA:79240	ORPHA:79240
66	0.06843221932649612	OMIM:241200	OMIM:241200
67	0.06844817847013474	ORPHA:79083	ORPHA:79083
68	0.06854423880577087	ORPHA:276556	ORPHA:276556
69	0.06894219666719437	OMIM:557000	OMIM:557000
70	0.0692172646522522	OMIM:603278	OMIM:603278
71	0.06927361339330673	ORPHA:411634	ORPHA:411634
72	0.06933314353227615	OMIM:230400	OMIM:230400
73	0.0693710446357727	ORPHA:85138	ORPHA:85138
74	0.06939227133989334	ORPHA:93111	ORPHA:93111
75	0.06941664218902588	OMIM:615812	OMIM:615812
76	0.06949421763420105	ORPHA:369	ORPHA:369
77	0.0695185512304306	ORPHA:411629	ORPHA:411629
78	0.0695672556757927	OMIM:608836	OMIM:608836
79	0.06959114968776703	OMIM:306000	OMIM:306000
80	0.06959246098995209	OMIM:601678	OMIM:601678
81	0.06971292942762375	ORPHA:769	ORPHA:769
82	0.06989459693431854	ORPHA:94086	ORPHA:94086
83	0.0699266642332077	OMIM:612526	OMIM:612526
84	0.07004150748252869	ORPHA:528	ORPHA:528
85	0.07006267458200455	ORPHA:730	ORPHA:730
86	0.07010044157505035	ORPHA:90041	ORPHA:90041
87	0.07015491276979446	OMIM:263200	OMIM:263200
88	0.07017245143651962	OMIM:615954	OMIM:615954
89	0.07023946940898895	ORPHA:275761	ORPHA:275761
90	0.07028982788324356	OMIM:277900	OMIM:277900
