rank	score	disease_name	disease_identifier
1	0.12712037563323975	OMIM:614832	OMIM:614832
2	0.12725526094436646	OMIM:616221	OMIM:616221
3	0.12739825248718262	ORPHA:3196	ORPHA:3196
4	0.12937599420547485	OMIM:616270	OMIM:616270
5	0.13095659017562866	ORPHA:88661	ORPHA:88661
6	0.13185274600982666	OMIM:104530	OMIM:104530
7	0.13373178243637085	OMIM:620104	OMIM:620104
8	0.13839280605316162	OMIM:301200	OMIM:301200
9	0.13863712549209595	OMIM:104510	OMIM:104510
10	0.13923591375350952	ORPHA:2287	ORPHA:2287
