rank	score	disease_name	disease_identifier
1	0.21443915367126465	OMIM:613949	OMIM:613949
2	0.21577268838882446	ORPHA:48372	ORPHA:48372
3	0.21708804368972778	ORPHA:79478	ORPHA:79478
4	0.21762715230289698	ORPHA:319600	ORPHA:319600
5	0.2185385823249817	OMIM:203340	OMIM:203340
6	0.21895456314086914	ORPHA:46532	ORPHA:46532
7	0.21954846382141113	OMIM:139630	OMIM:139630
8	0.21991801261901855	ORPHA:231393	ORPHA:231393
9	0.22011274099349976	ORPHA:60	ORPHA:60
10	0.22053897380828857	ORPHA:231242	ORPHA:231242
