rank	score	disease_name	disease_identifier
1	0.026180338114500046	ORPHA:101108	ORPHA:101108
2	0.02871367521584034	ORPHA:211017	ORPHA:211017
3	0.029405800625681877	OMIM:616053	OMIM:616053
4	0.030111998319625854	ORPHA:423275	ORPHA:423275
5	0.031208273023366928	ORPHA:276193	ORPHA:276193
6	0.032124198973178864	OMIM:616907	OMIM:616907
7	0.03247329592704773	OMIM:616948	OMIM:616948
8	0.03343556821346283	ORPHA:314603	ORPHA:314603
9	0.033835481852293015	OMIM:616291	OMIM:616291
10	0.03460909053683281	OMIM:617633	OMIM:617633
11	0.03465268388390541	ORPHA:1175	ORPHA:1175
12	0.03511835262179375	ORPHA:488594	ORPHA:488594
13	0.03607729822397232	ORPHA:284332	ORPHA:284332
14	0.03612606227397919	OMIM:617018	OMIM:617018
15	0.03620715066790581	OMIM:617691	OMIM:617691
16	0.03629034012556076	ORPHA:504476	ORPHA:504476
17	0.036481283605098724	OMIM:600224	OMIM:600224
18	0.03667726740241051	OMIM:607259	OMIM:607259
19	0.03697412088513374	OMIM:604391	OMIM:604391
20	0.03759422153234482	OMIM:613908	OMIM:613908
21	0.03767857328057289	ORPHA:98772	ORPHA:98772
22	0.037726543843746185	ORPHA:95	ORPHA:95
23	0.03780258446931839	OMIM:610743	OMIM:610743
24	0.03786677122116089	OMIM:617770	OMIM:617770
25	0.03798059746623039	OMIM:183090	OMIM:183090
26	0.03803740814328194	ORPHA:98763	ORPHA:98763
27	0.0381573922932148	ORPHA:101	ORPHA:101
28	0.03824780508875847	ORPHA:94122	ORPHA:94122
29	0.038287993520498276	OMIM:613672	OMIM:613672
30	0.03851965069770813	OMIM:617145	OMIM:617145
31	0.03858080133795738	OMIM:614487	OMIM:614487
32	0.03870442509651184	OMIM:117360	OMIM:117360
33	0.03873063623905182	OMIM:609195	OMIM:609195
34	0.03901055455207825	ORPHA:251282	ORPHA:251282
35	0.03905948996543884	ORPHA:284324	ORPHA:284324
36	0.03910953551530838	OMIM:618418	OMIM:618418
37	0.03916507586836815	OMIM:205100	OMIM:205100
38	0.039203137159347534	ORPHA:313772	ORPHA:313772
39	0.03921213373541832	OMIM:610245	OMIM:610245
40	0.03934745490550995	OMIM:616127	OMIM:616127
41	0.03935321420431137	OMIM:613206	OMIM:613206
42	0.03944062814116478	ORPHA:100986	ORPHA:100986
43	0.0395200178027153	ORPHA:397946	ORPHA:397946
44	0.03957844153046608	ORPHA:453521	ORPHA:453521
45	0.03969510272145271	ORPHA:352403	ORPHA:352403
46	0.0397784449160099	ORPHA:284282	ORPHA:284282
47	0.039995770901441574	OMIM:609270	OMIM:609270
48	0.04001249372959137	OMIM:615768	OMIM:615768
49	0.04005566984415054	ORPHA:95434	ORPHA:95434
50	0.04022837430238724	ORPHA:497764	ORPHA:497764
51	0.04024980217218399	OMIM:605259	OMIM:605259
52	0.04037163779139519	OMIM:610357	OMIM:610357
53	0.04050691798329353	ORPHA:98760	ORPHA:98760
54	0.04056193679571152	OMIM:618387	OMIM:618387
55	0.0405699722468853	OMIM:609306	OMIM:609306
56	0.040573976933956146	OMIM:133190	OMIM:133190
57	0.040591515600681305	OMIM:616204	OMIM:616204
58	0.04064781963825226	ORPHA:98764	ORPHA:98764
59	0.040649063885211945	OMIM:613728	OMIM:613728
60	0.04085429757833481	OMIM:615957	OMIM:615957
61	0.04087471216917038	ORPHA:352641	ORPHA:352641
62	0.040935974568128586	OMIM:213200	OMIM:213200
63	0.040981460362672806	OMIM:611302	OMIM:611302
64	0.04121725633740425	ORPHA:101109	ORPHA:101109
65	0.04125933721661568	OMIM:619352	OMIM:619352
66	0.04127034544944763	OMIM:270550	OMIM:270550
67	0.04142352566123009	OMIM:610246	OMIM:610246
68	0.04147512465715408	OMIM:616140	OMIM:616140
69	0.04149835184216499	ORPHA:300605	ORPHA:300605
70	0.0416545607149601	OMIM:619653	OMIM:619653
71	0.0421018972992897	OMIM:607458	OMIM:607458
72	0.04211505129933357	OMIM:608029	OMIM:608029
73	0.042217738926410675	OMIM:604432	OMIM:604432
74	0.04244740679860115	OMIM:117210	OMIM:117210
75	0.04253875091671944	OMIM:128230	OMIM:128230
76	0.04263627529144287	ORPHA:101112	ORPHA:101112
77	0.04264136031270027	OMIM:615386	OMIM:615386
78	0.042837172746658325	ORPHA:401785	ORPHA:401785
79	0.042893555015325546	OMIM:617916	OMIM:617916
80	0.04289555177092552	OMIM:614153	OMIM:614153
81	0.0429219976067543	ORPHA:210128	ORPHA:210128
82	0.04294395074248314	OMIM:606658	OMIM:606658
83	0.042955074459314346	ORPHA:314978	ORPHA:314978
84	0.0431404635310173	ORPHA:101010	ORPHA:101010
85	0.04320603609085083	ORPHA:247815	ORPHA:247815
86	0.04321964830160141	ORPHA:3115	ORPHA:3115
87	0.043224114924669266	OMIM:611390	OMIM:611390
88	0.04331861063838005	ORPHA:225154	ORPHA:225154
89	0.04332154244184494	ORPHA:276198	ORPHA:276198
90	0.0433732233941555	OMIM:224050	OMIM:224050
91	0.043516822159290314	OMIM:601238	OMIM:601238
92	0.043550387024879456	OMIM:616680	OMIM:616680
93	0.04361799359321594	OMIM:606002	OMIM:606002
94	0.04365355893969536	OMIM:612319	OMIM:612319
95	0.04368698596954346	OMIM:619806	OMIM:619806
96	0.04406869783997536	ORPHA:98771	ORPHA:98771
97	0.04413757473230362	OMIM:312920	OMIM:312920
98	0.04422355815768242	ORPHA:88644	ORPHA:88644
99	0.04426074028015137	ORPHA:438114	ORPHA:438114
100	0.04426375776529312	OMIM:614409	OMIM:614409
101	0.044263891875743866	ORPHA:139480	ORPHA:139480
102	0.04427803307771683	ORPHA:98	ORPHA:98
103	0.04469205066561699	OMIM:248900	OMIM:248900
104	0.04470834136009216	OMIM:603516	OMIM:603516
105	0.04489000514149666	OMIM:614229	OMIM:614229
106	0.044901348650455475	OMIM:275900	OMIM:275900
107	0.04491870477795601	OMIM:607317	OMIM:607317
108	0.044952936470508575	ORPHA:284289	ORPHA:284289
109	0.04503970593214035	OMIM:164400	OMIM:164400
110	0.04511255770921707	ORPHA:423296	ORPHA:423296
111	0.045338403433561325	OMIM:614877	OMIM:614877
112	0.045346230268478394	ORPHA:284271	ORPHA:284271
113	0.04535242170095444	OMIM:617560	OMIM:617560
114	0.04542151838541031	OMIM:617769	OMIM:617769
115	0.0455172024667263	OMIM:270800	OMIM:270800
116	0.045595210045576096	OMIM:208920	OMIM:208920
117	0.045639362186193466	OMIM:610217	OMIM:610217
118	0.045712340623140335	OMIM:614322	OMIM:614322
119	0.04573867470026016	OMIM:604326	OMIM:604326
120	0.0457458570599556	ORPHA:254343	ORPHA:254343
121	0.045750074088573456	ORPHA:251347	ORPHA:251347
122	0.045824576169252396	ORPHA:137898	ORPHA:137898
123	0.04588675871491432	OMIM:609161	OMIM:609161
124	0.04599667713046074	OMIM:620174	OMIM:620174
125	0.04600276052951813	ORPHA:459033	ORPHA:459033
126	0.046021971851587296	ORPHA:171629	ORPHA:171629
127	0.04612172767519951	OMIM:619686	OMIM:619686
128	0.04613481089472771	OMIM:233400	OMIM:233400
129	0.04619976878166199	OMIM:619862	OMIM:619862
130	0.04622289538383484	OMIM:301310	OMIM:301310
131	0.046231966465711594	OMIM:614458	OMIM:614458
132	0.04630109295248985	OMIM:610185	OMIM:610185
133	0.0463351272046566	OMIM:618877	OMIM:618877
134	0.04637554660439491	ORPHA:98761	ORPHA:98761
135	0.04643770679831505	OMIM:615681	OMIM:615681
136	0.04653329774737358	OMIM:620106	OMIM:620106
137	0.04655078798532486	ORPHA:363429	ORPHA:363429
138	0.04656783491373062	OMIM:620221	OMIM:620221
139	0.04658392071723938	ORPHA:1170	ORPHA:1170
140	0.04659317061305046	ORPHA:363710	ORPHA:363710
141	0.046662572771310806	OMIM:607346	OMIM:607346
142	0.04668150097131729	OMIM:608687	OMIM:608687
143	0.04672054201364517	ORPHA:247234	ORPHA:247234
144	0.04678143933415413	OMIM:186700	OMIM:186700
145	0.046785544604063034	OMIM:260300	OMIM:260300
146	0.04680560901761055	OMIM:607454	OMIM:607454
147	0.04686467722058296	ORPHA:100984	ORPHA:100984
148	0.04691082611680031	ORPHA:98773	ORPHA:98773
149	0.04697374626994133	OMIM:601162	OMIM:601162
150	0.04698377847671509	OMIM:617133	OMIM:617133
151	0.04710221290588379	OMIM:619966	OMIM:619966
152	0.04717753082513809	ORPHA:101110	ORPHA:101110
153	0.04729142412543297	OMIM:615625	OMIM:615625
154	0.04730711877346039	OMIM:210000	OMIM:210000
155	0.04732823744416237	ORPHA:512260	ORPHA:512260
156	0.04749717190861702	OMIM:615217	OMIM:615217
157	0.04750737175345421	OMIM:615157	OMIM:615157
158	0.047522127628326416	ORPHA:93952	ORPHA:93952
159	0.04776474088430405	OMIM:614831	OMIM:614831
160	0.04788420721888542	OMIM:617225	OMIM:617225
161	0.04792304337024689	ORPHA:447757	ORPHA:447757
162	0.04795829579234123	ORPHA:404499	ORPHA:404499
163	0.04795883223414421	OMIM:109150	OMIM:109150
164	0.04808920621871948	OMIM:608804	OMIM:608804
165	0.04809426888823509	ORPHA:352649	ORPHA:352649
166	0.04815204441547394	ORPHA:324262	ORPHA:324262
167	0.04822976887226105	ORPHA:320406	ORPHA:320406
168	0.04829223453998566	ORPHA:2589	ORPHA:2589
169	0.04830430448055267	ORPHA:466794	ORPHA:466794
170	0.048329662531614304	ORPHA:459056	ORPHA:459056
171	0.04839484393596649	OMIM:616055	OMIM:616055
172	0.04846387356519699	OMIM:302800	OMIM:302800
173	0.04847102612257004	OMIM:605361	OMIM:605361
174	0.048476628959178925	OMIM:601338	OMIM:601338
175	0.04855063557624817	OMIM:618824	OMIM:618824
176	0.04856948181986809	OMIM:276880	OMIM:276880
