rank	score	disease_name	disease_identifier
1	0.037645239382982254	OMIM:612924	OMIM:612924
2	0.038098160177469254	OMIM:612926	OMIM:612926
3	0.03810863569378853	OMIM:123550	OMIM:123550
4	0.038872130215168	OMIM:612923	OMIM:612923
5	0.038907960057258606	ORPHA:3467	ORPHA:3467
6	0.03926854953169823	OMIM:614034	OMIM:614034
7	0.039594076573848724	OMIM:274150	OMIM:274150
8	0.040074706077575684	ORPHA:93598	ORPHA:93598
9	0.04009723663330078	ORPHA:91547	ORPHA:91547
10	0.04013346508145332	OMIM:232240	OMIM:232240
11	0.0406823568046093	OMIM:612922	OMIM:612922
12	0.041829902678728104	ORPHA:470	ORPHA:470
13	0.04186713695526123	ORPHA:447	ORPHA:447
14	0.04289162904024124	ORPHA:232	ORPHA:232
15	0.043668605387210846	ORPHA:488	ORPHA:488
16	0.04396434873342514	ORPHA:214	ORPHA:214
17	0.0441313199698925	OMIM:614723	OMIM:614723
18	0.04454914107918739	ORPHA:411634	ORPHA:411634
19	0.04458268731832504	OMIM:220150	OMIM:220150
20	0.044821079820394516	OMIM:248250	OMIM:248250
21	0.04487945884466171	ORPHA:3202	ORPHA:3202
22	0.04508543387055397	OMIM:614817	OMIM:614817
23	0.04510793462395668	OMIM:308990	OMIM:308990
24	0.0452350378036499	ORPHA:730	ORPHA:730
25	0.04535996913909912	OMIM:232220	OMIM:232220
26	0.04556793347001076	ORPHA:449395	ORPHA:449395
27	0.04584994539618492	ORPHA:94088	ORPHA:94088
28	0.04631181061267853	OMIM:603903	OMIM:603903
29	0.04634089022874832	ORPHA:1652	ORPHA:1652
30	0.046426113694906235	ORPHA:79259	ORPHA:79259
31	0.046519696712493896	ORPHA:329918	ORPHA:329918
32	0.04670393466949463	OMIM:612925	OMIM:612925
33	0.0467132143676281	ORPHA:90038	ORPHA:90038
34	0.0470176599919796	OMIM:613845	OMIM:613845
35	0.04709484800696373	OMIM:137920	OMIM:137920
36	0.04723343625664711	OMIM:266200	OMIM:266200
37	0.047243911772966385	OMIM:618892	OMIM:618892
38	0.04745172709226608	OMIM:616026	OMIM:616026
39	0.04745734855532646	ORPHA:567548	ORPHA:567548
40	0.04747729375958443	OMIM:161950	OMIM:161950
41	0.04753149673342705	OMIM:613496	OMIM:613496
42	0.04763137176632881	OMIM:194380	OMIM:194380
43	0.04765934869647026	OMIM:235400	OMIM:235400
44	0.0478380061686039	ORPHA:47159	ORPHA:47159
45	0.047959208488464355	ORPHA:182050	ORPHA:182050
46	0.048101961612701416	ORPHA:79277	ORPHA:79277
47	0.04820813238620758	OMIM:314000	OMIM:314000
48	0.04823498800396919	ORPHA:93126	ORPHA:93126
49	0.04826876148581505	OMIM:613673	OMIM:613673
50	0.04854081943631172	OMIM:104200	OMIM:104200
51	0.04866871237754822	OMIM:232200	OMIM:232200
52	0.04872499406337738	OMIM:185000	OMIM:185000
53	0.04887327924370766	ORPHA:90060	ORPHA:90060
54	0.0489690825343132	ORPHA:93600	ORPHA:93600
