rank	score	disease_name	disease_identifier
1	0.010386715643107891	OMIM:617452	OMIM:617452
2	0.010676450096070766	ORPHA:457359	ORPHA:457359
3	0.010899120941758156	OMIM:611209	OMIM:611209
4	0.010959198698401451	OMIM:612513	OMIM:612513
5	0.011065729893743992	ORPHA:505237	ORPHA:505237
6	0.011375338770449162	OMIM:618443	OMIM:618443
7	0.01147623173892498	OMIM:617011	OMIM:617011
8	0.011477629654109478	OMIM:300749	OMIM:300749
9	0.011486097238957882	ORPHA:2510	ORPHA:2510
10	0.011619392782449722	OMIM:619833	OMIM:619833
11	0.011655502952635288	OMIM:620155	OMIM:620155
12	0.011656561866402626	OMIM:300966	OMIM:300966
13	0.011714162304997444	OMIM:617140	OMIM:617140
14	0.011975004337728024	ORPHA:263508	ORPHA:263508
15	0.012073766440153122	ORPHA:261349	ORPHA:261349
16	0.012356570921838284	ORPHA:247262	ORPHA:247262
17	0.012362883426249027	OMIM:618590	OMIM:618590
18	0.012374836020171642	OMIM:602535	OMIM:602535
19	0.012378238141536713	ORPHA:2115	ORPHA:2115
20	0.012420033104717731	ORPHA:1272	ORPHA:1272
21	0.012446356005966663	OMIM:117550	OMIM:117550
22	0.012469676323235035	OMIM:613406	OMIM:613406
23	0.012552967295050621	ORPHA:444072	ORPHA:444072
24	0.012566573917865753	ORPHA:251028	ORPHA:251028
25	0.01257718913257122	ORPHA:281	ORPHA:281
26	0.01260408852249384	OMIM:600118	OMIM:600118
27	0.012639569118618965	OMIM:216550	OMIM:216550
28	0.012646849267184734	ORPHA:391408	ORPHA:391408
29	0.012684048153460026	OMIM:213980	OMIM:213980
30	0.012785927392542362	OMIM:618371	OMIM:618371
31	0.012818632647395134	OMIM:244450	OMIM:244450
32	0.012898128479719162	ORPHA:2083	ORPHA:2083
33	0.012930512428283691	OMIM:309590	OMIM:309590
34	0.01293557696044445	OMIM:249310	OMIM:249310
35	0.01293835137039423	OMIM:619512	OMIM:619512
36	0.012938614003360271	ORPHA:94063	ORPHA:94063
37	0.012946628034114838	OMIM:300968	OMIM:300968
38	0.012963368557393551	OMIM:617157	OMIM:617157
39	0.013033335097134113	OMIM:617561	OMIM:617561
40	0.013124856166541576	OMIM:212720	OMIM:212720
41	0.013144593685865402	OMIM:309583	OMIM:309583
42	0.013155057094991207	OMIM:156200	OMIM:156200
43	0.013170364312827587	ORPHA:96121	ORPHA:96121
44	0.013178735040128231	OMIM:619185	OMIM:619185
45	0.013223022222518921	OMIM:615803	OMIM:615803
46	0.013233702629804611	OMIM:251300	OMIM:251300
47	0.013256966136395931	OMIM:139210	OMIM:139210
48	0.013268399983644485	OMIM:309500	OMIM:309500
49	0.01333924476057291	OMIM:614225	OMIM:614225
50	0.013412633910775185	ORPHA:562528	ORPHA:562528
51	0.013435013592243195	ORPHA:261290	ORPHA:261290
52	0.013442747294902802	OMIM:614222	OMIM:614222
53	0.013475514017045498	OMIM:619325	OMIM:619325
54	0.013495062477886677	ORPHA:3063	ORPHA:3063
55	0.013572420924901962	ORPHA:199	ORPHA:199
56	0.01357575599104166	ORPHA:464288	ORPHA:464288
57	0.013600954785943031	OMIM:616294	OMIM:616294
58	0.013622152619063854	ORPHA:363528	ORPHA:363528
59	0.013663291931152344	OMIM:615485	OMIM:615485
60	0.013673573732376099	ORPHA:3379	ORPHA:3379
61	0.013681117445230484	ORPHA:89844	ORPHA:89844
62	0.013686216436326504	ORPHA:2323	ORPHA:2323
63	0.013693476095795631	OMIM:300590	OMIM:300590
64	0.013735371641814709	OMIM:234100	OMIM:234100
65	0.013744174502789974	ORPHA:480880	ORPHA:480880
66	0.013746812008321285	ORPHA:238750	ORPHA:238750
67	0.013757657259702682	ORPHA:251056	ORPHA:251056
68	0.013789921998977661	OMIM:300882	OMIM:300882
69	0.013797400519251823	ORPHA:192	ORPHA:192
70	0.013799769803881645	OMIM:617260	OMIM:617260
71	0.013810930773615837	OMIM:613776	OMIM:613776
72	0.013823872432112694	OMIM:259775	OMIM:259775
73	0.01382884755730629	OMIM:617694	OMIM:617694
74	0.01383388414978981	OMIM:614608	OMIM:614608
75	0.013859298080205917	OMIM:616817	OMIM:616817
76	0.013872119598090649	ORPHA:96092	ORPHA:96092
77	0.013878881931304932	ORPHA:420179	ORPHA:420179
78	0.013892349787056446	ORPHA:808	ORPHA:808
79	0.013899466022849083	OMIM:210730	OMIM:210730
80	0.01390006486326456	ORPHA:96061	ORPHA:96061
81	0.013905536383390427	ORPHA:261250	ORPHA:261250
82	0.013934207148849964	OMIM:616202	OMIM:616202
83	0.013942345976829529	OMIM:259050	OMIM:259050
84	0.013943052850663662	OMIM:620194	OMIM:620194
85	0.013953428715467453	OMIM:617982	OMIM:617982
86	0.013955075293779373	OMIM:619297	OMIM:619297
87	0.01395970955491066	ORPHA:3242	ORPHA:3242
88	0.01397383026778698	OMIM:620224	OMIM:620224
89	0.013977520167827606	OMIM:616051	OMIM:616051
90	0.013993954285979271	ORPHA:502434	ORPHA:502434
91	0.014017571695148945	OMIM:620113	OMIM:620113
92	0.014026666060090065	OMIM:270450	OMIM:270450
93	0.0140337273478508	OMIM:619005	OMIM:619005
94	0.01403954066336155	OMIM:617164	OMIM:617164
95	0.014072802849113941	OMIM:608027	OMIM:608027
96	0.014074386097490788	OMIM:257300	OMIM:257300
97	0.014087258838117123	ORPHA:46059	ORPHA:46059
98	0.01409266795963049	OMIM:614114	OMIM:614114
99	0.014101109467446804	OMIM:619841	OMIM:619841
100	0.014106211252510548	OMIM:264090	OMIM:264090
101	0.014106430113315582	ORPHA:401973	ORPHA:401973
102	0.014109103940427303	OMIM:241410	OMIM:241410
103	0.01411866582930088	ORPHA:94065	ORPHA:94065
104	0.01413231436163187	OMIM:616975	OMIM:616975
105	0.014138458296656609	OMIM:618454	OMIM:618454
106	0.014143972657620907	ORPHA:96148	ORPHA:96148
107	0.014147910289466381	OMIM:619648	OMIM:619648
108	0.014156542718410492	ORPHA:1495	ORPHA:1495
109	0.01415935903787613	ORPHA:2563	ORPHA:2563
110	0.014167645946145058	ORPHA:96149	ORPHA:96149
111	0.014177587814629078	OMIM:248700	OMIM:248700
112	0.014180767349898815	ORPHA:75857	ORPHA:75857
113	0.014201848767697811	OMIM:261540	OMIM:261540
114	0.014202998951077461	OMIM:601353	OMIM:601353
115	0.014212961308658123	OMIM:619194	OMIM:619194
116	0.014215170405805111	OMIM:300868	OMIM:300868
117	0.014218326658010483	OMIM:609625	OMIM:609625
118	0.014230339787900448	ORPHA:284180	ORPHA:284180
119	0.014239436015486717	ORPHA:3380	ORPHA:3380
120	0.01428324356675148	OMIM:214100	OMIM:214100
121	0.014290999621152878	ORPHA:77301	ORPHA:77301
122	0.014301992952823639	OMIM:616801	OMIM:616801
123	0.014322037808597088	OMIM:610443	OMIM:610443
124	0.01433478482067585	ORPHA:480907	ORPHA:480907
125	0.014400643296539783	ORPHA:3255	ORPHA:3255
126	0.014411598443984985	OMIM:619383	OMIM:619383
127	0.014416167512536049	OMIM:618672	OMIM:618672
128	0.014434716664254665	OMIM:266920	OMIM:266920
129	0.014440744183957577	OMIM:608776	OMIM:608776
130	0.01446258369833231	OMIM:619179	OMIM:619179
131	0.014467303641140461	OMIM:620157	OMIM:620157
132	0.014468234963715076	OMIM:617729	OMIM:617729
133	0.014484413899481297	OMIM:617190	OMIM:617190
134	0.014485334977507591	ORPHA:2479	ORPHA:2479
135	0.014486080966889858	ORPHA:500150	ORPHA:500150
136	0.014492887072265148	ORPHA:171929	ORPHA:171929
137	0.014510994777083397	ORPHA:3455	ORPHA:3455
138	0.014524147845804691	ORPHA:464306	ORPHA:464306
139	0.014543679542839527	ORPHA:166035	ORPHA:166035
140	0.014549114741384983	ORPHA:1600	ORPHA:1600
141	0.014551817439496517	OMIM:243310	OMIM:243310
142	0.014562476426362991	OMIM:618659	OMIM:618659
143	0.014572294428944588	ORPHA:35107	ORPHA:35107
144	0.014599345624446869	ORPHA:2637	ORPHA:2637
145	0.014643884263932705	OMIM:616914	OMIM:616914
146	0.014652486890554428	ORPHA:457279	ORPHA:457279
147	0.014655116945505142	OMIM:615834	OMIM:615834
148	0.014656155370175838	OMIM:303600	OMIM:303600
149	0.01465772558003664	OMIM:619775	OMIM:619775
150	0.01466468907892704	OMIM:301900	OMIM:301900
151	0.01469072699546814	OMIM:616222	OMIM:616222
152	0.014697622507810593	ORPHA:506358	ORPHA:506358
153	0.014709463343024254	OMIM:613457	OMIM:613457
154	0.014710884541273117	OMIM:616364	OMIM:616364
155	0.014724262990057468	OMIM:605039	OMIM:605039
156	0.014724785462021828	OMIM:613603	OMIM:613603
157	0.014735895209014416	OMIM:212066	OMIM:212066
158	0.014759419485926628	ORPHA:2714	ORPHA:2714
159	0.014760550111532211	OMIM:210600	OMIM:210600
160	0.014800358563661575	OMIM:210710	OMIM:210710
161	0.01484446320682764	OMIM:151050	OMIM:151050
162	0.014853033237159252	ORPHA:66629	ORPHA:66629
163	0.014854012988507748	ORPHA:251038	ORPHA:251038
164	0.014865865930914879	ORPHA:1742	ORPHA:1742
165	0.01486886478960514	ORPHA:495818	ORPHA:495818
166	0.014872414991259575	OMIM:135900	OMIM:135900
167	0.014879411086440086	OMIM:101800	OMIM:101800
168	0.01488414965569973	ORPHA:314679	ORPHA:314679
169	0.014885974116623402	ORPHA:1001	ORPHA:1001
170	0.014889571815729141	ORPHA:447980	ORPHA:447980
171	0.014889976941049099	OMIM:300004	OMIM:300004
172	0.01489887572824955	OMIM:614219	OMIM:614219
173	0.014909084886312485	OMIM:615419	OMIM:615419
174	0.014909205958247185	OMIM:617763	OMIM:617763
175	0.014926125295460224	OMIM:613792	OMIM:613792
176	0.014928001910448074	ORPHA:487825	ORPHA:487825
177	0.014947266317903996	ORPHA:314585	ORPHA:314585
178	0.014951192773878574	OMIM:601803	OMIM:601803
179	0.0149519182741642	OMIM:616268	OMIM:616268
180	0.014955629594624043	OMIM:300867	OMIM:300867
181	0.014958350919187069	ORPHA:177907	ORPHA:177907
182	0.014971560798585415	OMIM:607872	OMIM:607872
183	0.014977586455643177	ORPHA:2995	ORPHA:2995
184	0.01498081348836422	ORPHA:397715	ORPHA:397715
185	0.01499361451715231	OMIM:300960	OMIM:300960
186	0.014997264370322227	OMIM:218600	OMIM:218600
187	0.01500257384032011	OMIM:616920	OMIM:616920
188	0.015011981129646301	OMIM:301040	OMIM:301040
189	0.01501357089728117	ORPHA:289522	ORPHA:289522
190	0.01501533668488264	ORPHA:1580	ORPHA:1580
191	0.015023882500827312	OMIM:114290	OMIM:114290
192	0.015031146816909313	OMIM:614541	OMIM:614541
193	0.01504155807197094	OMIM:600325	OMIM:600325
194	0.015042277052998543	OMIM:214150	OMIM:214150
195	0.015077346935868263	ORPHA:444077	ORPHA:444077
196	0.015094835311174393	OMIM:619376	OMIM:619376
