rank	score	disease_name	disease_identifier
1	0.011841443367302418	OMIM:616878	OMIM:616878
2	0.012795167975127697	ORPHA:159	ORPHA:159
3	0.013683508150279522	OMIM:255120	OMIM:255120
4	0.013949696905910969	ORPHA:20	ORPHA:20
5	0.014257065951824188	ORPHA:3008	ORPHA:3008
6	0.014270647428929806	ORPHA:2394	ORPHA:2394
7	0.014424367807805538	ORPHA:79096	ORPHA:79096
8	0.014684371650218964	OMIM:246450	OMIM:246450
9	0.01521624531596899	OMIM:248600	OMIM:248600
10	0.01543437410145998	OMIM:618120	OMIM:618120
11	0.01564251445233822	ORPHA:71212	ORPHA:71212
12	0.01569383218884468	OMIM:246900	OMIM:246900
13	0.015843218192458153	OMIM:251100	OMIM:251100
14	0.01620311662554741	OMIM:619046	OMIM:619046
15	0.016319515183568	ORPHA:42	ORPHA:42
16	0.01645749621093273	OMIM:615453	OMIM:615453
17	0.016477765515446663	OMIM:619355	OMIM:619355
18	0.016606882214546204	ORPHA:324525	ORPHA:324525
19	0.016703765839338303	OMIM:124000	OMIM:124000
20	0.016791554167866707	ORPHA:99901	ORPHA:99901
21	0.016955910250544548	ORPHA:134	ORPHA:134
22	0.01699027605354786	OMIM:605711	OMIM:605711
23	0.017041807994246483	OMIM:266150	OMIM:266150
24	0.017512142658233643	ORPHA:26791	ORPHA:26791
25	0.017721278592944145	OMIM:616299	OMIM:616299
26	0.017786040902137756	OMIM:619059	OMIM:619059
27	0.01780869998037815	OMIM:210210	OMIM:210210
28	0.017882464453577995	OMIM:609015	OMIM:609015
29	0.01798984967172146	OMIM:212138	OMIM:212138
30	0.018028967082500458	OMIM:212140	OMIM:212140
31	0.01809384860098362	OMIM:619055	OMIM:619055
32	0.01811997964978218	OMIM:606054	OMIM:606054
33	0.01812632940709591	ORPHA:348	ORPHA:348
34	0.018293697386980057	OMIM:231670	OMIM:231670
35	0.01866656169295311	OMIM:610505	OMIM:610505
36	0.018798260018229485	ORPHA:289504	ORPHA:289504
37	0.018979374319314957	ORPHA:17	ORPHA:17
38	0.019102051854133606	ORPHA:263455	ORPHA:263455
39	0.0191518384963274	ORPHA:480864	ORPHA:480864
40	0.01923096366226673	OMIM:620358	OMIM:620358
41	0.019246336072683334	OMIM:251000	OMIM:251000
42	0.019293900579214096	ORPHA:506	ORPHA:506
43	0.019400693476200104	OMIM:619051	OMIM:619051
44	0.019491683691740036	OMIM:614654	OMIM:614654
45	0.019603963941335678	OMIM:245400	OMIM:245400
46	0.01972965896129608	ORPHA:26792	ORPHA:26792
47	0.019751591607928276	OMIM:312170	OMIM:312170
48	0.0199076347053051	OMIM:252010	OMIM:252010
49	0.01999322883784771	OMIM:201450	OMIM:201450
50	0.020134735852479935	ORPHA:94093	ORPHA:94093
51	0.02016974613070488	OMIM:261680	OMIM:261680
52	0.020278699696063995	OMIM:614702	OMIM:614702
53	0.02032851241528988	ORPHA:431361	ORPHA:431361
54	0.020391693338751793	ORPHA:391428	ORPHA:391428
55	0.02050788886845112	OMIM:253270	OMIM:253270
56	0.020600387826561928	ORPHA:466677	ORPHA:466677
57	0.02066176012158394	OMIM:616111	OMIM:616111
58	0.02073582561698915	OMIM:620300	OMIM:620300
59	0.02082171104848385	OMIM:618329	OMIM:618329
60	0.02085738070309162	ORPHA:70472	ORPHA:70472
61	0.020863108336925507	OMIM:615330	OMIM:615330
62	0.020946772769093513	OMIM:248360	OMIM:248360
63	0.021035080775618553	ORPHA:466650	ORPHA:466650
64	0.021070869639515877	OMIM:614946	OMIM:614946
65	0.021106719970703125	OMIM:614739	OMIM:614739
66	0.021221430972218513	OMIM:617668	OMIM:617668
67	0.021234018728137016	OMIM:610090	OMIM:610090
68	0.021307531744241714	OMIM:251110	OMIM:251110
69	0.021359216421842575	ORPHA:255210	ORPHA:255210
70	0.021380560472607613	OMIM:619147	OMIM:619147
71	0.021825645118951797	OMIM:619386	OMIM:619386
72	0.021956799551844597	OMIM:617248	OMIM:617248
73	0.021958857774734497	ORPHA:156	ORPHA:156
74	0.022051481530070305	OMIM:220110	OMIM:220110
75	0.02211562730371952	OMIM:619048	OMIM:619048
76	0.022129442542791367	OMIM:609060	OMIM:609060
77	0.02212989702820778	OMIM:612073	OMIM:612073
78	0.022144513204693794	OMIM:203700	OMIM:203700
