rank	score	disease_name	disease_identifier
1	0.16482847929000854	OMIM:300218	OMIM:300218
1	0.16482847929000854	OMIM:300709	OMIM:300709
1	0.16482847929000854	OMIM:300262	OMIM:300262
1	0.16482847929000854	OMIM:277990	OMIM:277990
5	0.17310816049575806	DECIPHER:85	DECIPHER:85
6	0.18420493602752686	DECIPHER:92	DECIPHER:92
7	0.18561655282974243	DECIPHER:62	DECIPHER:62
8	0.18821728229522705	DECIPHER:43	DECIPHER:43
9	0.18854713439941406	DECIPHER:67	DECIPHER:67
10	0.18956416845321655	ORPHA:226	ORPHA:226
