rank	score	disease_name	disease_identifier
1	0.023532573133707047	OMIM:239000	OMIM:239000
2	0.023547954857349396	OMIM:259770	OMIM:259770
3	0.0251767560839653	OMIM:616507	OMIM:616507
4	0.02540104277431965	OMIM:225400	OMIM:225400
5	0.025447022169828415	OMIM:277440	OMIM:277440
6	0.025622712448239326	OMIM:126550	OMIM:126550
7	0.02568894997239113	OMIM:615349	OMIM:615349
8	0.026283428072929382	OMIM:231070	OMIM:231070
9	0.02633841522037983	OMIM:612394	OMIM:612394
10	0.026687677949666977	OMIM:264700	OMIM:264700
11	0.026746777817606926	ORPHA:2078	ORPHA:2078
12	0.026768730953335762	OMIM:614856	OMIM:614856
13	0.02683589607477188	ORPHA:289157	ORPHA:289157
14	0.02715572528541088	OMIM:619795	OMIM:619795
15	0.027232129126787186	OMIM:612199	OMIM:612199
16	0.02727460488677025	OMIM:208400	OMIM:208400
17	0.02742157317698002	OMIM:252500	OMIM:252500
18	0.027461785823106766	OMIM:241500	OMIM:241500
19	0.027547664940357208	OMIM:610682	OMIM:610682
20	0.027746934443712234	OMIM:619131	OMIM:619131
21	0.027752209454774857	ORPHA:2636	ORPHA:2636
22	0.027760889381170273	OMIM:610915	OMIM:610915
23	0.028023742139339447	OMIM:130060	OMIM:130060
24	0.028127051889896393	OMIM:616229	OMIM:616229
25	0.02814808487892151	ORPHA:536467	ORPHA:536467
26	0.0281929112970829	OMIM:242900	OMIM:242900
27	0.02821424789726734	ORPHA:800	ORPHA:800
28	0.028425337746739388	OMIM:616294	OMIM:616294
29	0.028436845168471336	OMIM:309400	OMIM:309400
30	0.028476979583501816	OMIM:214150	OMIM:214150
31	0.028488697484135628	OMIM:176270	OMIM:176270
32	0.028566177934408188	OMIM:301014	OMIM:301014
33	0.02860352024435997	OMIM:617425	OMIM:617425
34	0.028607599437236786	OMIM:617164	OMIM:617164
35	0.028636761009693146	OMIM:619234	OMIM:619234
36	0.028671935200691223	OMIM:300998	OMIM:300998
37	0.028718337416648865	ORPHA:309282	ORPHA:309282
38	0.02874077297747135	OMIM:616007	OMIM:616007
39	0.028761954978108406	OMIM:614727	OMIM:614727
40	0.02885858155786991	OMIM:166200	OMIM:166200
41	0.028970785439014435	ORPHA:536545	ORPHA:536545
42	0.02898417040705681	ORPHA:763	ORPHA:763
43	0.029008224606513977	OMIM:182250	OMIM:182250
44	0.02901354432106018	ORPHA:96201	ORPHA:96201
45	0.02909763902425766	OMIM:616723	OMIM:616723
46	0.029218943789601326	OMIM:618947	OMIM:618947
47	0.02923106960952282	ORPHA:251009	ORPHA:251009
48	0.029248572885990143	OMIM:618150	OMIM:618150
49	0.029306115582585335	OMIM:614008	OMIM:614008
50	0.029344111680984497	OMIM:619269	OMIM:619269
51	0.029430504888296127	OMIM:610968	OMIM:610968
52	0.0294682364910841	OMIM:618162	OMIM:618162
53	0.02947194315493107	OMIM:224300	OMIM:224300
54	0.029475104063749313	ORPHA:198	ORPHA:198
55	0.02948467619717121	OMIM:616482	OMIM:616482
56	0.029492421075701714	OMIM:219150	OMIM:219150
57	0.02950584702193737	ORPHA:2962	ORPHA:2962
58	0.029540980234742165	OMIM:600081	OMIM:600081
59	0.029563354328274727	OMIM:620070	OMIM:620070
60	0.029605025425553322	OMIM:150230	OMIM:150230
61	0.0296394731849432	OMIM:618392	OMIM:618392
62	0.029682837426662445	OMIM:615220	OMIM:615220
63	0.029721969738602638	OMIM:616809	OMIM:616809
64	0.029735367745161057	ORPHA:508533	ORPHA:508533
65	0.029738005250692368	OMIM:236200	OMIM:236200
66	0.029760710895061493	OMIM:615066	OMIM:615066
67	0.029805505648255348	OMIM:618005	OMIM:618005
68	0.02983381599187851	OMIM:259050	OMIM:259050
69	0.02986293099820614	OMIM:615398	OMIM:615398
70	0.029874717816710472	OMIM:600373	OMIM:600373
71	0.02990145795047283	OMIM:616263	OMIM:616263
72	0.029905367642641068	ORPHA:354	ORPHA:354
73	0.03004971519112587	OMIM:255800	OMIM:255800
74	0.030053306370973587	ORPHA:3455	ORPHA:3455
75	0.03009551391005516	ORPHA:79318	ORPHA:79318
76	0.03009985201060772	OMIM:253220	OMIM:253220
77	0.030122118070721626	ORPHA:666	ORPHA:666
78	0.03012721613049507	ORPHA:293967	ORPHA:293967
79	0.03013424575328827	OMIM:261515	OMIM:261515
80	0.03013719618320465	ORPHA:3206	ORPHA:3206
81	0.030187001451849937	ORPHA:404454	ORPHA:404454
82	0.030197331681847572	OMIM:309000	OMIM:309000
