rank	score	disease_name	disease_identifier
1	0.009501919150352478	ORPHA:1606	ORPHA:1606
2	0.010195530951023102	OMIM:618494	OMIM:618494
3	0.010397769510746002	ORPHA:138	ORPHA:138
4	0.010649074800312519	ORPHA:268261	ORPHA:268261
5	0.01079956442117691	ORPHA:353277	ORPHA:353277
5	0.01079956442117691	ORPHA:353284	ORPHA:353284
7	0.010859273374080658	ORPHA:2461	ORPHA:2461
8	0.01091763935983181	OMIM:617516	OMIM:617516
9	0.011011142283678055	ORPHA:464311	ORPHA:464311
10	0.011228718794882298	ORPHA:567	ORPHA:567
11	0.011244602501392365	ORPHA:464306	ORPHA:464306
12	0.011272859759628773	OMIM:270400	OMIM:270400
13	0.011465098708868027	ORPHA:453499	ORPHA:453499
14	0.011491954326629639	ORPHA:96170	ORPHA:96170
15	0.011534527875483036	ORPHA:261537	ORPHA:261537
16	0.01157312374562025	ORPHA:500159	ORPHA:500159
17	0.011609191074967384	ORPHA:2152	ORPHA:2152
18	0.011652939952909946	ORPHA:261552	ORPHA:261552
19	0.011670629493892193	OMIM:609029	OMIM:609029
20	0.011849948205053806	ORPHA:818	ORPHA:818
21	0.011911069974303246	ORPHA:904	ORPHA:904
22	0.012075834907591343	ORPHA:199	ORPHA:199
23	0.012319836765527725	OMIM:122470	OMIM:122470
24	0.012323583476245403	OMIM:607872	OMIM:607872
25	0.01232606265693903	ORPHA:3310	ORPHA:3310
26	0.012349145486950874	OMIM:614080	OMIM:614080
27	0.01235002838075161	OMIM:235730	OMIM:235730
28	0.012356542982161045	ORPHA:84	ORPHA:84
29	0.012357464991509914	ORPHA:280	ORPHA:280
30	0.012434764765202999	ORPHA:438213	ORPHA:438213
31	0.012439105659723282	ORPHA:96167	ORPHA:96167
32	0.012485195882618427	OMIM:619488	OMIM:619488
33	0.012751405127346516	ORPHA:508488	ORPHA:508488
34	0.012767095118761063	ORPHA:353281	ORPHA:353281
35	0.01278507336974144	OMIM:147920	OMIM:147920
36	0.0128544382750988	ORPHA:2745	ORPHA:2745
37	0.012897497043013573	ORPHA:3378	ORPHA:3378
38	0.012917320244014263	ORPHA:1166	ORPHA:1166
