rank	score	disease_name	disease_identifier
1	0.013273805379867554	OMIM:615453	OMIM:615453
2	0.014263220131397247	OMIM:251100	OMIM:251100
3	0.015493029728531837	OMIM:251110	OMIM:251110
4	0.017486372962594032	OMIM:615751	OMIM:615751
5	0.017552178353071213	ORPHA:71212	ORPHA:71212
6	0.01776653341948986	OMIM:210210	OMIM:210210
7	0.01821056380867958	OMIM:615160	OMIM:615160
8	0.018491733819246292	OMIM:616111	OMIM:616111
9	0.01880638487637043	ORPHA:348	ORPHA:348
10	0.01896865852177143	OMIM:615026	OMIM:615026
11	0.019164765253663063	OMIM:620358	OMIM:620358
12	0.01925041154026985	ORPHA:134	ORPHA:134
13	0.01936093345284462	OMIM:251000	OMIM:251000
14	0.01975751295685768	ORPHA:2394	ORPHA:2394
15	0.0199517123401165	OMIM:246450	OMIM:246450
16	0.019962742924690247	OMIM:253270	OMIM:253270
17	0.019991889595985413	OMIM:248360	OMIM:248360
18	0.02020922489464283	OMIM:615595	OMIM:615595
19	0.020696794614195824	OMIM:618120	OMIM:618120
20	0.020739808678627014	OMIM:616974	OMIM:616974
21	0.02079698257148266	OMIM:245400	OMIM:245400
22	0.021184831857681274	OMIM:246900	OMIM:246900
23	0.0212923102080822	OMIM:605711	OMIM:605711
24	0.02130133844912052	OMIM:229600	OMIM:229600
25	0.021480118855834007	OMIM:619048	OMIM:619048
26	0.021481653675436974	ORPHA:20	ORPHA:20
27	0.02160605415701866	OMIM:619386	OMIM:619386
28	0.02166835032403469	OMIM:255120	OMIM:255120
29	0.02171463333070278	OMIM:606054	OMIM:606054
30	0.021736538037657738	ORPHA:324525	ORPHA:324525
31	0.021756501868367195	OMIM:248600	OMIM:248600
32	0.021780963987112045	ORPHA:263455	ORPHA:263455
33	0.022032519802451134	OMIM:613070	OMIM:613070
34	0.022108709439635277	ORPHA:289504	ORPHA:289504
35	0.022227145731449127	OMIM:619046	OMIM:619046
36	0.02227727882564068	OMIM:614702	OMIM:614702
37	0.02234579809010029	OMIM:210200	OMIM:210200
38	0.0226921197026968	OMIM:609015	OMIM:609015
39	0.02281836047768593	OMIM:212140	OMIM:212140
40	0.022882536053657532	OMIM:614582	OMIM:614582
41	0.022967061027884483	OMIM:620137	OMIM:620137
42	0.023065032437443733	OMIM:618252	OMIM:618252
43	0.0231349878013134	ORPHA:3008	ORPHA:3008
44	0.023188114166259766	OMIM:124000	OMIM:124000
45	0.023213956505060196	ORPHA:159	ORPHA:159
46	0.023285070434212685	ORPHA:26792	ORPHA:26792
47	0.02345469780266285	OMIM:619355	OMIM:619355
48	0.02357827126979828	ORPHA:79096	ORPHA:79096
49	0.0236815195530653	OMIM:201450	OMIM:201450
50	0.023697592318058014	OMIM:227810	OMIM:227810
51	0.024061886593699455	OMIM:207900	OMIM:207900
52	0.024121105670928955	OMIM:251120	OMIM:251120
