rank	score	disease_name	disease_identifier
1	0.011311419308185577	ORPHA:480864	ORPHA:480864
2	0.011842855252325535	OMIM:616878	OMIM:616878
3	0.013542170636355877	OMIM:220120	OMIM:220120
4	0.014478163793683052	OMIM:612073	OMIM:612073
5	0.014775103889405727	ORPHA:255210	ORPHA:255210
6	0.015053019858896732	OMIM:252010	OMIM:252010
7	0.01572388969361782	OMIM:618225	OMIM:618225
8	0.015727750957012177	OMIM:618226	OMIM:618226
9	0.015858547762036324	OMIM:615838	OMIM:615838
10	0.01592768169939518	ORPHA:70472	ORPHA:70472
11	0.016160447150468826	ORPHA:506	ORPHA:506
12	0.016320178285241127	OMIM:312170	OMIM:312170
13	0.01632828451693058	ORPHA:445038	ORPHA:445038
14	0.016401119530200958	OMIM:600721	OMIM:600721
15	0.016423383727669716	ORPHA:550	ORPHA:550
16	0.016487905755639076	OMIM:272300	OMIM:272300
17	0.016548212617635727	ORPHA:79241	ORPHA:79241
18	0.016591843217611313	ORPHA:391428	ORPHA:391428
19	0.016605619341135025	ORPHA:17	ORPHA:17
20	0.016887744888663292	OMIM:619046	OMIM:619046
21	0.01695149950683117	ORPHA:395	ORPHA:395
22	0.017030013725161552	OMIM:617186	OMIM:617186
23	0.017083097249269485	OMIM:607426	OMIM:607426
24	0.017399175092577934	ORPHA:431361	ORPHA:431361
25	0.017412902787327766	OMIM:617290	OMIM:617290
26	0.017418915405869484	OMIM:614498	OMIM:614498
27	0.017455464228987694	ORPHA:2131	ORPHA:2131
28	0.017481379210948944	OMIM:618222	OMIM:618222
29	0.01749180443584919	OMIM:610505	OMIM:610505
30	0.017501911148428917	OMIM:618253	OMIM:618253
31	0.017523236572742462	ORPHA:79101	ORPHA:79101
32	0.017524609342217445	ORPHA:330050	ORPHA:330050
33	0.01753079891204834	OMIM:620166	OMIM:620166
34	0.017590301111340523	OMIM:619847	OMIM:619847
35	0.01760074310004711	OMIM:602473	OMIM:602473
36	0.017659302800893784	OMIM:256000	OMIM:256000
37	0.0176627766340971	ORPHA:20	ORPHA:20
38	0.017692510038614273	ORPHA:91131	ORPHA:91131
39	0.017694629728794098	OMIM:614388	OMIM:614388
