rank	score	disease_name	disease_identifier
1	0.18556302785873413	OMIM:159580	OMIM:159580
2	0.18938040733337402	ORPHA:139480	ORPHA:139480
3	0.19334310293197632	ORPHA:101004	ORPHA:101004
4	0.1934516429901123	ORPHA:101010	ORPHA:101010
5	0.1938856840133667	OMIM:610244	OMIM:610244
6	0.1940150260925293	ORPHA:401780	ORPHA:401780
7	0.1945614218711853	ORPHA:171607	ORPHA:171607
8	0.19568383693695068	OMIM:611945	OMIM:611945
9	0.19583910703659058	ORPHA:171863	ORPHA:171863
10	0.1965312361717224	ORPHA:320355	ORPHA:320355
