rank	score	disease_name	disease_identifier
1	0.1957443356513977	OMIM:300082	OMIM:300082
1	0.1957443356513977	OMIM:158280	OMIM:158280
3	0.20507538318634033	ORPHA:168782	ORPHA:168782
4	0.20700132846832275	ORPHA:98766	ORPHA:98766
5	0.20806127786636353	ORPHA:71519	ORPHA:71519
6	0.20816683769226074	ORPHA:3057	ORPHA:3057
7	0.21014440059661865	ORPHA:1429	ORPHA:1429
8	0.21079957485198975	ORPHA:240112	ORPHA:240112
9	0.21092660825854537	ORPHA:1799	ORPHA:1799
10	0.21191710233688354	OMIM:159580	OMIM:159580
