rank	score	disease_name	disease_identifier
1	0.03135291114449501	ORPHA:227510	ORPHA:227510
2	0.03165263682603836	ORPHA:99027	ORPHA:99027
3	0.032363101840019226	ORPHA:75567	ORPHA:75567
4	0.03238625079393387	ORPHA:98933	ORPHA:98933
5	0.032811276614665985	ORPHA:391411	ORPHA:391411
6	0.03338472917675972	ORPHA:102	ORPHA:102
7	0.033638156950473785	ORPHA:98762	ORPHA:98762
8	0.03369569033384323	OMIM:616840	OMIM:616840
9	0.03397829085588455	ORPHA:157846	ORPHA:157846
10	0.034011367708444595	ORPHA:93256	ORPHA:93256
11	0.034070901572704315	OMIM:168600	OMIM:168600
12	0.03410664200782776	OMIM:300623	OMIM:300623
13	0.034260865300893784	ORPHA:2388	ORPHA:2388
14	0.03440621495246887	ORPHA:352649	ORPHA:352649
15	0.034413136541843414	ORPHA:306674	ORPHA:306674
16	0.034546010196208954	ORPHA:171695	ORPHA:171695
17	0.03456514701247215	ORPHA:289560	ORPHA:289560
18	0.034734781831502914	ORPHA:845	ORPHA:845
19	0.03479037806391716	ORPHA:98755	ORPHA:98755
20	0.03484290465712547	ORPHA:411602	ORPHA:411602
21	0.035098109394311905	OMIM:615157	OMIM:615157
22	0.035189129412174225	ORPHA:97355	ORPHA:97355
23	0.035499002784490585	ORPHA:97349	ORPHA:97349
24	0.03558635339140892	ORPHA:282166	ORPHA:282166
25	0.035609982907772064	ORPHA:309271	ORPHA:309271
26	0.03566542640328407	ORPHA:137898	ORPHA:137898
27	0.03590812906622887	ORPHA:98808	ORPHA:98808
28	0.036008648574352264	OMIM:607483	OMIM:607483
29	0.03626205772161484	ORPHA:95	ORPHA:95
30	0.036382630467414856	ORPHA:412057	ORPHA:412057
31	0.036516472697257996	ORPHA:3095	ORPHA:3095
32	0.0365682952105999	ORPHA:2828	ORPHA:2828
33	0.0366814099252224	ORPHA:216873	ORPHA:216873
34	0.03671981394290924	ORPHA:100996	ORPHA:100996
35	0.036839984357357025	ORPHA:254892	ORPHA:254892
36	0.03709280490875244	ORPHA:216866	ORPHA:216866
37	0.03709382936358452	OMIM:609454	OMIM:609454
38	0.03714784234762192	ORPHA:309263	ORPHA:309263
39	0.037159379571676254	ORPHA:399	ORPHA:399
40	0.03719086945056915	ORPHA:225154	ORPHA:225154
41	0.03721068426966667	ORPHA:300605	ORPHA:300605
42	0.03727922588586807	ORPHA:98768	ORPHA:98768
43	0.03727952763438225	ORPHA:646	ORPHA:646
44	0.03733087331056595	ORPHA:99750	ORPHA:99750
45	0.03745581954717636	ORPHA:309256	ORPHA:309256
46	0.03746495023369789	ORPHA:157941	ORPHA:157941
47	0.03750389814376831	ORPHA:101150	ORPHA:101150
