rank	score	disease_name	disease_identifier
1	0.05346964672207832	ORPHA:324290	ORPHA:324290
2	0.056060079485177994	ORPHA:137898	ORPHA:137898
3	0.05623386427760124	ORPHA:206443	ORPHA:206443
4	0.05637364834547043	ORPHA:2386	ORPHA:2386
5	0.05704218149185181	OMIM:615157	OMIM:615157
6	0.05775527283549309	OMIM:300100	OMIM:300100
7	0.058127664029598236	ORPHA:221074	ORPHA:221074
8	0.05845167860388756	OMIM:616640	OMIM:616640
9	0.05870655179023743	ORPHA:171629	ORPHA:171629
10	0.058936648070812225	OMIM:615924	OMIM:615924
11	0.05894763395190239	OMIM:607822	OMIM:607822
12	0.059377774596214294	OMIM:615643	OMIM:615643
13	0.059548962861299515	OMIM:249900	OMIM:249900
14	0.059983521699905396	ORPHA:263410	ORPHA:263410
15	0.060133449733257294	OMIM:105550	OMIM:105550
16	0.060270484536886215	OMIM:312080	OMIM:312080
17	0.060357771813869476	OMIM:607483	OMIM:607483
18	0.06137968599796295	OMIM:607259	OMIM:607259
19	0.061475347727537155	ORPHA:646	ORPHA:646
20	0.06169759854674339	ORPHA:101001	ORPHA:101001
21	0.06183207035064697	OMIM:300894	OMIM:300894
22	0.06189093738794327	OMIM:618317	OMIM:618317
23	0.06189125403761864	OMIM:250950	OMIM:250950
24	0.06193414330482483	OMIM:123400	OMIM:123400
25	0.062085408717393875	ORPHA:139396	ORPHA:139396
26	0.062258828431367874	ORPHA:329308	ORPHA:329308
27	0.06240842118859291	OMIM:612319	OMIM:612319
28	0.06263483315706253	ORPHA:306674	ORPHA:306674
29	0.06269172579050064	OMIM:617225	OMIM:617225
30	0.06277023255825043	ORPHA:1020	ORPHA:1020
31	0.06279207766056061	OMIM:208920	OMIM:208920
32	0.06287265568971634	ORPHA:293168	ORPHA:293168
33	0.06306808441877365	ORPHA:79263	ORPHA:79263
34	0.06318343430757523	OMIM:221820	OMIM:221820
35	0.06321030110120773	OMIM:617672	OMIM:617672
36	0.0633472204208374	OMIM:614409	OMIM:614409
37	0.06336069107055664	ORPHA:309271	ORPHA:309271
38	0.06338348984718323	ORPHA:99750	ORPHA:99750
39	0.06339599192142487	ORPHA:683	ORPHA:683
40	0.06345447152853012	OMIM:248900	OMIM:248900
41	0.06351637840270996	OMIM:619653	OMIM:619653
42	0.06361880153417587	OMIM:250100	OMIM:250100
43	0.06367121636867523	ORPHA:845	ORPHA:845
44	0.06371046602725983	OMIM:137440	OMIM:137440
45	0.06377700716257095	ORPHA:2822	ORPHA:2822
46	0.06383920460939407	OMIM:606353	OMIM:606353
47	0.06396916508674622	OMIM:604802	OMIM:604802
48	0.06398381292819977	ORPHA:43	ORPHA:43
49	0.06404721736907959	OMIM:616586	OMIM:616586
50	0.06411189585924149	ORPHA:401830	ORPHA:401830
51	0.06413037329912186	OMIM:615362	OMIM:615362
52	0.0641620084643364	OMIM:607136	OMIM:607136
53	0.06428120285272598	OMIM:613647	OMIM:613647
54	0.06430859118700027	ORPHA:500180	ORPHA:500180
55	0.06431305408477783	ORPHA:282166	ORPHA:282166
56	0.06435007601976395	ORPHA:496756	ORPHA:496756
57	0.06456083059310913	ORPHA:1947	ORPHA:1947
58	0.0645819753408432	ORPHA:391417	ORPHA:391417
59	0.06462626904249191	OMIM:607225	OMIM:607225
60	0.06462977826595306	ORPHA:401866	ORPHA:401866
61	0.06476053595542908	ORPHA:1170	ORPHA:1170
62	0.0648120567202568	ORPHA:3095	ORPHA:3095
63	0.06487889587879181	ORPHA:225154	ORPHA:225154
64	0.06488926708698273	OMIM:238970	OMIM:238970
65	0.06493393331766129	ORPHA:276238	ORPHA:276238
65	0.06493393331766129	ORPHA:276241	ORPHA:276241
67	0.06495094299316406	ORPHA:157946	ORPHA:157946
68	0.06496234238147736	ORPHA:275872	ORPHA:275872
69	0.06496341526508331	OMIM:205100	OMIM:205100
70	0.0649869441986084	ORPHA:399	ORPHA:399
71	0.06504704803228378	OMIM:614298	OMIM:614298
