rank	score	disease_name	disease_identifier
1	0.021292315796017647	OMIM:613464	OMIM:613464
2	0.021614795550704002	OMIM:300578	OMIM:300578
3	0.021887702867388725	OMIM:617406	OMIM:617406
4	0.022024866193532944	OMIM:615990	OMIM:615990
5	0.022587763145565987	OMIM:616188	OMIM:616188
6	0.02360190451145172	OMIM:618195	OMIM:618195
7	0.023604445159435272	OMIM:613750	OMIM:613750
8	0.02403944358229637	OMIM:251270	OMIM:251270
9	0.024903271347284317	OMIM:204000	OMIM:204000
10	0.02505076862871647	OMIM:600151	OMIM:600151
11	0.025709563866257668	OMIM:204100	OMIM:204100
12	0.026379868388175964	OMIM:617547	OMIM:617547
13	0.026478635147213936	OMIM:615147	OMIM:615147
14	0.02664821222424507	ORPHA:791	ORPHA:791
15	0.026667429134249687	OMIM:209900	OMIM:209900
16	0.02674957923591137	ORPHA:364055	ORPHA:364055
17	0.026968233287334442	OMIM:613731	OMIM:613731
18	0.027028005570173264	OMIM:310600	OMIM:310600
19	0.02714082971215248	OMIM:145350	OMIM:145350
20	0.027141351252794266	ORPHA:75858	ORPHA:75858
21	0.027491196990013123	OMIM:616171	OMIM:616171
22	0.027560794726014137	OMIM:616108	OMIM:616108
23	0.027572644874453545	OMIM:607921	OMIM:607921
24	0.02778962254524231	OMIM:303100	OMIM:303100
25	0.0279480442404747	OMIM:268315	OMIM:268315
26	0.028359537944197655	OMIM:615986	OMIM:615986
27	0.028406592085957527	OMIM:270200	OMIM:270200
28	0.028578896075487137	OMIM:619260	OMIM:619260
29	0.028614509850740433	OMIM:608553	OMIM:608553
30	0.0286349318921566	OMIM:613983	OMIM:613983
31	0.028780730441212654	OMIM:180105	OMIM:180105
32	0.028947336599230766	OMIM:618889	OMIM:618889
33	0.029029864817857742	ORPHA:191	ORPHA:191
34	0.029089411720633507	ORPHA:891	ORPHA:891
35	0.029143663123250008	OMIM:252650	OMIM:252650
36	0.02916131168603897	OMIM:610359	OMIM:610359
37	0.02917676791548729	OMIM:615994	OMIM:615994
38	0.029221223667263985	OMIM:217080	OMIM:217080
39	0.029284199699759483	OMIM:601718	OMIM:601718
40	0.02939244732260704	ORPHA:5	ORPHA:5
41	0.029437655583024025	OMIM:612095	OMIM:612095
42	0.02954055182635784	OMIM:612379	OMIM:612379
43	0.029597951099276543	OMIM:267750	OMIM:267750
44	0.02962351031601429	OMIM:253280	OMIM:253280
45	0.029664665460586548	OMIM:613617	OMIM:613617
46	0.02975936233997345	OMIM:613428	OMIM:613428
47	0.029856743291020393	OMIM:614500	OMIM:614500
48	0.02995535545051098	ORPHA:90324	ORPHA:90324
49	0.03005313128232956	OMIM:258870	OMIM:258870
50	0.030214451253414154	OMIM:303110	OMIM:303110
51	0.030311033129692078	OMIM:617879	OMIM:617879
52	0.030390502884984016	OMIM:614863	OMIM:614863
53	0.03039506822824478	OMIM:616875	OMIM:616875
54	0.03045577183365822	OMIM:609049	OMIM:609049
55	0.03049512580037117	OMIM:615922	OMIM:615922
56	0.030527282506227493	OMIM:216400	OMIM:216400
57	0.030533412471413612	ORPHA:480898	ORPHA:480898
58	0.030562734231352806	OMIM:604116	OMIM:604116
59	0.030562791973352432	OMIM:175780	OMIM:175780
60	0.03065950609743595	OMIM:613581	OMIM:613581
61	0.030670536682009697	OMIM:204200	OMIM:204200
62	0.030699387192726135	OMIM:614504	OMIM:614504
63	0.030780961737036705	OMIM:616544	OMIM:616544
64	0.030948588624596596	ORPHA:773	ORPHA:773
65	0.030957471579313278	OMIM:616469	OMIM:616469
66	0.030998509377241135	ORPHA:649	ORPHA:649
67	0.031004393473267555	OMIM:612989	OMIM:612989
68	0.031090784817934036	OMIM:618220	OMIM:618220
69	0.03121192567050457	ORPHA:163937	ORPHA:163937
70	0.03122589737176895	OMIM:612572	OMIM:612572
71	0.03129930421710014	OMIM:609033	OMIM:609033
72	0.03133641555905342	OMIM:619471	OMIM:619471
73	0.03147106245160103	OMIM:180100	OMIM:180100
74	0.031540486961603165	ORPHA:1473	ORPHA:1473
75	0.03156118839979172	ORPHA:401777	ORPHA:401777
76	0.03156784549355507	OMIM:620342	OMIM:620342
77	0.031616900116205215	OMIM:610156	OMIM:610156
78	0.03166930377483368	OMIM:614879	OMIM:614879
79	0.03171263262629509	ORPHA:578	ORPHA:578
80	0.03175738453865051	OMIM:600138	OMIM:600138
81	0.031790513545274734	ORPHA:324737	ORPHA:324737
82	0.03184112533926964	OMIM:268020	OMIM:268020
83	0.031925201416015625	OMIM:600059	OMIM:600059
84	0.031930938363075256	ORPHA:65	ORPHA:65
