rank	score	disease_name	disease_identifier
1	0.19511812925338745	DECIPHER:85	DECIPHER:85
2	0.20265895128250122	DECIPHER:43	DECIPHER:43
3	0.20616817474365234	DECIPHER:92	DECIPHER:92
4	0.20624160766601562	DECIPHER:31	DECIPHER:31
5	0.20653879642486572	OMIM:300848	OMIM:300848
6	0.20656037330627441	OMIM:300082	OMIM:300082
6	0.20656037330627441	OMIM:158280	OMIM:158280
8	0.21011996269226074	ORPHA:614	ORPHA:614
9	0.21058225631713867	OMIM:619228	OMIM:619228
10	0.21142780780792236	OMIM:617643	OMIM:617643
