rank	score	disease_name	disease_identifier
1	0.02966138906776905	OMIM:211380	OMIM:211380
2	0.030292095616459846	OMIM:302350	OMIM:302350
3	0.031572986394166946	OMIM:620107	OMIM:620107
4	0.033329419791698456	ORPHA:1299	ORPHA:1299
5	0.0337250791490078	ORPHA:2791	ORPHA:2791
6	0.03433734551072121	ORPHA:90024	ORPHA:90024
7	0.034720052033662796	ORPHA:66625	ORPHA:66625
8	0.03495599329471588	ORPHA:1327	ORPHA:1327
9	0.035199470818042755	OMIM:607812	OMIM:607812
10	0.036112844944000244	OMIM:166750	OMIM:166750
11	0.036263346672058105	OMIM:601088	OMIM:601088
12	0.03627283498644829	OMIM:618332	OMIM:618332
13	0.03631041571497917	OMIM:616331	OMIM:616331
14	0.03632473573088646	OMIM:608156	OMIM:608156
15	0.036416806280612946	ORPHA:2471	ORPHA:2471
16	0.036990050226449966	ORPHA:3242	ORPHA:3242
17	0.037139713764190674	ORPHA:560	ORPHA:560
18	0.03719673678278923	ORPHA:2180	ORPHA:2180
19	0.037213511765003204	OMIM:614188	OMIM:614188
20	0.03724721446633339	ORPHA:2712	ORPHA:2712
21	0.0376751534640789	ORPHA:1968	ORPHA:1968
22	0.037699952721595764	OMIM:602562	OMIM:602562
23	0.037777308374643326	OMIM:209885	OMIM:209885
24	0.03783906251192093	ORPHA:2332	ORPHA:2332
25	0.03792337700724602	ORPHA:3079	ORPHA:3079
26	0.038020115345716476	ORPHA:50814	ORPHA:50814
27	0.0380484014749527	OMIM:602483	OMIM:602483
28	0.03817977011203766	OMIM:303600	OMIM:303600
29	0.038212694227695465	OMIM:148050	OMIM:148050
30	0.03826162964105606	OMIM:612731	OMIM:612731
31	0.03832126408815384	ORPHA:1452	ORPHA:1452
32	0.03837885335087776	ORPHA:1974	ORPHA:1974
33	0.03841090947389603	OMIM:611174	OMIM:611174
34	0.0384296253323555	OMIM:180700	OMIM:180700
35	0.0384497307240963	OMIM:272950	OMIM:272950
36	0.038469765335321426	OMIM:601552	OMIM:601552
37	0.03849461302161217	OMIM:249420	OMIM:249420
38	0.038503218442201614	OMIM:618529	OMIM:618529
39	0.03856532648205757	OMIM:158170	OMIM:158170
40	0.038731735199689865	OMIM:102500	OMIM:102500
41	0.038739223033189774	OMIM:157980	OMIM:157980
42	0.03875906765460968	OMIM:613684	OMIM:613684
43	0.03879561647772789	OMIM:259775	OMIM:259775
44	0.03882092610001564	OMIM:618727	OMIM:618727
45	0.03884255513548851	OMIM:616894	OMIM:616894
46	0.03887896612286568	ORPHA:137834	ORPHA:137834
47	0.0388895720243454	OMIM:613458	OMIM:613458
48	0.03905249014496803	ORPHA:3107	ORPHA:3107
49	0.039070673286914825	OMIM:123790	OMIM:123790
50	0.039121851325035095	OMIM:612474	OMIM:612474
51	0.03915161266922951	ORPHA:1507	ORPHA:1507
52	0.03920036926865578	OMIM:101400	OMIM:101400
53	0.03925948962569237	ORPHA:1437	ORPHA:1437
54	0.03931187465786934	ORPHA:1387	ORPHA:1387
55	0.03931271657347679	OMIM:182150	OMIM:182150
56	0.039333488792181015	OMIM:615761	OMIM:615761
57	0.03938069939613342	OMIM:610759	OMIM:610759
58	0.03940854221582413	ORPHA:1297	ORPHA:1297
59	0.03943862020969391	OMIM:234100	OMIM:234100
60	0.03944512829184532	OMIM:227330	OMIM:227330
61	0.03946474567055702	ORPHA:1699	ORPHA:1699
62	0.0396265909075737	OMIM:612313	OMIM:612313
63	0.039627354592084885	ORPHA:284160	ORPHA:284160
64	0.03965075686573982	ORPHA:251028	ORPHA:251028
65	0.03969902545213699	OMIM:619325	OMIM:619325
66	0.0397479273378849	ORPHA:1716	ORPHA:1716
67	0.03976009413599968	ORPHA:861	ORPHA:861
68	0.03978398069739342	OMIM:200990	OMIM:200990
69	0.03981585055589676	OMIM:257850	OMIM:257850
70	0.04000873118638992	ORPHA:178303	ORPHA:178303
71	0.040024615824222565	OMIM:604314	OMIM:604314
72	0.040056053549051285	OMIM:309500	OMIM:309500
73	0.04006243497133255	OMIM:154780	OMIM:154780
74	0.040069423615932465	OMIM:269300	OMIM:269300
75	0.04008843004703522	OMIM:616367	OMIM:616367
76	0.0401516892015934	ORPHA:949	ORPHA:949
77	0.04017525166273117	ORPHA:217017	ORPHA:217017
78	0.04019871726632118	ORPHA:420561	ORPHA:420561
79	0.040298398584127426	ORPHA:1642	ORPHA:1642
80	0.040323663502931595	ORPHA:364577	ORPHA:364577
81	0.040333978831768036	ORPHA:96125	ORPHA:96125
82	0.04033968970179558	OMIM:609944	OMIM:609944
83	0.040350738912820816	ORPHA:137888	ORPHA:137888
84	0.04039300978183746	ORPHA:236	ORPHA:236
85	0.04054107517004013	ORPHA:1071	ORPHA:1071
86	0.04056563228368759	OMIM:618571	OMIM:618571
87	0.04058739170432091	OMIM:135500	OMIM:135500
88	0.040591076016426086	OMIM:619941	OMIM:619941
89	0.04060487449169159	ORPHA:3253	ORPHA:3253
90	0.040623169392347336	ORPHA:794	ORPHA:794
91	0.04067069664597511	ORPHA:261112	ORPHA:261112
92	0.04069111868739128	ORPHA:261318	ORPHA:261318
93	0.04072222858667374	OMIM:201180	OMIM:201180
94	0.04079575836658478	OMIM:614230	OMIM:614230
95	0.04079727828502655	OMIM:619087	OMIM:619087
96	0.04080124571919441	ORPHA:3163	ORPHA:3163
97	0.04081558436155319	OMIM:618644	OMIM:618644
98	0.040832675993442535	ORPHA:870	ORPHA:870
99	0.04084707424044609	OMIM:616803	OMIM:616803
100	0.04085690528154373	ORPHA:96169	ORPHA:96169
101	0.04087500646710396	ORPHA:363659	ORPHA:363659
102	0.040937867015600204	ORPHA:3063	ORPHA:3063
103	0.040952324867248535	ORPHA:1555	ORPHA:1555
104	0.04097907990217209	OMIM:619736	OMIM:619736
105	0.040997739881277084	OMIM:620098	OMIM:620098
106	0.04102575033903122	ORPHA:97360	ORPHA:97360
107	0.041026316583156586	ORPHA:192	ORPHA:192
108	0.041030701249837875	OMIM:615560	OMIM:615560
109	0.04105983301997185	OMIM:604841	OMIM:604841
110	0.041097644716501236	OMIM:613823	OMIM:613823
111	0.04110375791788101	ORPHA:955	ORPHA:955
112	0.041190218180418015	OMIM:618027	OMIM:618027
