rank	score	disease_name	disease_identifier
1	0.010257729329168797	OMIM:612313	OMIM:612313
2	0.010323533788323402	OMIM:617330	OMIM:617330
3	0.010466696694493294	OMIM:620224	OMIM:620224
4	0.01073797419667244	OMIM:619720	OMIM:619720
5	0.010865229181945324	OMIM:617804	OMIM:617804
6	0.011027718894183636	OMIM:619312	OMIM:619312
7	0.011131098493933678	OMIM:619188	OMIM:619188
8	0.011253288947045803	OMIM:301044	OMIM:301044
9	0.011663404293358326	OMIM:619512	OMIM:619512
10	0.011664710007607937	OMIM:618829	OMIM:618829
11	0.011667058803141117	OMIM:619950	OMIM:619950
12	0.01179434359073639	OMIM:616801	OMIM:616801
13	0.011794880032539368	OMIM:156200	OMIM:156200
14	0.01182375568896532	OMIM:615485	OMIM:615485
15	0.011885974556207657	OMIM:614756	OMIM:614756
16	0.01190255954861641	OMIM:618027	OMIM:618027
17	0.01192296203225851	ORPHA:357001	ORPHA:357001
18	0.011963806115090847	OMIM:619320	OMIM:619320
19	0.012059568427503109	OMIM:620330	OMIM:620330
20	0.012073812074959278	OMIM:618430	OMIM:618430
21	0.01209486648440361	ORPHA:171829	ORPHA:171829
22	0.012282495386898518	OMIM:619325	OMIM:619325
23	0.012329933233559132	ORPHA:247262	ORPHA:247262
24	0.012466519139707088	OMIM:617360	OMIM:617360
25	0.012579703703522682	OMIM:616789	OMIM:616789
26	0.012627623975276947	OMIM:617061	OMIM:617061
27	0.012716913595795631	OMIM:618342	OMIM:618342
28	0.012725450098514557	OMIM:617694	OMIM:617694
29	0.012743390165269375	ORPHA:438216	ORPHA:438216
30	0.012777813710272312	ORPHA:3063	ORPHA:3063
31	0.012799152173101902	OMIM:613792	OMIM:613792
32	0.012847869656980038	OMIM:618106	OMIM:618106
33	0.012850908562541008	OMIM:619383	OMIM:619383
34	0.012860329821705818	ORPHA:369891	ORPHA:369891
35	0.012912221252918243	ORPHA:261211	ORPHA:261211
36	0.012923110276460648	ORPHA:261349	ORPHA:261349
37	0.012961952947080135	OMIM:619179	OMIM:619179
38	0.012980003841221333	OMIM:619297	OMIM:619297
39	0.013011688366532326	ORPHA:251028	ORPHA:251028
40	0.013022213242948055	OMIM:618590	OMIM:618590
41	0.013039820827543736	OMIM:617752	OMIM:617752
42	0.013045864179730415	OMIM:617808	OMIM:617808
43	0.01310716848820448	OMIM:618004	OMIM:618004
44	0.013109742663800716	OMIM:613406	OMIM:613406
45	0.013125067576766014	OMIM:618371	OMIM:618371
46	0.013147520832717419	OMIM:619087	OMIM:619087
47	0.013155107386410236	ORPHA:480907	ORPHA:480907
48	0.013190521858632565	OMIM:615873	OMIM:615873
49	0.013262007385492325	OMIM:309590	OMIM:309590
50	0.01331411860883236	ORPHA:562528	ORPHA:562528
51	0.01331934705376625	OMIM:617796	OMIM:617796
52	0.01332462765276432	OMIM:617157	OMIM:617157
53	0.013326996006071568	OMIM:117550	OMIM:117550
54	0.013353409245610237	OMIM:620113	OMIM:620113
55	0.013370843604207039	OMIM:619841	OMIM:619841
56	0.013398692943155766	OMIM:613776	OMIM:613776
57	0.013418471440672874	ORPHA:397941	ORPHA:397941
58	0.013420182280242443	ORPHA:397709	ORPHA:397709
59	0.013450331054627895	OMIM:618443	OMIM:618443
60	0.013461302034556866	OMIM:618828	OMIM:618828
61	0.013494275510311127	ORPHA:96148	ORPHA:96148
62	0.013516944833099842	OMIM:606232	OMIM:606232
63	0.013521300628781319	ORPHA:363659	ORPHA:363659
64	0.013521349057555199	OMIM:620001	OMIM:620001
65	0.013542020693421364	OMIM:613604	OMIM:613604
66	0.013542266562581062	OMIM:612474	OMIM:612474
67	0.01355726458132267	OMIM:613443	OMIM:613443
68	0.013568534515798092	OMIM:213980	OMIM:213980
69	0.01362532377243042	OMIM:614202	OMIM:614202
70	0.013628661632537842	OMIM:617452	OMIM:617452
71	0.01363223884254694	OMIM:612337	OMIM:612337
72	0.013652392663061619	OMIM:615834	OMIM:615834
73	0.013711480423808098	OMIM:301032	OMIM:301032
74	0.01374158076941967	OMIM:618774	OMIM:618774
75	0.01376500353217125	OMIM:212066	OMIM:212066
76	0.013794458471238613	ORPHA:457279	ORPHA:457279
77	0.01381300576031208	OMIM:300966	OMIM:300966
78	0.013813220895826817	OMIM:620250	OMIM:620250
79	0.013815672136843204	OMIM:619680	OMIM:619680
80	0.013836423866450787	OMIM:619504	OMIM:619504
81	0.013839824125170708	OMIM:615761	OMIM:615761
82	0.01385106798261404	OMIM:613603	OMIM:613603
83	0.013869531452655792	ORPHA:457359	ORPHA:457359
84	0.01389474980533123	ORPHA:251019	ORPHA:251019
85	0.013926457613706589	OMIM:617268	OMIM:617268
86	0.013964315876364708	ORPHA:329224	ORPHA:329224
87	0.013964377343654633	OMIM:309520	OMIM:309520
88	0.013970326632261276	ORPHA:459070	ORPHA:459070
89	0.01399083249270916	OMIM:300895	OMIM:300895
90	0.013993239030241966	OMIM:618622	OMIM:618622
91	0.014059043489396572	OMIM:620070	OMIM:620070
92	0.014099154621362686	ORPHA:261337	ORPHA:261337
93	0.014104479923844337	OMIM:618872	OMIM:618872
94	0.014157664962112904	OMIM:619293	OMIM:619293
95	0.014161261729896069	ORPHA:466791	ORPHA:466791
96	0.014169148169457912	OMIM:609625	OMIM:609625
97	0.014176467433571815	ORPHA:96121	ORPHA:96121
98	0.014243680983781815	ORPHA:505237	ORPHA:505237
99	0.014249837957322598	OMIM:620098	OMIM:620098
100	0.014260493218898773	OMIM:616268	OMIM:616268
101	0.014284533448517323	OMIM:615668	OMIM:615668
102	0.01430599857121706	ORPHA:238750	ORPHA:238750
103	0.014319674111902714	OMIM:618929	OMIM:618929
104	0.014339839108288288	ORPHA:314647	ORPHA:314647
105	0.014365528710186481	OMIM:610759	OMIM:610759
106	0.014370138756930828	OMIM:610954	OMIM:610954
107	0.01437210664153099	OMIM:618580	OMIM:618580
108	0.014381078071892262	OMIM:617557	OMIM:617557
109	0.014515796676278114	ORPHA:466950	ORPHA:466950
110	0.014561573974788189	OMIM:300882	OMIM:300882
111	0.014565406367182732	ORPHA:466943	ORPHA:466943
112	0.01458292081952095	ORPHA:261323	ORPHA:261323
113	0.014586232602596283	OMIM:619435	OMIM:619435
114	0.014597788453102112	OMIM:613174	OMIM:613174
115	0.0145996930077672	OMIM:239300	OMIM:239300
116	0.014605074189603329	OMIM:618506	OMIM:618506
117	0.014624301344156265	ORPHA:289522	ORPHA:289522
118	0.014629376120865345	OMIM:601088	OMIM:601088
119	0.01464577205479145	OMIM:619124	OMIM:619124
120	0.014655009843409061	ORPHA:369950	ORPHA:369950
121	0.014693683944642544	OMIM:617260	OMIM:617260
122	0.01470612920820713	OMIM:615803	OMIM:615803
123	0.014742830768227577	OMIM:619005	OMIM:619005
124	0.014755240641534328	OMIM:619244	OMIM:619244
125	0.014799022115767002	OMIM:309500	OMIM:309500
126	0.01482430286705494	ORPHA:404440	ORPHA:404440
127	0.014826842583715916	OMIM:244450	OMIM:244450
128	0.014847780577838421	ORPHA:261144	ORPHA:261144
129	0.01486186869442463	ORPHA:435638	ORPHA:435638
130	0.014875883236527443	OMIM:620075	OMIM:620075
131	0.014878369867801666	OMIM:616078	OMIM:616078
132	0.014885835349559784	OMIM:617982	OMIM:617982
133	0.014906066469848156	OMIM:309580	OMIM:309580
134	0.014906680211424828	OMIM:618050	OMIM:618050
135	0.014911098405718803	OMIM:619695	OMIM:619695
136	0.01491252239793539	OMIM:617140	OMIM:617140
137	0.014937500469386578	ORPHA:261250	ORPHA:261250
138	0.015007933601737022	OMIM:616351	OMIM:616351
139	0.015033874660730362	ORPHA:352577	ORPHA:352577
140	0.015033913776278496	OMIM:616920	OMIM:616920
141	0.015086466446518898	OMIM:616737	OMIM:616737
142	0.01508678961545229	OMIM:612513	OMIM:612513
143	0.01509984489530325	OMIM:618659	OMIM:618659
144	0.015105532482266426	OMIM:619480	OMIM:619480
145	0.015107374638319016	ORPHA:420179	ORPHA:420179
146	0.015128782950341702	OMIM:616638	OMIM:616638
147	0.01513111125677824	OMIM:616708	OMIM:616708
148	0.015160595998167992	OMIM:618089	OMIM:618089
149	0.015169487334787846	ORPHA:93932	ORPHA:93932
150	0.015176570042967796	ORPHA:177907	ORPHA:177907
151	0.015208895318210125	OMIM:301022	OMIM:301022
152	0.015214336104691029	ORPHA:352530	ORPHA:352530
153	0.01522297877818346	OMIM:115150	OMIM:115150
154	0.015233978629112244	OMIM:615009	OMIM:615009
155	0.015248940326273441	OMIM:618971	OMIM:618971
156	0.015256226994097233	OMIM:619762	OMIM:619762
157	0.015270615927875042	OMIM:618672	OMIM:618672
158	0.015285631641745567	ORPHA:319182	ORPHA:319182
159	0.015294116921722889	OMIM:617011	OMIM:617011
160	0.015299923717975616	ORPHA:3309	ORPHA:3309
161	0.01532159186899662	OMIM:309583	OMIM:309583
162	0.015352551825344563	OMIM:303600	OMIM:303600
163	0.015371895395219326	ORPHA:363528	ORPHA:363528
164	0.015398601070046425	OMIM:602342	OMIM:602342
165	0.01543396431952715	OMIM:619934	OMIM:619934
166	0.015439868904650211	OMIM:300590	OMIM:300590
