rank	score	disease_name	disease_identifier
1	0.022416993975639343	OMIM:194380	OMIM:194380
2	0.024923929944634438	OMIM:616860	OMIM:616860
3	0.025699421763420105	OMIM:616649	OMIM:616649
4	0.025795310735702515	OMIM:185000	OMIM:185000
5	0.027217425405979156	ORPHA:288	ORPHA:288
6	0.02866857312619686	OMIM:237800	OMIM:237800
7	0.028950519859790802	OMIM:612653	OMIM:612653
8	0.029201582074165344	OMIM:616689	OMIM:616689
9	0.029304856434464455	OMIM:612690	OMIM:612690
10	0.02970116212964058	ORPHA:766	ORPHA:766
11	0.030111752450466156	OMIM:615631	OMIM:615631
12	0.030668392777442932	OMIM:224120	OMIM:224120
13	0.031722091138362885	OMIM:266200	OMIM:266200
14	0.03196876868605614	OMIM:613673	OMIM:613673
15	0.03254157304763794	ORPHA:3203	ORPHA:3203
16	0.0330260694026947	OMIM:613977	OMIM:613977
17	0.033210743218660355	ORPHA:846	ORPHA:846
18	0.03344527631998062	OMIM:179700	OMIM:179700
19	0.033732905983924866	ORPHA:71275	ORPHA:71275
20	0.03525354713201523	ORPHA:3202	ORPHA:3202
21	0.035629674792289734	OMIM:235700	OMIM:235700
22	0.03604170307517052	ORPHA:98870	ORPHA:98870
23	0.037397243082523346	ORPHA:822	ORPHA:822
24	0.03874201327562332	OMIM:615234	OMIM:615234
25	0.03937813639640808	OMIM:618892	OMIM:618892
26	0.04089066758751869	ORPHA:64743	ORPHA:64743
27	0.041179459542036057	OMIM:603903	OMIM:603903
28	0.04158599302172661	ORPHA:824	ORPHA:824
29	0.04160069301724434	OMIM:185020	OMIM:185020
30	0.042041514068841934	OMIM:618963	OMIM:618963
31	0.04324273392558098	OMIM:210250	OMIM:210250
32	0.04341937229037285	ORPHA:79477	ORPHA:79477
33	0.04460062459111214	ORPHA:158029	ORPHA:158029
34	0.044606730341911316	OMIM:603552	OMIM:603552
35	0.04469911381602287	ORPHA:79277	ORPHA:79277
36	0.04568323493003845	ORPHA:540	ORPHA:540
37	0.04605545476078987	OMIM:300835	OMIM:300835
38	0.046217042952775955	OMIM:611881	OMIM:611881
39	0.046301621943712234	OMIM:300908	OMIM:300908
40	0.046319734305143356	OMIM:611804	OMIM:611804
41	0.04660821333527565	ORPHA:46532	ORPHA:46532
42	0.0471084900200367	ORPHA:507	ORPHA:507
43	0.0471743568778038	OMIM:616959	OMIM:616959
44	0.047314196825027466	ORPHA:231222	ORPHA:231222
45	0.04764731228351593	ORPHA:398124	ORPHA:398124
46	0.04781974107027054	ORPHA:480520	ORPHA:480520
47	0.04818054661154747	OMIM:214900	OMIM:214900
48	0.04834857955574989	ORPHA:232	ORPHA:232
49	0.04836099594831467	OMIM:133180	OMIM:133180
50	0.04838728532195091	ORPHA:848	ORPHA:848
51	0.049023885279893875	ORPHA:231214	ORPHA:231214
52	0.049074795097112656	ORPHA:90044	ORPHA:90044
53	0.049464769661426544	OMIM:314050	OMIM:314050
54	0.04964152351021767	ORPHA:300298	ORPHA:300298
55	0.04970141500234604	OMIM:301083	OMIM:301083
56	0.04998954385519028	OMIM:312500	OMIM:312500
57	0.050000857561826706	OMIM:619463	OMIM:619463
58	0.05001202970743179	OMIM:612840	OMIM:612840
59	0.05040639266371727	ORPHA:251380	ORPHA:251380
60	0.05063613876700401	ORPHA:75564	ORPHA:75564
61	0.05065786466002464	OMIM:613011	OMIM:613011
62	0.05066239833831787	OMIM:614034	OMIM:614034
63	0.0508161298930645	ORPHA:231226	ORPHA:231226
64	0.050890352576971054	OMIM:617441	OMIM:617441
65	0.05106233060359955	OMIM:209950	OMIM:209950
66	0.051124438643455505	ORPHA:100024	ORPHA:100024
67	0.051152653992176056	OMIM:613313	OMIM:613313
68	0.051317453384399414	OMIM:611490	OMIM:611490
69	0.05173098295927048	OMIM:278000	OMIM:278000
70	0.051802050322294235	ORPHA:2330	ORPHA:2330
71	0.05183571204543114	OMIM:613471	OMIM:613471
72	0.05226128175854683	ORPHA:171	ORPHA:171
73	0.052312497049570084	ORPHA:33226	ORPHA:33226
74	0.05234917998313904	ORPHA:75234	ORPHA:75234
75	0.0525873564183712	ORPHA:88	ORPHA:88
76	0.05272667109966278	ORPHA:294	ORPHA:294
77	0.05279308184981346	ORPHA:3226	ORPHA:3226
78	0.05280330404639244	OMIM:182900	OMIM:182900
79	0.052954383194446564	OMIM:603902	OMIM:603902
80	0.05299396812915802	OMIM:617948	OMIM:617948
81	0.05307028442621231	OMIM:246400	OMIM:246400
82	0.053160570561885834	OMIM:263700	OMIM:263700
83	0.05326656252145767	OMIM:601775	OMIM:601775
84	0.053415048867464066	ORPHA:163596	ORPHA:163596
85	0.05368954688310623	OMIM:206400	OMIM:206400
