rank	score	disease_name	disease_identifier
1	0.016020765528082848	ORPHA:370010	ORPHA:370010
2	0.01602652482688427	OMIM:190351	OMIM:190351
3	0.01607310213148594	OMIM:180870	OMIM:180870
4	0.017077555879950523	OMIM:170390	OMIM:170390
5	0.017216453328728676	OMIM:617604	OMIM:617604
6	0.018063049763441086	OMIM:618724	OMIM:618724
7	0.018186965957283974	OMIM:614813	OMIM:614813
8	0.018234767019748688	OMIM:600383	OMIM:600383
9	0.018468491733074188	OMIM:614078	OMIM:614078
10	0.01852266490459442	OMIM:616723	OMIM:616723
11	0.018612096086144447	OMIM:166250	OMIM:166250
12	0.01863568089902401	OMIM:607095	OMIM:607095
13	0.01891101524233818	OMIM:151200	OMIM:151200
14	0.018961818888783455	OMIM:611717	OMIM:611717
15	0.019206425175070763	ORPHA:56304	ORPHA:56304
16	0.01922694966197014	OMIM:616651	OMIM:616651
17	0.01930174045264721	OMIM:268305	OMIM:268305
18	0.019399387761950493	OMIM:210720	OMIM:210720
19	0.019463123753666878	OMIM:615777	OMIM:615777
20	0.019687898457050323	ORPHA:319675	ORPHA:319675
21	0.019689857959747314	OMIM:226960	OMIM:226960
22	0.019910987466573715	OMIM:271700	OMIM:271700
23	0.01999329775571823	OMIM:184260	OMIM:184260
24	0.02004740945994854	ORPHA:420794	ORPHA:420794
25	0.02011408470571041	ORPHA:353298	ORPHA:353298
26	0.0201281551271677	OMIM:268310	OMIM:268310
27	0.020359814167022705	OMIM:114290	OMIM:114290
28	0.02038922905921936	ORPHA:2249	ORPHA:2249
29	0.020634861662983894	OMIM:224690	OMIM:224690
30	0.020649349316954613	ORPHA:3103	ORPHA:3103
31	0.02069033868610859	OMIM:212720	OMIM:212720
32	0.020773475989699364	OMIM:108720	OMIM:108720
33	0.021023767068982124	OMIM:171480	OMIM:171480
34	0.021031400188803673	OMIM:139210	OMIM:139210
35	0.021216461434960365	OMIM:210710	OMIM:210710
36	0.021352121606469154	ORPHA:93357	ORPHA:93357
37	0.02149033732712269	ORPHA:457395	ORPHA:457395
