rank	score	disease_name	disease_identifier
1	0.08249121159315109	OMIM:615425	OMIM:615425
2	0.08506117016077042	ORPHA:79401	ORPHA:79401
3	0.08617062121629715	OMIM:619785	OMIM:619785
4	0.08716318756341934	ORPHA:455	ORPHA:455
5	0.08812186121940613	ORPHA:79481	ORPHA:79481
6	0.08908027410507202	OMIM:609796	OMIM:609796
7	0.08958344161510468	ORPHA:33408	ORPHA:33408
8	0.08991822600364685	ORPHA:89843	ORPHA:89843
9	0.09129108488559723	ORPHA:254478	ORPHA:254478
10	0.09370952099561691	ORPHA:1658	ORPHA:1658
11	0.09409263730049133	ORPHA:555905	ORPHA:555905
12	0.09412047266960144	ORPHA:158681	ORPHA:158681
13	0.09434888511896133	ORPHA:79410	ORPHA:79410
14	0.09435421228408813	ORPHA:525	ORPHA:525
15	0.09476923942565918	ORPHA:79411	ORPHA:79411
16	0.0952545776963234	ORPHA:79405	ORPHA:79405
17	0.09603314101696014	OMIM:131900	OMIM:131900
18	0.09604351967573166	ORPHA:2337	ORPHA:2337
19	0.09609226882457733	ORPHA:89838	ORPHA:89838
20	0.09615156054496765	ORPHA:2897	ORPHA:2897
21	0.09702447801828384	OMIM:607602	OMIM:607602
22	0.09709474444389343	ORPHA:158673	ORPHA:158673
23	0.09766320139169693	ORPHA:79406	ORPHA:79406
24	0.09854957461357117	ORPHA:263534	ORPHA:263534
25	0.09860605001449585	OMIM:146590	OMIM:146590
26	0.09885622560977936	ORPHA:464318	ORPHA:464318
27	0.09970903396606445	ORPHA:218	ORPHA:218
28	0.10038568824529648	OMIM:619555	OMIM:619555
29	0.10145363211631775	OMIM:132000	OMIM:132000
30	0.10163658857345581	ORPHA:79480	ORPHA:79480
31	0.10166148841381073	ORPHA:79409	ORPHA:79409
32	0.10231493413448334	ORPHA:231568	ORPHA:231568
33	0.10276317596435547	ORPHA:69745	ORPHA:69745
34	0.10285425186157227	OMIM:620148	OMIM:620148
35	0.10316888988018036	ORPHA:1656	ORPHA:1656
36	0.10335972160100937	ORPHA:79399	ORPHA:79399
37	0.10401429235935211	OMIM:615028	OMIM:615028
38	0.10438858717679977	OMIM:616295	OMIM:616295
39	0.10469535738229752	ORPHA:166113	ORPHA:166113
40	0.10519251227378845	OMIM:601001	OMIM:601001
41	0.10527658462524414	ORPHA:2584	ORPHA:2584
42	0.10551445186138153	ORPHA:542592	ORPHA:542592
43	0.10580320656299591	ORPHA:79147	ORPHA:79147
44	0.10673753172159195	OMIM:113800	OMIM:113800
45	0.10717273503541946	ORPHA:280794	ORPHA:280794
46	0.1072201058268547	ORPHA:46487	ORPHA:46487
47	0.10755898058414459	ORPHA:79397	ORPHA:79397
48	0.10756651312112808	ORPHA:398189	ORPHA:398189
