rank	score	disease_name	disease_identifier
1	0.01404459960758686	OMIM:609015	OMIM:609015
2	0.0140489237383008	ORPHA:254864	ORPHA:254864
3	0.014353197999298573	ORPHA:26791	ORPHA:26791
4	0.014804461970925331	ORPHA:17	ORPHA:17
5	0.014829184859991074	OMIM:613561	OMIM:613561
6	0.014993666671216488	OMIM:124000	OMIM:124000
7	0.015055089257657528	OMIM:610505	OMIM:610505
8	0.015146927908062935	OMIM:619046	OMIM:619046
9	0.01533362828195095	OMIM:616539	OMIM:616539
10	0.015551429241895676	OMIM:615595	OMIM:615595
11	0.01566644385457039	OMIM:500009	OMIM:500009
12	0.01616678573191166	OMIM:220110	OMIM:220110
13	0.016280505806207657	ORPHA:308552	ORPHA:308552
14	0.016425183042883873	OMIM:252010	OMIM:252010
15	0.016430413350462914	OMIM:251900	OMIM:251900
16	0.016498303040862083	OMIM:618329	OMIM:618329
17	0.01653265953063965	ORPHA:365	ORPHA:365
18	0.01700933650135994	OMIM:615418	OMIM:615418
19	0.01704738847911358	OMIM:245400	OMIM:245400
20	0.017571860924363136	OMIM:212140	OMIM:212140
21	0.017813177779316902	ORPHA:42	ORPHA:42
22	0.01781466230750084	OMIM:616794	OMIM:616794
23	0.017851993441581726	OMIM:610131	OMIM:610131
24	0.01816384308040142	OMIM:619062	OMIM:619062
25	0.018212804570794106	ORPHA:255210	ORPHA:255210
26	0.018362179398536682	ORPHA:2609	ORPHA:2609
27	0.018362872302532196	ORPHA:506	ORPHA:506
28	0.018392212688922882	OMIM:617248	OMIM:617248
29	0.01841076649725437	ORPHA:70472	ORPHA:70472
30	0.01846437156200409	ORPHA:436271	ORPHA:436271
31	0.018515439704060555	OMIM:616974	OMIM:616974
32	0.018694384023547173	OMIM:605711	OMIM:605711
33	0.018797991797327995	OMIM:212350	OMIM:212350
34	0.018806591629981995	OMIM:615512	OMIM:615512
35	0.019002962857484818	ORPHA:324525	ORPHA:324525
36	0.019020281732082367	OMIM:255125	OMIM:255125
37	0.01906472072005272	OMIM:616878	OMIM:616878
38	0.019212935119867325	OMIM:615330	OMIM:615330
39	0.019267613068223	OMIM:614299	OMIM:614299
40	0.019313152879476547	OMIM:600462	OMIM:600462
41	0.019316380843520164	OMIM:256810	OMIM:256810
42	0.01935725472867489	OMIM:614924	OMIM:614924
43	0.019384115934371948	OMIM:614654	OMIM:614654
44	0.019640002399683	OMIM:255100	OMIM:255100
45	0.019703319296240807	ORPHA:238329	ORPHA:238329
46	0.01976379193365574	ORPHA:98908	ORPHA:98908
47	0.019821956753730774	ORPHA:258	ORPHA:258
48	0.019830895587801933	OMIM:612073	OMIM:612073
49	0.01985492929816246	OMIM:614399	OMIM:614399
50	0.019856957718729973	ORPHA:2394	ORPHA:2394
51	0.019995827227830887	OMIM:616111	OMIM:616111
52	0.020252052694559097	OMIM:620275	OMIM:620275
53	0.020298399031162262	OMIM:604377	OMIM:604377
54	0.0203112605959177	OMIM:232300	OMIM:232300
55	0.02048088237643242	OMIM:619051	OMIM:619051
56	0.02061985619366169	OMIM:618247	OMIM:618247
57	0.020680872723460197	ORPHA:746	ORPHA:746
58	0.02069653756916523	OMIM:255320	OMIM:255320
59	0.020726656541228294	OMIM:610717	OMIM:610717
60	0.020769590511918068	ORPHA:66634	ORPHA:66634
61	0.020805304870009422	ORPHA:254892	ORPHA:254892
62	0.020816132426261902	OMIM:616299	OMIM:616299
63	0.020843373611569405	ORPHA:445038	ORPHA:445038
64	0.020916011184453964	OMIM:618250	OMIM:618250
65	0.02095167525112629	OMIM:616239	OMIM:616239
