rank	score	disease_name	disease_identifier
1	0.037330467253923416	OMIM:601003	OMIM:601003
2	0.038512829691171646	OMIM:606072	OMIM:606072
3	0.039660681039094925	OMIM:608390	OMIM:608390
4	0.04279017820954323	ORPHA:682	ORPHA:682
5	0.044721897691488266	ORPHA:684	ORPHA:684
6	0.044776398688554764	OMIM:612933	OMIM:612933
7	0.045011796057224274	ORPHA:84142	ORPHA:84142
8	0.045809585601091385	OMIM:615511	OMIM:615511
9	0.04610154777765274	OMIM:609200	OMIM:609200
10	0.04666987434029579	ORPHA:681	ORPHA:681
11	0.04672250151634216	OMIM:160800	OMIM:160800
12	0.04683535546064377	OMIM:168300	OMIM:168300
13	0.04733556881546974	OMIM:255700	OMIM:255700
14	0.047562092542648315	OMIM:600332	OMIM:600332
15	0.04787655919790268	ORPHA:99736	ORPHA:99736
16	0.04806091636419296	ORPHA:79102	ORPHA:79102
17	0.048218127340078354	OMIM:123320	OMIM:123320
18	0.04919348657131195	OMIM:620138	OMIM:620138
19	0.04924056679010391	ORPHA:488650	ORPHA:488650
20	0.04961653798818588	ORPHA:209335	ORPHA:209335
21	0.04994940385222435	ORPHA:2364	ORPHA:2364
22	0.050085652619600296	ORPHA:99735	ORPHA:99735
23	0.05042730271816254	ORPHA:206546	ORPHA:206546
24	0.05047624930739403	OMIM:616231	OMIM:616231
25	0.05090244859457016	ORPHA:276435	ORPHA:276435
26	0.052596624940633774	ORPHA:98911	ORPHA:98911
27	0.05294199660420418	ORPHA:99734	ORPHA:99734
28	0.053074054419994354	OMIM:615048	OMIM:615048
29	0.05328546091914177	ORPHA:597	ORPHA:597
30	0.053376708179712296	OMIM:611588	OMIM:611588
31	0.05357817932963371	ORPHA:98855	ORPHA:98855
32	0.05372251197695732	OMIM:251900	OMIM:251900
33	0.053849831223487854	ORPHA:353327	ORPHA:353327
34	0.05410458520054817	ORPHA:228302	ORPHA:228302
35	0.054144781082868576	ORPHA:611	ORPHA:611
36	0.0543639175593853	OMIM:500009	OMIM:500009
37	0.05438468977808952	OMIM:614321	OMIM:614321
38	0.05447453260421753	OMIM:610717	OMIM:610717
39	0.054500479251146317	ORPHA:368	ORPHA:368
40	0.05473104491829872	OMIM:261670	OMIM:261670
41	0.05478009954094887	ORPHA:171442	ORPHA:171442
42	0.05495040863752365	OMIM:300376	OMIM:300376
43	0.05519703030586243	OMIM:160565	OMIM:160565
44	0.05528031662106514	OMIM:500002	OMIM:500002
45	0.0554611012339592	ORPHA:261	ORPHA:261
45	0.0554611012339592	ORPHA:98853	ORPHA:98853
47	0.05549617484211922	ORPHA:3197	ORPHA:3197
48	0.05561325326561928	ORPHA:397744	ORPHA:397744
49	0.055721234530210495	OMIM:613345	OMIM:613345
50	0.05579715594649315	OMIM:160150	OMIM:160150
51	0.056022197008132935	ORPHA:98863	ORPHA:98863
52	0.05613492801785469	OMIM:300559	OMIM:300559
53	0.056280769407749176	OMIM:545000	OMIM:545000
54	0.05631827563047409	OMIM:170400	OMIM:170400
55	0.05642310157418251	ORPHA:424107	ORPHA:424107
56	0.056492481380701065	ORPHA:97240	ORPHA:97240
57	0.0566181056201458	OMIM:254110	OMIM:254110
58	0.05702038109302521	ORPHA:98908	ORPHA:98908
59	0.05707935243844986	OMIM:617760	OMIM:617760
60	0.05710265785455704	ORPHA:171445	ORPHA:171445
61	0.05711735412478447	ORPHA:324442	ORPHA:324442
62	0.05713061988353729	ORPHA:309169	ORPHA:309169
63	0.057154666632413864	ORPHA:228305	ORPHA:228305
64	0.05716552585363388	ORPHA:2400	ORPHA:2400
65	0.057172663509845734	OMIM:613530	OMIM:613530
66	0.05718906596302986	ORPHA:42	ORPHA:42
67	0.05735703557729721	OMIM:602668	OMIM:602668
68	0.05735993757843971	ORPHA:99845	ORPHA:99845
69	0.05764139071106911	ORPHA:206549	ORPHA:206549
70	0.05774451047182083	OMIM:609273	OMIM:609273
71	0.057789240032434464	ORPHA:399058	ORPHA:399058
72	0.05779987573623657	OMIM:619733	OMIM:619733
73	0.058032289147377014	OMIM:607855	OMIM:607855
74	0.0585118904709816	OMIM:158810	OMIM:158810
75	0.058541446924209595	OMIM:245340	OMIM:245340
76	0.058567196130752563	OMIM:158400	OMIM:158400
77	0.0587320402264595	OMIM:613157	OMIM:613157
78	0.058787185698747635	ORPHA:371	ORPHA:371
79	0.05883851647377014	OMIM:618414	OMIM:618414
80	0.05888574197888374	OMIM:608810	OMIM:608810
81	0.05893242359161377	ORPHA:206569	ORPHA:206569
82	0.0589461587369442	OMIM:620249	OMIM:620249
83	0.05901705473661423	OMIM:613954	OMIM:613954
84	0.05911104381084442	OMIM:604801	OMIM:604801
85	0.05911833047866821	OMIM:300816	OMIM:300816
86	0.059247490018606186	OMIM:137200	OMIM:137200
87	0.059379782527685165	OMIM:620386	OMIM:620386
88	0.05948162451386452	OMIM:615424	OMIM:615424
89	0.05979884788393974	ORPHA:598	ORPHA:598
90	0.05990254506468773	OMIM:616471	OMIM:616471
91	0.059966932982206345	OMIM:310440	OMIM:310440
92	0.06010964885354042	OMIM:611705	OMIM:611705
93	0.060166843235492706	OMIM:609153	OMIM:609153
94	0.06027979031205177	OMIM:255125	OMIM:255125
95	0.06029321253299713	OMIM:613204	OMIM:613204
96	0.06036903336644173	OMIM:161800	OMIM:161800
97	0.060427382588386536	ORPHA:254892	ORPHA:254892
98	0.060791015625	OMIM:310200	OMIM:310200
99	0.06082215532660484	ORPHA:1878	ORPHA:1878
100	0.06084514781832695	OMIM:616852	OMIM:616852
101	0.06091400608420372	OMIM:609452	OMIM:609452
102	0.06094905361533165	OMIM:618416	OMIM:618416
103	0.061036117374897	ORPHA:713	ORPHA:713
104	0.061097677797079086	ORPHA:369840	ORPHA:369840
105	0.06133288890123367	OMIM:617114	OMIM:617114
106	0.061361514031887054	OMIM:608099	OMIM:608099
107	0.06153557449579239	OMIM:613327	OMIM:613327
108	0.06153680756688118	ORPHA:178464	ORPHA:178464
109	0.0615931935608387	ORPHA:363623	ORPHA:363623
110	0.06167096644639969	OMIM:616812	OMIM:616812
111	0.06168442592024803	ORPHA:139485	ORPHA:139485
112	0.061730243265628815	ORPHA:353	ORPHA:353
113	0.06175427883863449	ORPHA:254361	ORPHA:254361
114	0.0617634542286396	OMIM:615418	OMIM:615418
115	0.06179824844002724	OMIM:255320	OMIM:255320
116	0.062041446566581726	ORPHA:352470	ORPHA:352470
117	0.062118299305438995	ORPHA:169189	ORPHA:169189
118	0.062133438885211945	OMIM:619040	OMIM:619040
119	0.06219862774014473	ORPHA:98902	ORPHA:98902
120	0.06225375086069107	ORPHA:263494	ORPHA:263494
121	0.06231418251991272	ORPHA:86812	ORPHA:86812
122	0.062387578189373016	OMIM:617072	OMIM:617072
123	0.062489207834005356	OMIM:154276	OMIM:154276
124	0.06251788139343262	OMIM:181350	OMIM:181350
125	0.06258440762758255	ORPHA:99965	ORPHA:99965
126	0.06263644248247147	OMIM:300842	OMIM:300842
127	0.06279034912586212	OMIM:620235	OMIM:620235
128	0.06287679821252823	OMIM:611105	OMIM:611105
129	0.06291773915290833	OMIM:608840	OMIM:608840
130	0.06292296946048737	ORPHA:610	ORPHA:610
131	0.06300444155931473	ORPHA:238329	ORPHA:238329
132	0.06308481097221375	OMIM:182980	OMIM:182980
133	0.06311997026205063	ORPHA:171439	ORPHA:171439
134	0.06314823031425476	ORPHA:3299	ORPHA:3299
135	0.06318015605211258	ORPHA:119	ORPHA:119
136	0.06343134492635727	OMIM:313200	OMIM:313200
137	0.06344173103570938	OMIM:606703	OMIM:606703
138	0.06344692409038544	OMIM:616924	OMIM:616924
139	0.06354127079248428	OMIM:160500	OMIM:160500
140	0.06358030438423157	OMIM:300696	OMIM:300696
141	0.06359099596738815	OMIM:619065	OMIM:619065
142	0.06361332535743713	ORPHA:101082	ORPHA:101082
143	0.0636332631111145	OMIM:268200	OMIM:268200
144	0.06364244967699051	OMIM:300717	OMIM:300717
145	0.06365811079740524	OMIM:254950	OMIM:254950
146	0.06390798091888428	ORPHA:34515	ORPHA:34515
147	0.06392139196395874	OMIM:616228	OMIM:616228
148	0.06392722576856613	OMIM:605355	OMIM:605355
149	0.06398190557956696	OMIM:613723	OMIM:613723
150	0.06402119249105453	OMIM:606612	OMIM:606612
151	0.06404830515384674	OMIM:618138	OMIM:618138
