rank	score	disease_name	disease_identifier
1	0.058150485157966614	ORPHA:66529	ORPHA:66529
2	0.060107361525297165	ORPHA:1344	ORPHA:1344
3	0.06031642109155655	ORPHA:334	ORPHA:334
4	0.0646509900689125	OMIM:609620	OMIM:609620
5	0.06509590893983841	ORPHA:3286	ORPHA:3286
6	0.06553438305854797	ORPHA:101016	ORPHA:101016
7	0.0659259781241417	ORPHA:871	ORPHA:871
8	0.06624290347099304	ORPHA:130	ORPHA:130
9	0.06762958317995071	OMIM:613838	OMIM:613838
10	0.06883113831281662	OMIM:601154	OMIM:601154
11	0.06935205310583115	OMIM:609040	OMIM:609040
12	0.06982842832803726	ORPHA:99103	ORPHA:99103
13	0.07012125849723816	ORPHA:51083	ORPHA:51083
14	0.07048916816711426	ORPHA:90647	ORPHA:90647
15	0.07080896943807602	OMIM:600858	OMIM:600858
16	0.07109510898590088	OMIM:604400	OMIM:604400
17	0.07119151949882507	OMIM:608758	OMIM:608758
18	0.07190877944231033	OMIM:616399	OMIM:616399
19	0.07267259806394577	OMIM:611875	OMIM:611875
20	0.07267673313617706	OMIM:611818	OMIM:611818
21	0.07292405515909195	ORPHA:99104	ORPHA:99104
22	0.07306498289108276	OMIM:600919	OMIM:600919
23	0.0736682116985321	OMIM:613485	OMIM:613485
24	0.07392402738332748	ORPHA:99105	ORPHA:99105
25	0.07508572936058044	ORPHA:464453	ORPHA:464453
26	0.07621295750141144	ORPHA:422	ORPHA:422
27	0.0765623077750206	OMIM:615745	OMIM:615745
28	0.07687798142433167	OMIM:613243	OMIM:613243
29	0.07725007832050323	OMIM:612098	OMIM:612098
30	0.0775454044342041	OMIM:613980	OMIM:613980
31	0.07760363072156906	OMIM:619464	OMIM:619464
32	0.07847195863723755	ORPHA:97214	ORPHA:97214
33	0.07848722487688065	OMIM:614916	OMIM:614916
34	0.07848769426345825	OMIM:603829	OMIM:603829
35	0.07864297181367874	ORPHA:466677	ORPHA:466677
36	0.07881733030080795	ORPHA:75565	ORPHA:75565
37	0.07894209027290344	ORPHA:99106	ORPHA:99106
38	0.07904522120952606	OMIM:609621	OMIM:609621
39	0.07949086278676987	ORPHA:3282	ORPHA:3282
40	0.07979996502399445	OMIM:613695	OMIM:613695
41	0.08028638362884521	OMIM:604772	OMIM:604772
42	0.08046698570251465	ORPHA:1677	ORPHA:1677
43	0.08102046698331833	ORPHA:563	ORPHA:563
44	0.08109253644943237	OMIM:192500	OMIM:192500
45	0.08130710572004318	ORPHA:263297	ORPHA:263297
46	0.0820176973938942	OMIM:163800	OMIM:163800
47	0.08272234350442886	OMIM:614021	OMIM:614021
