rank	score	disease_name	disease_identifier
1	0.014008322730660439	OMIM:608104	OMIM:608104
2	0.01437075063586235	OMIM:617053	OMIM:617053
3	0.01457956898957491	OMIM:619991	OMIM:619991
4	0.014632832258939743	ORPHA:79324	ORPHA:79324
5	0.014656861312687397	OMIM:616395	OMIM:616395
6	0.015536339022219181	OMIM:243800	OMIM:243800
7	0.01558003295212984	OMIM:607143	OMIM:607143
8	0.015618330799043179	ORPHA:79325	ORPHA:79325
9	0.01574094407260418	OMIM:617052	OMIM:617052
10	0.015886925160884857	OMIM:620005	OMIM:620005
11	0.015903862193226814	OMIM:608013	OMIM:608013
12	0.015980789437890053	OMIM:613658	OMIM:613658
13	0.015981782227754593	ORPHA:534	ORPHA:534
14	0.016024965792894363	OMIM:619488	OMIM:619488
15	0.016091307625174522	OMIM:242900	OMIM:242900
16	0.01619739830493927	ORPHA:79329	ORPHA:79329
17	0.016368508338928223	ORPHA:79330	ORPHA:79330
18	0.01646503247320652	OMIM:612541	OMIM:612541
19	0.01658059097826481	OMIM:227645	OMIM:227645
20	0.01674678921699524	OMIM:610377	OMIM:610377
21	0.01679600588977337	OMIM:614866	OMIM:614866
22	0.017006730660796165	ORPHA:79318	ORPHA:79318
23	0.017100580036640167	OMIM:614576	OMIM:614576
24	0.017269376665353775	OMIM:242840	OMIM:242840
25	0.017315393313765526	ORPHA:699	ORPHA:699
26	0.01732034422457218	ORPHA:85212	ORPHA:85212
27	0.017372414469718933	ORPHA:124	ORPHA:124
28	0.0175186637789011	OMIM:188400	OMIM:188400
29	0.01766021177172661	OMIM:212065	OMIM:212065
30	0.017698995769023895	OMIM:619418	OMIM:619418
31	0.017794935032725334	ORPHA:567	ORPHA:567
32	0.01780281402170658	ORPHA:84064	ORPHA:84064
33	0.017805110663175583	OMIM:608836	OMIM:608836
34	0.01786080189049244	OMIM:277380	OMIM:277380
35	0.017905786633491516	ORPHA:231214	ORPHA:231214
36	0.017928311601281166	OMIM:618183	OMIM:618183
37	0.01804986037313938	OMIM:259720	OMIM:259720
38	0.018070263788104057	OMIM:214110	OMIM:214110
39	0.01812354288995266	ORPHA:83617	ORPHA:83617
40	0.018148845061659813	OMIM:270400	OMIM:270400
41	0.01819446124136448	ORPHA:231226	ORPHA:231226
42	0.01840534247457981	OMIM:305000	OMIM:305000
43	0.018427256494760513	OMIM:241500	OMIM:241500
44	0.018460042774677277	OMIM:618268	OMIM:618268
45	0.018491636961698532	OMIM:617303	OMIM:617303
46	0.01866520382463932	ORPHA:1830	ORPHA:1830
47	0.018685080111026764	OMIM:222470	OMIM:222470
48	0.018723180517554283	OMIM:603467	OMIM:603467
49	0.018854068592190742	ORPHA:251009	ORPHA:251009
50	0.018857982009649277	ORPHA:2785	ORPHA:2785
51	0.01886923797428608	OMIM:614520	OMIM:614520
52	0.01888267695903778	ORPHA:2136	ORPHA:2136
53	0.01893528364598751	OMIM:617941	OMIM:617941
54	0.018945978954434395	OMIM:617475	OMIM:617475
55	0.01895015314221382	OMIM:269920	OMIM:269920
56	0.01898614875972271	OMIM:608779	OMIM:608779
57	0.019080493599176407	ORPHA:508542	ORPHA:508542
58	0.019109750166535378	ORPHA:3455	ORPHA:3455
59	0.019124895334243774	ORPHA:505248	ORPHA:505248
60	0.019146369770169258	OMIM:219150	OMIM:219150
61	0.019155653193593025	OMIM:614052	OMIM:614052
62	0.019156958907842636	ORPHA:79332	ORPHA:79332
63	0.019176345318555832	OMIM:227646	OMIM:227646
64	0.01918276585638523	OMIM:301056	OMIM:301056
65	0.01923946477472782	ORPHA:99226	ORPHA:99226
65	0.01923946477472782	ORPHA:99228	ORPHA:99228
65	0.01923946477472782	ORPHA:881	ORPHA:881
65	0.01923946477472782	ORPHA:99413	ORPHA:99413
69	0.019251815974712372	OMIM:618460	OMIM:618460
70	0.01926194131374359	ORPHA:235	ORPHA:235
71	0.019286809489130974	OMIM:619503	OMIM:619503
72	0.019291767850518227	OMIM:618156	OMIM:618156
73	0.01929893158376217	ORPHA:168569	ORPHA:168569
74	0.019314449280500412	OMIM:210900	OMIM:210900
75	0.019339965656399727	OMIM:619525	OMIM:619525
76	0.019359203055500984	ORPHA:811	ORPHA:811
77	0.019359782338142395	ORPHA:221139	ORPHA:221139
78	0.019471092149615288	ORPHA:912	ORPHA:912
79	0.019477680325508118	ORPHA:440713	ORPHA:440713
80	0.019543634727597237	OMIM:208085	OMIM:208085
81	0.01955280639231205	OMIM:600901	OMIM:600901
82	0.019575342535972595	OMIM:223370	OMIM:223370
83	0.019576337188482285	ORPHA:381	ORPHA:381
84	0.019579077139496803	OMIM:308205	OMIM:308205
85	0.01964723691344261	OMIM:612562	OMIM:612562
86	0.019660387188196182	OMIM:194050	OMIM:194050
87	0.01966063864529133	OMIM:256040	OMIM:256040
88	0.019700732082128525	OMIM:251290	OMIM:251290
89	0.01975288800895214	OMIM:613385	OMIM:613385
90	0.019780699163675308	OMIM:309000	OMIM:309000
91	0.01978585682809353	OMIM:133540	OMIM:133540
92	0.019827837124466896	OMIM:618958	OMIM:618958
93	0.01983589306473732	ORPHA:96181	ORPHA:96181
94	0.019988009706139565	ORPHA:2273	ORPHA:2273
95	0.020093197003006935	OMIM:235510	OMIM:235510
96	0.020120473578572273	ORPHA:99812	ORPHA:99812
97	0.02012251317501068	OMIM:615846	OMIM:615846
98	0.020160658285021782	ORPHA:84	ORPHA:84
99	0.020198343321681023	OMIM:603585	OMIM:603585
100	0.020300256088376045	ORPHA:33364	ORPHA:33364
101	0.02036105841398239	OMIM:251260	OMIM:251260
102	0.020362576469779015	OMIM:214100	OMIM:214100
103	0.02044164203107357	OMIM:613990	OMIM:613990
104	0.020455896854400635	ORPHA:904	ORPHA:904
105	0.020462168380618095	OMIM:227650	OMIM:227650
106	0.020474586635828018	OMIM:216400	OMIM:216400
107	0.020514409989118576	OMIM:619004	OMIM:619004
108	0.0205144714564085	OMIM:220111	OMIM:220111
109	0.02052687481045723	OMIM:619573	OMIM:619573
110	0.020530007779598236	OMIM:170100	OMIM:170100
111	0.020550349727272987	OMIM:609069	OMIM:609069
112	0.02056839130818844	ORPHA:821	ORPHA:821
113	0.0205707848072052	OMIM:606721	OMIM:606721
114	0.020579634234309196	OMIM:163950	OMIM:163950
115	0.020592184737324715	ORPHA:99843	ORPHA:99843
116	0.02061152644455433	OMIM:619534	OMIM:619534
117	0.020624961704015732	OMIM:105650	OMIM:105650
118	0.020629646256566048	OMIM:147920	OMIM:147920
119	0.020630447193980217	ORPHA:1775	ORPHA:1775
120	0.020639166235923767	ORPHA:2268	ORPHA:2268
121	0.020691532641649246	OMIM:610199	OMIM:610199
122	0.020726192742586136	ORPHA:369837	ORPHA:369837
123	0.02072671428322792	OMIM:618278	OMIM:618278
124	0.020732039585709572	ORPHA:221008	ORPHA:221008
125	0.020814165472984314	ORPHA:125	ORPHA:125
126	0.020824121311306953	ORPHA:974	ORPHA:974
127	0.020873134955763817	OMIM:620040	OMIM:620040
128	0.020874259993433952	ORPHA:2959	ORPHA:2959
129	0.0208754763007164	ORPHA:199	ORPHA:199
130	0.02088840678334236	OMIM:225400	OMIM:225400
131	0.020904414355754852	OMIM:610768	OMIM:610768
132	0.020953986793756485	ORPHA:64	ORPHA:64
133	0.02096499130129814	OMIM:606812	OMIM:606812
134	0.021015504375100136	OMIM:618440	OMIM:618440
135	0.02103623002767563	OMIM:617237	OMIM:617237
136	0.021038437262177467	ORPHA:2323	ORPHA:2323
137	0.02105080336332321	OMIM:222700	OMIM:222700
138	0.02109246514737606	OMIM:618116	OMIM:618116
139	0.021110940724611282	OMIM:602361	OMIM:602361
140	0.02114148624241352	ORPHA:1451	ORPHA:1451
141	0.021164773032069206	OMIM:300855	OMIM:300855
142	0.021173633635044098	OMIM:614857	OMIM:614857
143	0.021275276318192482	OMIM:203800	OMIM:203800
144	0.021323498338460922	ORPHA:90321	ORPHA:90321
145	0.021330472081899643	ORPHA:79320	ORPHA:79320
146	0.021354809403419495	ORPHA:96170	ORPHA:96170
147	0.02138737589120865	ORPHA:89842	ORPHA:89842
148	0.021400051191449165	ORPHA:858	ORPHA:858
149	0.021513476967811584	OMIM:612379	OMIM:612379
150	0.021528683602809906	ORPHA:1052	ORPHA:1052
151	0.021550919860601425	OMIM:608233	OMIM:608233
152	0.021580355241894722	OMIM:620184	OMIM:620184
153	0.02158249542117119	ORPHA:268261	ORPHA:268261
154	0.021620668470859528	ORPHA:3310	ORPHA:3310
155	0.021688468754291534	ORPHA:739	ORPHA:739
156	0.021705863997340202	OMIM:236200	OMIM:236200
157	0.021716156974434853	OMIM:607330	OMIM:607330
158	0.021775372326374054	ORPHA:1606	ORPHA:1606
159	0.021781545132398605	ORPHA:667	ORPHA:667
160	0.021816274151206017	OMIM:235255	OMIM:235255
161	0.02184688113629818	ORPHA:251066	ORPHA:251066
162	0.021854015067219734	OMIM:619472	OMIM:619472
163	0.021858885884284973	OMIM:118450	OMIM:118450
164	0.021870505064725876	OMIM:606056	OMIM:606056
165	0.021890319883823395	OMIM:241410	OMIM:241410
166	0.021903058513998985	OMIM:601803	OMIM:601803
167	0.02190929651260376	ORPHA:363958	ORPHA:363958
167	0.02190929651260376	ORPHA:363965	ORPHA:363965
169	0.021939484402537346	OMIM:122470	OMIM:122470
170	0.021967768669128418	OMIM:218040	OMIM:218040
171	0.021975308656692505	ORPHA:14	ORPHA:14
172	0.0219775028526783	ORPHA:96179	ORPHA:96179
173	0.021981259807944298	OMIM:176270	OMIM:176270
174	0.021997535601258278	OMIM:612394	OMIM:612394
175	0.02200174331665039	ORPHA:1194	ORPHA:1194
176	0.022002393379807472	ORPHA:2308	ORPHA:2308
177	0.022033439949154854	OMIM:613404	OMIM:613404
178	0.022037634626030922	ORPHA:565	ORPHA:565
179	0.022041719406843185	OMIM:619013	OMIM:619013
180	0.02205255627632141	OMIM:619377	OMIM:619377
181	0.022074507549405098	OMIM:300998	OMIM:300998
182	0.022076807916164398	OMIM:606593	OMIM:606593
183	0.0220806822180748	ORPHA:1563	ORPHA:1563
184	0.022083530202507973	OMIM:261515	OMIM:261515
185	0.02211141586303711	OMIM:557000	OMIM:557000
186	0.022131355479359627	OMIM:618005	OMIM:618005
187	0.02214742824435234	ORPHA:228426	ORPHA:228426
188	0.02217409387230873	ORPHA:2135	ORPHA:2135
189	0.022180844098329544	ORPHA:90051	ORPHA:90051
190	0.02218116633594036	ORPHA:221016	ORPHA:221016
191	0.022200722247362137	OMIM:300972	OMIM:300972
192	0.02222287841141224	ORPHA:464306	ORPHA:464306
193	0.02225557155907154	ORPHA:290	ORPHA:290
194	0.022258086130023003	ORPHA:412035	ORPHA:412035
195	0.02226300723850727	OMIM:614886	OMIM:614886
196	0.022283479571342468	OMIM:260400	OMIM:260400
197	0.022284261882305145	OMIM:309900	OMIM:309900
198	0.022287121042609215	OMIM:115150	OMIM:115150
199	0.02230171300470829	OMIM:301068	OMIM:301068
200	0.022335253655910492	ORPHA:2962	ORPHA:2962
201	0.022339502349495888	OMIM:609029	OMIM:609029
202	0.02234429121017456	OMIM:619487	OMIM:619487
203	0.022384321317076683	OMIM:266920	OMIM:266920
204	0.022386910393834114	OMIM:618162	OMIM:618162
205	0.022430432960391045	OMIM:219800	OMIM:219800
206	0.02243335172533989	OMIM:616809	OMIM:616809
207	0.022438254207372665	OMIM:618336	OMIM:618336
208	0.0224490687251091	ORPHA:2072	ORPHA:2072
209	0.02246100641787052	ORPHA:79259	ORPHA:79259
210	0.022462395951151848	ORPHA:79408	ORPHA:79408
211	0.02247048169374466	OMIM:619743	OMIM:619743
212	0.022500650957226753	OMIM:614748	OMIM:614748
213	0.022507382556796074	OMIM:615471	OMIM:615471
214	0.022520355880260468	OMIM:619321	OMIM:619321
215	0.022530168294906616	ORPHA:818	ORPHA:818
216	0.022535009309649467	OMIM:607721	OMIM:607721
217	0.02254594676196575	ORPHA:847	ORPHA:847
218	0.022572407498955727	OMIM:608799	OMIM:608799
219	0.022584224119782448	ORPHA:97362	ORPHA:97362
220	0.022598009556531906	OMIM:615895	OMIM:615895
221	0.02260594628751278	ORPHA:96264	ORPHA:96264
222	0.022647200152277946	ORPHA:79333	ORPHA:79333
223	0.022657210007309914	ORPHA:797	ORPHA:797
224	0.02266283892095089	OMIM:135900	OMIM:135900
225	0.022670913487672806	OMIM:604173	OMIM:604173
226	0.02267363667488098	OMIM:231680	OMIM:231680
227	0.02268470637500286	OMIM:602782	OMIM:602782
228	0.02269030176103115	OMIM:610965	OMIM:610965
229	0.02269209735095501	ORPHA:648	ORPHA:648
230	0.0226945411413908	OMIM:225410	OMIM:225410
231	0.02269577980041504	ORPHA:813	ORPHA:813
232	0.022730085998773575	OMIM:185070	OMIM:185070
233	0.02275153063237667	ORPHA:79282	ORPHA:79282
234	0.02276165597140789	ORPHA:79076	ORPHA:79076
235	0.022762399166822433	OMIM:301040	OMIM:301040
236	0.02279488742351532	OMIM:300845	OMIM:300845
237	0.02283906750380993	ORPHA:453499	ORPHA:453499
238	0.022862879559397697	ORPHA:353277	ORPHA:353277
238	0.022862879559397697	ORPHA:353284	ORPHA:353284
240	0.02286689542233944	OMIM:280000	OMIM:280000
241	0.022868340834975243	ORPHA:79474	ORPHA:79474
242	0.022911500185728073	ORPHA:2643	ORPHA:2643
243	0.02294364757835865	ORPHA:166035	ORPHA:166035
244	0.0229624155908823	ORPHA:35858	ORPHA:35858
245	0.022962894290685654	OMIM:616541	OMIM:616541
246	0.02298009768128395	OMIM:226300	OMIM:226300
247	0.02299606427550316	OMIM:252500	OMIM:252500
248	0.023003896698355675	ORPHA:800	ORPHA:800
249	0.023021982982754707	OMIM:614653	OMIM:614653
250	0.02304200828075409	ORPHA:90674	ORPHA:90674
251	0.023047003895044327	OMIM:242150	OMIM:242150
252	0.02304791286587715	ORPHA:464311	ORPHA:464311
253	0.023049186915159225	OMIM:617575	OMIM:617575
254	0.023063383996486664	ORPHA:2044	ORPHA:2044
255	0.02306527830660343	OMIM:617093	OMIM:617093
256	0.023113291710615158	ORPHA:353298	ORPHA:353298
257	0.023118315264582634	OMIM:300868	OMIM:300868
258	0.02312047779560089	OMIM:617913	OMIM:617913
